basy_yljgid,basy_caption,basy_yydj,flag
510000001144 ,成都市龙泉驿区妇幼保健院(龙泉驿区妇幼保健计划生育服务中心),三级甲等,0
510000001148 ,成都市龙泉驿区中医医院,二级甲等,0
510000001150 ,成都市龙泉驿区第一人民医院,三级乙等,0
510000001152 ,四川护理职业学院附属医院（四川省第三人民医院）,三级未定等,4
510000001154 ,成都天兴医院,一级未定等,0
510000001158 ,成都鑫长康医院,一级未定等,0
510000001162 ,一六七医院,一级未定等,0
510000001166 ,成都长江医院,二级甲等,0
510000001172 ,成都黄再军医院,一级未定等,0
510000001180 ,成都市青白江区中医医院,二级甲等,0
510000001182 ,成都市青白江区人民医院,三级甲等,0
510000001184 ,成都市青白江区妇幼保健院,三级乙等,0
510000001194 ,攀钢集团成都钢铁有限责任公司青白江医院,二级乙等,0
510000001196 ,四川省革命伤残军人医院,二级甲等,0
510000001198 ,成都市新都区中医医院,三级甲等,0
510000001200 ,成都市新都区第二人民医院,二级甲等,0
510000001202 ,成都市新都区妇幼保健院,三级乙等,0
510000001204 ,成都市新都区人民医院,三级甲等,0
510000001208 ,成都新都西桥医院,二级乙等,0
510000001210 ,成都医学院第一附属医院,三级甲等,4
510000001222 ,成都新都桂湖医院,一级未定等,0
510000001226 ,四川省监狱管理局中心医院,二级甲等,0
510000001228 ,金堂县第二人民医院,三级乙等,0
510000001230 ,金堂县妇幼保健院金堂县妇女儿童医院,三级乙等,0
510000001232 ,金堂县中医医院,二级甲等,0
510000001236 ,金堂县第一人民医院,三级乙等,0
510000001238 ,金堂县第三人民医院,二级甲等,0
510000001240 ,金堂仁爱医院,二级乙等,0
510000001242 ,金堂县川锅医院,一级乙等,0
510000001244 ,金堂雨泽老年病医院,一级乙等,0
510000001246 ,金堂纺织妇产医院,二级乙等,0
510000001250 ,金堂黄氏中西医骨科医院,二级乙等,2
510000001278 ,四川宝石花医院,三级乙等,0
510000001280 ,成都市双流区妇幼保健院,三级甲等,0
510000001282 ,成都市双流区中医医院,三级甲等,0
510000001284 ,中国科学院光电技术研究所职工医院,一级未定等,0
510000001286 ,四川天府新区人民医院,三级乙等,0
510000001288 ,四川天府新区兴隆卫生院（四川天府新区兴隆中医医院）,未定级未定等,0
510000001290 ,成都市双流区第一人民医院,三级甲等,0
510000001292 ,成都台双医院,未定级未定等,0
510000001294 ,四川省司法警官总医院,三级乙等,4
510000001318 ,成都郫都西汇三九八医院,一级未定等,0
510000001320 ,四川省交通运输厅公路局医院,二级甲等,0
510000001322 ,西南兵工成都医院,二级甲等,0
510000001324 ,成都市郫都区中医医院,三级甲等,0
510000001326 ,成都市郫都区妇幼保健计划生育服务中心(成都市郫都区妇幼保健院）,三级乙等,0
510000001328 ,成都市郫都区第二人民医院,二级甲等,0
510000001330 ,成都市郫都区人民医院,三级甲等,0
510000001334 ,成都郫都川电医院,未定级未定等,0
510000001348 ,大邑县人民医院,三级乙等,0
510000001350 ,四川省革命伤残军人第二医院,未定级未定等,0
510000001352 ,大邑望县中医医院,三级甲等,0
510000001356 ,大邑县妇幼保健计划生育服务中心,三级乙等,0
510000001358 ,大邑志昌骨科医院,三级乙等,2
510000001360 ,大邑少祥医院,一级未定等,0
510000001362 ,大邑德全骨伤科医院,未定级未定等,2
510000001366 ,蒲江县妇幼保健计划生育服务中心,二级甲等,0
510000001368 ,蒲江县中医医院,二级甲等,0
510000001370 ,蒲江县人民医院,二级甲等,0
510000001372 ,成都市新津区血吸虫病防治站,未定级未定等,0
510000001374 ,成都市新津区妇幼保健计划生育服务中心（成都市新津区妇幼保健院）,二级甲等,0
510000001376 ,成都市新津区人民医院（成都市新津区急救指挥分中心）,二级甲等,0
510000001378 ,成都市新津区中医医院,三级乙等,0
510000001380 ,成都市新津区第二人民医院,二级乙等,0
510000001382 ,新津川办医院,一级未定等,0
510000001384 ,新津吴氏医院,一级未定等,0
