,basy_yydj,basy_ssjczbm1_for_str_9,HAOCAI-only_operation-9-E,JCJY-only_operation-9-E,YP-only_operation-9-E,ZFY-only_operation-9-E,记录条数-only_operation-9
0,1,,1958.2706017029327,1585.7689441816462,3382.0559451277204,12503.980794701987,5285
18,1,01.4102,5148.8372,2251.042,4719.8594,20100.4706,50
36,1,03.0909,33265.18095238096,1465.4190476190477,2848.179523809524,44212.398095238095,21
42,1,03.3101,1732.8966315789473,1447.8936842105263,5403.478,15353.363368421053,95
46,1,03.5305,27245.631136363638,2759.190909090909,4118.5368181818185,39193.483863636364,44
51,1,03.9100x0,496.1880555555556,1827.8249999999998,1032.8677777777777,15125.821666666665,36
53,1,03.9102,2310.4563333333335,1956.0333333333333,1584.4016666666669,9035.608,30
63,1,04.2x02,1356.6456626506024,2007.4638554216867,943.3598795180723,9007.558795180723,83
65,1,04.2x05,2176.760561797753,1050.447191011236,1428.2748314606742,6406.759775280899,89
78,1,04.4900x0,6340.854897959184,1578.4265306122447,4928.667346938776,18881.915102040817,49
83,1,04.7408,3731.0554166666666,828.6920833333334,2271.69125,13264.980833333333,24
88,1,05.0x01,1189.354054054054,2044.2027027027027,813.0386486486486,17967.390000000003,37
104,1,06.4x00,8288.951764705882,2858.976176470588,2573.161176470588,22692.759705882352,34
107,1,06.8100,1180.643,4411.3,3146.736,16482.101333333332,30
121,1,08.4902,700.2770731707317,621.9451219512196,171.11658536585367,2675.310243902439,41
134,1,09.8100,793.38,696.6724137931035,404.1327586206897,3313.99224137931,58
136,1,09.8101,1037.6376829268293,541.6463414634146,602.9706097560976,4079.6735365853656,82
147,1,11.3201,431.0798958333333,511.16770833333334,228.50031249999998,2159.33875,96
148,1,11.3203,2238.929813084112,425.9906542056075,163.10093457943924,3717.9455140186915,107
151,1,11.3900x0,550.4745454545455,899.3909090909091,214.4059090909091,2745.7977272727276,22
152,1,11.3901,868.5940277777778,524.2921296296297,199.30328703703705,2972.4477777777774,216
169,1,13.4100,3181.774965986395,659.9802073210236,210.75692581794624,6077.552588273405,3087
171,1,13.4100x0,3401.6821695008225,791.6969967087219,205.1088727372463,6522.861108063632,3646
176,1,13.5900x0,2327.0806451612902,633.163440860215,238.77215053763442,4522.381612903226,93
178,1,13.7000,2306.1181881533103,642.6662369337979,200.58283972125437,4513.035731707318,574
179,1,13.7100,1967.730652818991,863.7359050445103,159.97908605341246,4726.863424332344,1685
180,1,13.7100x0,2485.5600864864864,567.684,124.99524324324325,5414.140216216217,925
198,1,14.6x02,3633.2663636363636,838.5418181818183,348.4280303030303,6374.301515151516,66
204,1,14.7401,6101.92582781457,920.9754966887416,422.74311258278146,12055.625099337747,151
259,1,17.98320,3663.9666666666667,670.9074074074074,3743.8208641975307,10229.304444444444,81
260,1,17.98330,2782.7003664921467,682.1178010471205,3560.8619895287957,9195.003795811519,382
261,1,17.98340,1855.4276995305165,660.0338028169015,3895.818732394366,9707.023755868544,213
266,1,18.2900x0,1148.7240909090908,906.6090909090908,2172.2090909090907,6532.815,22
270,1,19.4x00x0,1080.1074683544302,1264.8544303797469,3845.140632911392,10820.620759493671,79
284,1,21.0904,1286.4668421052631,1044.55,1692.1471052631578,5823.400789473684,38
300,1,21.6903,2714.3665384615388,861.6755384615384,1563.1236923076924,8080.748692307693,130
301,1,21.6904,1133.6209999999999,502.79749999999996,1210.3455,5041.201875000001,80
305,1,21.8400x0,1237.933116883117,714.6172077922079,2300.022077922078,7179.517467532467,154
310,1,22.1200,1559.6938095238095,1530.3619047619047,3030.347142857143,10472.53619047619,21
318,1,22.5300,1133.9750000000001,1038.3727272727274,2136.9645454545457,8126.265454545454,22
319,1,22.5300x0,1363.8634210526316,1077.5784210526315,2694.8583458646617,9878.163270676692,266
320,1,22.5301,2038.9650000000001,1022.7453333333334,2436.2200000000003,10926.986,30
351,1,28.2x00x0,1777.6347368421054,1071.6240350877192,2280.138596491228,7431.433333333333,57
356,1,28.5x00,1413.1092307692306,595.0461538461539,858.6061538461539,4055.0307692307692,26
357,1,28.5x02,1628.8545454545456,786.6886363636364,1429.0413636363637,5934.185,44
