,basy_zyzd_jbbm_for_str_8,basy_yydj,HAOCAI-8-only_disease-E,JCJY-8-only_disease-E,YP-8-only_disease-E,ZFY-8-only_disease-E,记录条数-8-only_disease
38,A04.900x,6,315.9558333333333,1548.3041666666668,735.3366666666667,3759.7745833333333,48
53,A08.000,6,307.0202197802198,1743.5201098901098,734.6913186813188,4396.373956043956,91
66,A09.000x,6,1257.927,7896.787333333333,5554.011666666667,20026.83466666667,30
74,A09.004,3,279.2019230769231,1157.9115384615384,1041.54,3748.5834615384615,26
76,A09.004,5,614.6541666666666,2697.820833333333,2067.51125,7684.792916666666,24
77,A09.004,6,387.4921621621621,2828.9829729729727,2093.103783783784,7335.741621621622,74
92,A09.900x,6,415.70758620689656,2961.2603448275863,1876.5624137931034,7322.0693103448275,58
97,A09.901,6,371.2164583333333,1957.88375,1120.9470833333332,4828.827708333333,48
103,A09.902,6,515.1817647058824,2979.8160784313723,1904.7925490196078,7793.672549019608,51
111,A15.000,5,469.33250000000004,3358.125681818182,2637.8975,10428.25340909091,44
112,A15.000,6,687.0550000000001,4549.370304878049,3381.0400609756093,11619.842987804877,164
115,A15.000x,5,482.2411494252874,3286.9002298850573,2487.9539080459767,9193.532528735632,87
116,A15.000x,6,845.6584393063584,6897.904985549133,6441.270274566475,19073.622832369943,692
123,A15.007,3,380.2417391304348,1284.4347826086957,2457.2169565217396,5909.626086956521,23
124,A15.007,5,434.7307692307692,2900.2461538461534,2564.896153846154,8346.638461538461,26
125,A15.007,6,1303.8922680412372,4159.279896907216,3999.750309278351,13131.662577319588,97
128,A15.008,6,868.2161643835616,4009.7356164383564,2982.2126027397258,12012.216164383563,73
141,A15.200,6,3966.0263846153844,7002.157,3774.0395384615385,21163.099307692308,130
147,A15.201,6,11279.369855072464,7736.458985507247,4778.7553623188405,34348.19927536232,69
158,A15.300,6,616.9559119496855,5077.53465408805,2979.7320754716984,12006.07327044025,159
159,A15.300v,6,385.01934782608697,3803.875,2223.2234782608693,10333.024347826087,92
160,A15.300x,6,449.73793103448276,4220.214482758621,3183.54724137931,10903.27896551724,29
165,A15.307,6,523.8091836734694,4342.701836734695,3834.8995918367345,12788.453265306121,49
167,A15.308,6,705.4138095238095,3558.314285714286,1952.5285714285715,9834.034285714286,21
182,A15.601,6,841.8335064935065,5564.83012987013,1830.621038961039,12702.626233766234,77
197,A16.000,5,466.67851063829784,3427.191489361702,3778.0378723404256,11728.651489361702,47
198,A16.000,6,592.8874731182796,4594.891720430108,2503.378440860215,10637.850107526883,186
207,A16.007,6,381.92047619047617,3812.2571428571428,2443.192380952381,9390.378571428571,21
211,A16.008,6,671.4739090909092,3363.447272727273,1930.2967272727274,9899.292727272727,110
224,A16.020,6,1901.735714285714,7581.685714285714,1870.925,15400.865000000002,28
236,A16.200,3,841.9942857142858,11803.975238095238,6879.196666666667,34981.70238095238,21
238,A16.200,5,1951.2607142857141,3429.0878571428575,2743.774285714286,11489.515,28
239,A16.200,6,1131.4179411764705,4220.063039215686,2556.4113725490197,10529.624215686274,102
241,A16.200x,3,479.60323943661973,2420.6923943661973,2306.6725352112676,7870.337183098591,71
