timestamp,date,score,trend,market_index_score,stock_score,sector_score,up_days,down_days,avg_return
2026-01-07 17:35:00,2026-01-07,0.3667493717686297,up,,0.3667493717686297,0.3667493717686297,14,5,0.0283498743537259
2026-01-08 10:00:57,2026-01-08,0.1352405656157671,up,,0.1352405656157671,,12,7,0.0020481131231534
2026-01-15 17:34:11,2026-01-15,-0.1785604672330577,down,,-0.1785604672330577,-0.1785604672330577,6,13,-0.0007120934466115473
