timestamp,date,symbol,score,trend,macd,rsi_14,rsi_6,rsi_12,kdj_k,kdj_d,cci,ma_short,ma_long,ma60,turnover_rate
2026-01-07 12:49:57,2026-01-07,600362,0.15,up,0.05,75.2,72.1,73.5,65.0,60.0,85.0,55.0,54.0,52.0,正常(2.5%)
2026-01-07 13:12:28,2026-01-07,600362,0.0999999999999999,neutral,3.641991142133541,84.9477682811016,80.0690250215703,85.87229763700351,90.04573197733149,87.11470896295819,110.35461752731956,54.344,45.6955,,数据不足
2026-01-07 13:32:23,2026-01-07,300308,-0.4,down,18.289638302247567,64.11258101749092,43.30763033720796,63.12318022461228,42.9198822380064,53.64376028491135,14.954551983092362,617.226,604.5085,,数据不足
2026-01-07 13:34:57,2026-01-07,2050,-0.3,down,2.8103330586618256,80.27245206861753,82.884448305821,84.1985168282943,81.31036742418556,81.11238611199013,104.9347366450033,55.16,47.666,,数据不足
2026-01-07 13:37:59,2026-01-07,547,0.0499999999999999,neutral,4.130060451427884,85.0206611570248,90.55501460564751,94.02810304449648,92.88429686092992,90.11615351164838,117.2838861321494,33.334,25.785000000000004,,数据不足
2026-01-07 13:41:04,2026-01-07,2202,0.1999999999999999,neutral,1.8047012065542063,85.09575353871772,81.86335403726707,84.91996630160065,87.8596176183437,81.54471021160761,151.87198687044824,22.248,18.563,,数据不足
2026-01-07 13:44:26,2026-01-07,300058,0.1999999999999999,neutral,0.9147058249796308,94.11764705882352,97.15302491103202,94.9526813880126,88.15326156896379,80.10219170302247,167.40602350571754,12.552,9.68,,数据不足
2026-01-07 13:47:37,2026-01-07,603986,0.25,up,8.906916540723273,79.93786952600462,76.41379310344827,75.93750000000001,76.92346191044913,74.13284738456305,247.0625923456109,235.708,218.9865,,数据不足
2026-01-07 13:52:26,2026-01-07,2050,-0.4,down,2.8003701584381986,79.74937343358394,81.95876288659794,83.57870894677234,81.00584645908836,81.01087912362439,104.414735220008,55.134,47.6595,,数据不足
2026-01-07 13:55:58,2026-01-07,300308,-0.4,down,18.25438496299489,64.03914590747331,43.005900728913545,63.02210570219865,42.69636425938636,53.569254292038,14.388745193030609,617.134,604.4855,,数据不足
2026-01-07 13:59:28,2026-01-07,547,0.0499999999999999,neutral,4.088676096652812,84.59086078639746,90.03083247687564,93.83313180169289,91.60950932551914,89.69122433317813,115.16421350374524,33.226,25.758,,数据不足
2026-01-07 14:17:10,2026-01-07,600362,0.1999999999999999,neutral,3.6304954880293536,84.34700612918435,79.04599659284497,85.22954091816368,89.73027456408226,87.00955649187512,108.02062613121164,54.314,45.688,,数据不足
2026-01-07 14:20:52,2026-01-07,600519,0.9,up,0.8674445274928075,60.05839864761028,55.50944632521565,57.345647340516535,67.08221057316848,58.159343208298864,160.8017726819921,1409.0259999999998,1402.966,,数据不足
2026-01-07 14:39:26,2026-01-07,600519,0.9,up,0.7739465407785246,59.5006090133983,54.77960987175337,56.75355450236969,66.40216598008038,57.9326616772695,154.19078072284833,1408.782,1402.905,,数据不足
2026-01-07 14:43:16,2026-01-07,600519,0.9,up,0.6957760928705738,59.042151382384056,54.18398891376181,56.26783017284782,65.8336041071707,57.74314105296627,152.01166953984875,1408.578,1402.8539999999998,,数据不足
2026-01-07 14:46:41,2026-01-07,600519,0.9,up,0.6206711527227071,58.60827834433114,53.62379997890067,55.80892143808258,65.28733877829666,57.56105261000826,149.90315493140662,1408.382,1402.8049999999998,,数据不足
2026-01-07 14:56:38,2026-01-07,600519,0.9,up,0.7532543633913065,59.37856111828612,54.62067483344075,56.62416617411132,66.2516643078396,57.88249445318924,153.615482960806,1408.7279999999998,1402.8915,,数据不足
2026-01-07 14:56:53,2026-01-07,600519,0.9,up,0.7601517558539399,59.41918807967156,54.67355060772283,56.6672300152104,66.30183153191982,57.899216861215976,153.80737058289114,1408.746,1402.896,,数据不足
2026-01-07 15:03:23,2026-01-07,600519,0.9,up,0.801536110628831,59.66412213740454,54.992967651195386,56.92699490662136,66.6028348764014,57.99955130937651,154.9561438236229,1408.8539999999998,1402.923,,数据不足
2026-01-07 15:25:06,2026-01-07,600519,0.9,up,0.801536110628831,59.66412213740454,54.992967651195386,56.92699490662136,66.6028348764014,57.99955130937651,154.9561438236229,1408.8539999999998,1402.923,,数据不足
2026-01-07 15:32:32,2026-01-07,600519,0.9,up,0.801536110628831,59.66412213740454,54.992967651195386,56.92699490662136,66.6028348764014,57.99955130937651,154.9561438236229,1408.8539999999998,1402.923,,数据不足
2026-01-07 15:46:32,2026-01-07,600519,0.9,up,0.801536110628831,59.66412213740454,54.992967651195386,56.92699490662136,66.6028348764014,57.99955130937651,154.9561438236229,1408.8539999999998,1402.923,,数据不足
2026-01-07 15:54:58,2026-01-07,600519,0.9,up,0.801536110628831,59.66412213740454,54.992967651195386,56.92699490662136,66.6028348764014,57.99955130937651,154.9561438236229,1408.8539999999998,1402.923,,数据不足
2026-01-07 16:04:57,2026-01-07,600519,0.9,up,0.801536110628831,59.66412213740454,54.992967651195386,56.92699490662136,66.6028348764014,57.99955130937651,154.9561438236229,1408.8539999999998,1402.923,,数据不足
2026-01-07 16:16:26,2026-01-07,600519,0.9,up,0.801536110628831,59.66412213740454,54.992967651195386,56.92699490662136,66.6028348764014,57.99955130937651,154.9561438236229,1408.8539999999998,1402.923,,数据不足
2026-01-07 16:32:35,2026-01-07,600519,0.9,up,0.801536110628831,59.66412213740454,54.992967651195386,56.92699490662136,66.6028348764014,57.99955130937651,154.9561438236229,1408.8539999999998,1402.923,,数据不足
2026-01-07 16:32:59,2026-01-07,650,0.9,up,0.0100768228508068,62.9032258064516,64.51612903225805,59.99999999999999,64.00077714995767,49.88592510335789,153.02461410095933,5.946,5.846500000000001,,数据不足
2026-01-07 16:47:32,2026-01-07,600519,0.9,up,0.801536110628831,59.66412213740454,54.992967651195386,56.92699490662136,66.6028348764014,57.99955130937651,154.9561438236229,1408.8539999999998,1402.923,,数据不足
2026-01-07 16:50:42,2026-01-07,600519,0.9,up,0.801536110628831,59.66412213740454,54.992967651195386,56.92699490662136,66.6028348764014,57.99955130937651,154.9561438236229,1408.8539999999998,1402.923,,数据不足
2026-01-07 17:28:47,2026-01-07,2050,0.1999999999999999,neutral,2.877774229406392,84.00211193241813,89.74600188146752,88.64864864864862,83.37174011099746,81.79951034092743,108.42993577068704,55.336,47.71,,数据不足
2026-01-07 17:31:57,2026-01-07,600519,0.9,up,0.801536110628831,59.66412213740454,54.992967651195386,56.92699490662136,66.6028348764014,57.99955130937651,154.9561438236229,1408.8539999999998,1402.923,,数据不足
2026-01-07 17:34:11,2026-01-07,547,0.0499999999999999,neutral,4.146154367173747,85.18140010219724,90.74427480916032,94.10063620589936,92.54779677484848,90.00398681628789,119.50838454327676,33.376,25.7955,,数据不足
2026-01-08 09:59:47,2026-01-08,600519,0.9,up,1.364508460319939,53.55374540808173,59.36697033403409,53.34553928095871,67.18338378605128,61.06082880160143,77.37606447688289,1414.518,1404.9725,,数据不足
2026-01-15 15:48:28,2026-01-15,600519,-0.4,down,-0.7362641078311754,46.29481088418585,19.40351500088775,41.516536703414886,39.27024398153155,54.15666516224939,-109.5490876447928,1408.046,1408.515,,数据不足
2026-01-15 17:18:13,2026-01-15,1,-0.4,down,-0.0361456552097685,36.78160919540241,5.405405405405304,36.1445783132531,12.555870996088505,23.95844623494137,-167.43002544529224,11.416,11.518,,数据不足
2026-01-15 17:24:00,2026-01-15,7,-0.6,down,0.186765215807025,40.363636363636346,42.76729559748426,47.43589743589742,23.70699286041437,36.40159103759853,-98.11439346323084,11.704,11.642,,数据不足
2026-01-15 17:34:01,2026-01-15,600519,-0.4,down,-0.7362641078311754,46.29481088418585,19.40351500088775,41.516536703414886,39.27024398153155,54.15666516224939,-109.5490876447928,1408.046,1408.515,,数据不足
