timestamp,date,symbol,main_net_inflow,main_net_inflow_pct,trend
2026-01-07 12:49:57,2026-01-07,600362,5000.0,2.5,inflow
2026-01-07 15:04:23,2026-01-07,600519,-177547008.0,-4202194.772951347,outflow
2026-01-07 15:25:57,2026-01-07,600519,-177547008.0,-4202194.772951347,outflow
2026-01-07 15:33:35,2026-01-07,600519,-177547008.0,-4202194.772951347,outflow
2026-01-07 15:47:36,2026-01-07,600519,-177547008.0,-4202194.772951347,outflow
2026-01-07 15:55:56,2026-01-07,600519,-177547008.0,-4202194.772951347,outflow
2026-01-07 16:05:57,2026-01-07,600519,-177547008.0,-4202194.772951347,outflow
2026-01-07 16:17:28,2026-01-07,600519,-177547008.0,-4202194.772951347,outflow
2026-01-07 16:33:30,2026-01-07,600519,-177547008.0,-4202194.772951347,outflow
2026-01-07 16:33:56,2026-01-07,650,-32886618.0,-9235236.2207212,outflow
2026-01-07 16:48:21,2026-01-07,600519,-177547008.0,-4202194.772951347,outflow
2026-01-07 17:30:11,2026-01-07,2050,-1872680208.0,-10134321.97853993,outflow
2026-01-07 17:32:53,2026-01-07,600519,-177547008.0,-4202194.772951347,outflow
2026-01-08 09:59:16,2026-01-08,600519,-70181175.0,-8399941.612645881,outflow
2026-01-08 10:01:22,2026-01-08,600519,-73443167.0,-8406254.186241942,outflow
2026-01-13 07:56:43,2026-01-13,600519,-60934064.0,-1.19,outflow
