,basy_zyzd_jbbm_for_str_6,basy_yydj,age_group,AGE-HAOCAI-6-only_disease-E,AGE-JCJY-6-only_disease-E,AGE-YP-6-only_disease-E,AGE-ZFY-6-only_disease-E,记录条数-6-only_disease
37,A02.00,6,0,191.87530120481927,1576.857951807229,1014.6971084337349,4234.818072289157,83
96,A03.90,3,0,90.76595744680851,542.2438297872341,445.23829787234047,2105.7836170212768,47
146,A04.90,3,0,98.57,640.3454761904761,421.04904761904766,2007.1290476190475,42
161,A04.90,5,0,72.76038461538462,597.2794871794872,335.66435897435895,1609.6835897435897,78
170,A04.90,6,0,123.6761214953271,1152.2617289719626,427.24668224299063,2537.504112149533,214
202,A08.00,2,0,59.401228070175435,605.5123684210527,410.56921052631577,1603.063245614035,114
204,A08.00,3,0,53.081283524904215,572.8031800766283,262.0715517241379,1431.9830268199235,522
212,A08.00,4,0,89.67333333333333,660.4833333333333,279.28433333333334,1889.714,30
215,A08.00,5,0,51.99239101717305,600.6456538969617,275.11282694848086,1543.672034346103,757
222,A08.00,6,0,79.05581709145427,895.394700149925,346.28383058470763,2073.515224887556,1334
230,A08.10,2,0,89.40619047619047,634.9285714285714,677.8919047619047,1995.5680952380953,21
246,A08.40,5,0,44.96363636363637,537.0454545454545,307.63863636363635,1340.55,22
268,A09.00,2,0,43.71,573.262962962963,388.6325925925926,1509.6255555555556,27
275,A09.00,2,8,37.82363636363636,1192.6499999999999,1433.4254545454546,3220.7481818181823,22
277,A09.00,3,0,66.73038461538461,602.4356293706294,428.066993006993,1879.1089860139862,286
278,A09.00,3,1,39.122727272727275,706.1604545454546,514.4890909090909,1820.6745454545455,44
279,A09.00,3,2,41.713235294117645,880.0620588235295,558.6323529411765,1980.2220588235296,34
280,A09.00,3,3,50.878484848484845,916.0818181818182,620.4103030303031,2165.3727272727274,33
281,A09.00,3,4,48.20843137254902,1241.149411764706,830.5403921568627,2873.6596078431376,51
282,A09.00,3,5,58.715087719298246,1426.6070175438597,828.9950877192982,3000.377192982456,57
283,A09.00,3,6,60.94837837837838,1593.9856756756758,917.404054054054,3475.8245945945946,37
284,A09.00,3,8,65.15894736842105,1611.996140350877,1214.3385964912281,3951.2191228070174,57
285,A09.00,3,9,71.795,1666.95,1049.74,3746.0261363636364,44
295,A09.00,5,0,52.4132967032967,670.9458791208791,336.6261263736264,1705.6042307692305,364
296,A09.00,5,1,40.47745454545455,1027.7249090909093,520.4054545454545,2221.061090909091,55
297,A09.00,5,2,40.3271052631579,1164.9265789473684,484.03131578947364,2208.914210526316,38
298,A09.00,5,3,49.86702702702703,1331.37027027027,824.0643243243244,2916.661081081081,37
299,A09.00,5,4,55.07555555555555,1424.1697222222222,706.6722222222222,2887.7716666666665,36
300,A09.00,5,5,78.70822222222222,1845.5175555555554,1060.4878888888888,3983.0047777777777,90
301,A09.00,5,6,146.0286301369863,1647.7582191780823,1160.3865753424657,3946.1353424657536,73
302,A09.00,5,8,115.17225,1943.614125,1104.433,4200.7519999999995,80
303,A09.00,5,9,90.2594,1921.2942,1459.9707999999998,4967.0072,50
304,A09.00,6,0,97.58132723112128,877.3565446224256,474.8688100686499,2362.0989473684212,437
305,A09.00,6,1,59.761228070175434,1363.0705263157895,640.9024561403509,2755.900526315789,57
306,A09.00,6,2,145.20290909090912,1951.6641818181818,1171.0378181818182,4257.975454545454,55
307,A09.00,6,3,95.49980392156863,1844.227843137255,1169.008431372549,4092.5970588235296,51
308,A09.00,6,4,124.09945454545455,2359.458181818182,1219.5027272727273,4747.107636363637,55
309,A09.00,6,5,134.784,2445.234315789474,1630.5581052631578,5899.642842105262,95
310,A09.00,6,6,310.79515625,2895.23421875,1954.46609375,6759.4846875,64
311,A09.00,6,8,270.4335135135135,3667.6436486486487,2177.8397297297297,8420.162162162162,74
312,A09.00,6,9,191.78915254237288,3228.4038983050846,1923.5538983050847,7189.046949152543,59
318,A09.90,1,5,58.282162162162166,997.514864864865,1826.1605405405405,3983.352162162162,37
319,A09.90,1,6,54.020624999999995,905.5484375,1756.845625,3741.7146875,32
320,A09.90,1,8,69.93451612903225,1032.618387096774,1773.9506451612904,4161.3677419354835,31
321,A09.90,1,9,74.38692307692308,983.8146153846153,1393.3546153846155,3705.2858974358974,39
322,A09.90,2,0,107.10077922077923,513.6181818181818,666.7267532467532,1724.1416883116883,77
323,A09.90,2,1,26.575641025641026,661.9589743589744,686.535641025641,1855.4074358974358,39
324,A09.90,2,2,36.206,710.6725,635.92025,1743.9315,40
325,A09.90,2,3,34.113414634146345,988.3512195121951,807.73,2463.0309756097563,41
326,A09.90,2,4,29.526304347826088,1193.1173913043478,941.0936956521739,2668.7789130434785,46
327,A09.90,2,5,61.694895833333334,1289.71875,973.4664583333333,2965.8523958333335,96
328,A09.90,2,6,26.87078125,1311.31875,946.32296875,2806.39546875,64
329,A09.90,2,8,31.017901234567898,1387.8877777777777,1237.3535802469137,3285.8350617283954,81
330,A09.90,2,9,50.40375,1482.0291666666665,1178.3991666666666,3348.251875,48
331,A09.90,3,0,52.41736363636363,509.2657121212121,350.0063181818182,1446.049409090909,660
332,A09.90,3,1,28.69982456140351,717.8914035087719,448.4558771929825,1645.7803508771929,114
333,A09.90,3,2,30.199479166666666,891.9958333333334,526.2254166666667,1935.2804166666665,96
334,A09.90,3,3,38.883763440860214,1110.6548387096773,597.2375268817204,2255.884301075269,93
335,A09.90,3,4,48.11774774774774,1201.2014414414414,730.0293693693693,2558.3370270270266,111
336,A09.90,3,5,45.836400000000005,1289.8563555555556,743.3584000000001,2777.165066666667,225
337,A09.90,3,6,136.07986301369863,1400.0428082191781,925.5755479452055,3340.5056164383564,146
338,A09.90,3,8,81.84827160493828,1595.6766049382716,918.7275308641974,3454.643271604938,162
339,A09.90,3,9,66.53288659793814,1402.1288659793815,1046.0181443298968,3488.192164948454,97
340,A09.90,4,0,93.2841304347826,598.0676086956522,312.0263043478261,1579.0934782608697,46
344,A09.90,4,4,23.977142857142855,1099.1238095238095,415.25428571428574,2219.005238095238,21
345,A09.90,4,5,56.74058823529412,1617.5158823529412,538.9508823529412,2938.585882352941,34
347,A09.90,4,8,63.052857142857135,1693.485714285714,780.7461904761906,3374.8857142857146,21
349,A09.90,5,0,40.67387843704776,595.8904486251809,234.1372503617945,1452.9197395079595,691
350,A09.90,5,1,28.028155339805828,837.8339805825242,396.5445631067961,1748.8807766990292,103
351,A09.90,5,2,30.18592105263158,1001.8842105263158,611.3044736842105,2151.412105263158,76
352,A09.90,5,3,95.2867415730337,1373.7662921348315,630.2284269662922,2784.756404494382,89
353,A09.90,5,4,48.69428571428571,1432.5210084033613,694.7741176470588,2953.221680672269,119
354,A09.90,5,5,56.831225490196076,1605.4733823529411,809.1117647058823,3263.574705882353,204
355,A09.90,5,6,86.82405405405406,1626.9835810810812,955.6802027027028,3690.317972972973,148
356,A09.90,5,8,59.08236024844721,1696.9521118012422,939.037204968944,3677.381118012422,161
357,A09.90,5,9,79.17389473684212,1747.088,901.9756842105263,3771.9077894736843,95
