,basy_zyzd_jbbm_for_str_6,basy_yydj,age_group,AGE-HAOCAI-6-only_disease-E,AGE-JCJY-6-only_disease-E,AGE-YP-6-only_disease-E,AGE-ZFY-6-only_disease-E,记录条数-6-only_disease
8,A02.00,6,0,398.83911764705886,2097.995,1581.9905882352941,6132.56,34
51,A04.90,6,0,299.9660416666666,1555.1312500000001,708.2283333333334,3731.396458333333,48
72,A08.00,6,0,307.0202197802198,1743.5201098901098,734.6913186813188,4396.373956043956,91
99,A09.00,6,0,390.27941176470586,1449.814411764706,999.1664705882354,4457.542941176471,34
106,A09.00,6,8,660.7320833333333,5477.1033333333335,3884.4637500000003,13111.60125,24
119,A09.90,3,0,254.8136363636364,401.44545454545454,1283.1613636363636,2724.367272727273,22
140,A09.90,6,0,405.49140625,1551.44078125,846.5559375,4686.1275,64
145,A09.90,6,5,490.79676470588237,3161.858823529412,2057.0179411764707,7987.316764705883,34
146,A09.90,6,6,524.8675000000001,2649.464285714286,2209.957857142857,7798.754642857143,28
167,A15.00,5,5,414.09722222222223,2961.999444444444,2169.145,8189.866666666667,36
168,A15.00,5,6,453.8076086956522,3319.432608695652,2460.677173913043,9262.827608695652,46
169,A15.00,5,8,436.6994117647059,3330.9900000000002,2789.3755882352943,10024.28411764706,34
171,A15.00,6,1,849.8524000000001,6472.6516,6246.2864,18228.1202,50
172,A15.00,6,2,915.3425,5763.261323529412,5916.0297058823535,17013.50867647059,136
173,A15.00,6,3,1050.8697402597402,6884.816623376623,7027.653116883117,19920.19714285714,77
174,A15.00,6,4,1925.2755789473686,5676.70452631579,5952.848000000001,18103.376,95
175,A15.00,6,5,813.4016015625,6116.0377734375,5358.1099609375,16339.19203125,256
176,A15.00,6,6,626.9445812807882,5815.563990147783,5169.990049261084,15937.325320197044,203
177,A15.00,6,8,530.5899421965318,6103.203815028902,4376.232832369942,15405.793468208092,173
178,A15.00,6,9,830.069,6305.6802,5919.871800000001,18420.986,50
202,A15.20,6,4,7233.639772727273,7403.273863636364,4996.154545454545,29475.530681818178,44
203,A15.20,6,5,10015.643548387097,7394.854193548387,4274.791612903226,29878.217258064516,62
204,A15.20,6,6,6329.1721739130435,6276.66652173913,3605.2843478260866,23992.89608695652,46
205,A15.20,6,8,3184.1858064516127,7207.7119354838715,3556.2306451612903,20072.55193548387,31
221,A15.30,6,1,461.3952941176471,3892.2120588235293,1443.8988235294116,8924.41294117647,34
222,A15.30,6,2,739.8750793650793,3834.322222222222,1961.4495238095237,9561.295555555556,63
223,A15.30,6,3,469.35074999999995,4045.54525,2975.61225,10835.48825,40
224,A15.30,6,4,1270.5660416666667,4301.054166666667,2963.487291666667,12195.449583333333,48
225,A15.30,6,5,1521.715223880597,4983.933432835821,3555.384328358209,14223.085671641791,67
226,A15.30,6,6,934.1308695652173,4315.213913043478,3108.4278260869564,11645.567391304347,46
227,A15.30,6,8,866.5536956521739,5462.976304347826,3519.475652173913,14809.21195652174,46
249,A15.60,6,2,2982.9719230769233,5204.579230769231,4711.201153846154,18825.198846153846,26
252,A15.60,6,5,2658.0490476190475,7010.289047619048,6161.009047619048,22179.30142857143,21
282,A16.00,6,1,546.14525,2849.9925,1275.884,7396.039,40
283,A16.00,6,2,627.152027027027,3315.535135135135,1938.0610810810808,9099.40418918919,74
284,A16.00,6,3,613.3781818181818,4462.905454545455,2116.1530303030304,9883.570303030303,33
