,basy_yljgid,basy_caption,basy_dept_adrresscode,basy_yydj
189,JG_510000004834,崇州市观胜镇卫生院,510184,未评级未评等
191,JG_510000011824,安岳县朝阳镇大埝卫生院,512021,未评级未评等
195,JG_510000001294,四川省司法警官总医院,510116,三级乙等
199,JG_510000002670,峨边彝族自治县人民医院,511132,二级甲等
204,JG_510000900078,江安健朗医院,511523,一级未评等
205,JG_510000919660,阆中瑞祥医院,511381,一级未评等
209,JG_510000007026,遂宁市船山区龙凤镇中心卫生院(遂宁市船山区第二人民医院),510903,未评级未评等
211,JG_510000003656,简阳仁和医院,510185,未评级未评等
215,JG_510000007876,马边彝族自治县下溪中心卫生院,511133,未评级未评等
220,JG_510000001200,成都市新都区第二人民医院,510114,二级甲等
221,JG_510000907678,宣汉龙岗医院,511722,一级未评等
224,JG_510000934724,威远谷沿怡康顺诚医院,511024,未评级未评等
227,JG_510000011872,安岳县元坝镇卫生院,512021,未评级未评等
228,JG_510000004046,美姑县妇幼保健计划生育服务中心,513436,二级乙等
230,JG_510000906893,安岳力大康精神康复医院,512021,二级未评等
242,JG_510000013298,木里县麦日乡卫生院,513422,未评级未评等
246,JG_510000011848,安岳县九龙乡卫生院,512021,未评级未评等
247,JG_510000006628,旺苍县龙凤镇卫生院,510821,未评级未评等
252,JG_510000011818,安岳县卧佛镇卫生院,512021,未评级未评等
256,JG_510000003838,新龙县人民医院,513329,二级甲等
259,JG_510000013406,德昌县昌州街道六所社区卫生服务中心,513424,未评级未评等
268,JG_510000901636,会东搏爱医院,513426,未评级未评等
269,JG_510000008784,西充县莲池镇卫生院,511325,未评级未评等
276,JG_510000011908,乐至县金顺镇卫生院,512022,未评级未评等
280,JG_510000182722,都江堰馨康医院,510181,一级未评等
281,JG_510000004820,崇州市街子镇卫生院,510184,未评级未评等
282,JG_510000003868,理塘县人民医院,513334,二级甲等
283,JG_510000003628,安岳县妇幼保健计划生育服务中心,512021,三级乙等
287,JG_510000188594,南充芸康医院,511302,未评级未评等
292,JG_510000011786,安岳县岳源乡卫生院,512021,未评级未评等
293,JG_510000001976,广汉骨科医院,510681,二级甲等
295,JG_510000014098,冕宁县石龙镇卫生院,513433,未评级未评等
297,JG_510000014338,美姑县新桥镇中心卫生院,513436,未评级未评等
315,JG_510000001012,中国人民解放军第五七O一工厂医院,510107,二级乙等
322,JG_510000010910,荥经县龙苍沟镇中心卫生院,511822,未评级未评等
326,JG_510000011828,安岳县乾龙镇卫生院,512021,未评级未评等
329,JG_510000010894,荥经县安靖乡卫生院,511822,未评级未评等
334,JG_510000004672,彭州市桂花镇卫生院,510182,未评级未评等
335,JG_510000003668,四川海大橡胶集团有限公司职工医院,510197,未评级未评等
341,JG_510000174390,营山县绥安街道西城社区卫生服务中心,511322,未评级未评等
345,JG_510000007790,沐川县大楠镇炭库卫生院,511129,未评级未评等
347,JG_510000014332,美姑县洛俄依甘乡卫生院,513436,未评级未评等
357,JG_510000903260,成都武侯优护家护理院,510107,一级未评等
358,JG_510000176998,成都郫都港区医院,510117,一级未评等
360,JG_510000011244,巴中市恩阳区双胜镇卫生院,511903,未评级未评等
362,JG_510000174098,成都玛丽亚妇产儿童医院,510106,二级未评等
363,JG_510000002674,马边彝族自治县人民医院,511133,三级未评等
367,JG_510000900064,江安健民医院,511523,一级未评等
368,JG_510000011906,乐至县劳动镇卫生院,512022,未评级未评等
374,JG_510000003772,红原县人民医院,513233,二级甲等
376,JG_510000008964,阆中市彭城镇卫生院,511381,未评级未评等
384,JG_510000011856,安岳县思贤镇卫生院,512021,未评级未评等
393,JG_510000906178,开江妙仁医院,511723,一级未评等
394,JG_510000904096,峨眉山万寿宫社区卫生服务中心,511181,未评级未评等
412,JG_510000002616,乐山市金口河区人民医院,511113,二级甲等
418,JG_510000006632,旺苍县普济镇卫生院,510821,未评级未评等
431,JG_510000X21918,成都金牛华欣美辰医疗美容医院,510106,未评级未评等
446,JG_510000X91925,安岳县民心老年病医院有限公司,512021,二级未评等
448,JG_510000X81586,珙县君康医院,511526,一级甲等
453,JG_510000935409,毕士大（成都）肾病医院,510117,二级未评等
456,JG_510000013888,金阳县山江乡卫生院,513430,未评级未评等
460,JG_510000008176,南充市嘉陵区里坝镇卫生院,511304,未评级未评等
461,JG_510000012606,丹巴县丹东镇边耳卫生院,513323,未评级未评等
463,JG_510000011862,安岳县双龙街乡卫生院,512021,未评级未评等
478,JG_510000008782,西充县常林镇卫生院,511325,未评级未评等
479,JG_510000009562,珙县洛表镇少数民族中心卫生院,511526,未评级未评等
480,JG_510000006262,梓潼县演武镇卫生院,510725,未评级未评等
492,JG_510000011802,安岳县岳新乡卫生院,512021,未评级未评等
496,JG_510000003180,兴文县中医医院,511528,三级乙等
497,JG_510000002362,遂宁市中医院,510903,三级甲等
498,JG_510000001718,泸州市中医医院,510502,三级甲等
499,JG_510000000814,成都中医药大学附属医院（四川省中医医院  成都中医药大学附属医院（四川省中医医院）互联网医院）,510106,三级甲等
500,JG_510000002868,眉山市中医医院（眉山市东坡区人民医院）,511402,三级甲等
501,JG_510000002624,犍为县中医医院,511123,三级乙等
502,JG_510000202140,泸州纳溪凤仁中医医院,510503,一级未评等
503,JG_510000001352,大邑望县中医医院（大邑望县中医医院互联网医院）,510129,三级甲等
504,JG_510000935108,简阳康城中西医结合医院,510185,二级未评等
505,JG_510000001828,德阳市中西医结合医院,510603,三级乙等
506,JG_510000X66701,宜宾市中医医院,511504,三级甲等
507,JG_510000183376,四川中医肝病医院,510107,二级未评等
508,JG_510000002826,蓬安县中医医院,511323,三级乙等
509,JG_510000002192,江油市中医医院,510781,三级甲等
510,JG_510000002686,峨眉山市中医医院峨眉山市骨科医院,511181,三级甲等
511,JG_510000002796,南部县中医医院,511321,三级乙等
512,JG_510000004026,冕宁县中医医院,513433,二级甲等
513,JG_510000002228,广元市中医医院,510802,三级甲等
514,JG_510000000832,成都市金牛区中医医院,510106,二级甲等
515,JG_510000001714,西南医科大学附属中医医院,510504,三级甲等
516,JG_510000000932,四川省中西医结合医院（四川省中医药科学院附属医院）,510107,三级甲等
517,JG_510000002136,三台县中医院,510722,三级甲等
519,JG_510000003152,长宁县中医医院,511524,三级乙等
520,JG_510000003972,德昌县中医医院,513424,三级乙等
522,JG_510000001586,自贡市中医医院,510304,三级甲等
523,JG_510000001760,龙马潭建平中医医院,510504,一级未评等
524,JG_510000003518,汉源县中医医院,511823,三级乙等
525,JG_510000173486,广元市利州区中医医院,510802,二级甲等
527,JG_510000003522,石棉县中医医院,511824,二级甲等
528,JG_510000001706,盐边县中医院,510422,二级甲等
529,JG_510000003644,简阳市中医医院,510185,三级甲等
530,JG_510000003268,达州市中西医结合医院,511702,三级甲等
531,JG_510000900896,通江老城中西医结合医院,511921,二级未评等
532,JG_510000002394,蓬溪恒道中医（骨科）医院,510921,二级甲等
533,JG_510000190472,广安市中医医院,511602,二级甲等
534,JG_510000002004,什邡市中医医院,510682,三级乙等
536,JG_510000001324,成都市郫都区中医医院,510117,三级甲等
538,JG_510000002524,乐山市中医医院,511102,三级甲等
541,JG_510000003450,万源市中医院,511781,二级甲等
543,JG_510000001622,富顺县中医医院,510322,三级乙等
544,JG_510000X67808,资阳雁江扶民医院,512002,一级未评等
545,JG_510000001198,成都市新都区中医医院,510114,三级甲等
546,JG_510000913559,蓬溪仁心中医肛肠医院,510921,二级未评等
548,JG_510000001148,成都市龙泉驿区中医医院,510112,三级甲等
550,JG_510000183430,四川雅茹仁爱中医医院有限公司,510903,一级甲等
551,JG_510000003502,雅安市名山区中医医院,511803,二级甲等
552,JG_510000001378,成都市新津区中医医院,510118,三级乙等
553,JG_510000002936,洪雅县中医医院,511423,三级乙等
554,JG_510000002078,绵阳市肛肠病医院,510703,二级甲等
555,JG_510000001498,崇州市中医医院,510184,三级乙等
556,JG_510000003200,屏山县中医医院,511529,三级未评等
557,JG_510000003966,盐源县中医医院,513423,二级甲等
558,JG_510000201576,四川省第二中医医院,510105,三级甲等
560,JG_510000002066,绵阳市中医医院,510703,三级甲等
562,JG_510000003238,邻水县中医医院,511623,三级乙等
564,JG_510000002912,仁寿县中医医院,511421,三级甲等
566,JG_510000003978,会理市中医医院,513402,二级甲等
567,JG_510000002272,旺苍县中医医院,510821,二级甲等
568,JG_510000003418,大竹县中医院,511724,三级乙等
570,JG_510000201958,绵竹市第二中医医院,510683,二级甲等
573,JG_510000003534,天全县中医医院,511825,三级乙等
575,JG_510000001964,德阳市罗江区中医医院,510604,二级甲等
576,JG_510000001282,成都市双流区中医医院,510116,三级甲等
577,JG_510000003218,岳池县中医医院,511621,三级乙等
578,JG_510000001506,崇州西湖骨伤专科医院,510184,二级乙等
579,JG_510000001400,都江堰市中医医院,510181,三级甲等
582,JG_510000002156,绵阳市安州区中医院,510705,二级甲等
583,JG_510000002174,北川羌族自治县中羌医医院,510726,二级甲等
585,JG_510000001438,彭州市中医医院,510182,三级甲等
586,JG_510000148405,成都市温江区中医医院,510115,三级未评等
587,JG_510000003714,九寨沟县中藏医院,513225,二级甲等
588,JG_510000003082,宜宾市中西医结合医院,511503,三级乙等
591,JG_510000000604,成都肛肠专科医院,510104,三级甲等
593,JG_510000X47473,泸州酒城中医医院,510502,一级未评等
598,JG_510000003624,安岳县中医医院,512021,三级甲等
600,JG_510000002340,剑阁县中医医院,510823,三级甲等
601,JG_510000001984,广汉市中医医院,510681,三级未评等
602,JG_510000914409,成都中医药大学第三附属医院（四川省糖尿病防治中心）,510105,二级未评等
603,JG_510000902644,巴中市恩阳区中医医院,511903,二级乙等
604,JG_510000002402,射洪市中医院,510981,三级甲等
611,JG_510000002720,南充市中医医院,511302,三级甲等
614,JG_510000X11285,泸州平安中医骨科医院,510504,二级未评等
616,JG_510000003144,江安县中医医院,511523,三级乙等
618,JG_510000001232,金堂县中医医院,510121,三级乙等
619,JG_510000002414,大英县中医医院,510923,二级甲等
620,JG_510000001698,米易县中医医院,510421,二级甲等
623,JG_510000910399,泸州纳溪佰仁中医医院,510503,一级未评等
626,JG_510000001756,泸州市纳溪区中医医院,510503,二级甲等
627,JG_510000002288,青川县中医医院,510822,二级甲等
629,JG_510000003230,四川省武胜县中医医院,511622,三级乙等
632,JG_510000000606,成都锦力骨科医院,510104,二级甲等
634,JG_510000001458,彭州市中西医结合医院,510182,二级甲等
635,JG_510000002942,丹棱南苑中医医院,511424,二级甲等
637,JG_510000915363,宣汉康心中医医院,511722,一级未评等
639,JG_510000002180,平武县中医医院,510727,二级甲等
642,JG_510000000600,成都市中西医结合医院,510199,三级甲等
643,JG_510000005310,泸县中医医院,510521,三级乙等
648,JG_510000001486,邛崃市中医医院,510183,三级乙等
651,JG_510000001816,古蔺县中医医院,510525,三级乙等
658,JG_510000160200,泸州龙马潭圣康中医骨伤医院,510504,二级未评等
660,JG_510000187576,资阳市中医医院,512002,三级甲等
663,JG_510000001614,荣县中医医院（荣县第二人民医院、荣县老年病医院）,510321,三级乙等
666,JG_510000X40852,成都中医哮喘医院（成都中医肺科医院 成都中医哮喘医院互联网医院）,510106,二级乙等
668,JG_510000003574,通江县中医医院,511921,三级乙等
670,JG_510000X87700,富顺福民中医医院,510322,一级未评等
674,JG_510000183956,蓬溪长庚中医肛肠医院,510921,二级未评等
676,JG_510000007294,内江市东兴区中医医院,511011,二级甲等
678,JG_510000003766,若尔盖县藏医院,513232,二级甲等
681,JG_510000000836,成都骨伤医院（成都市金牛区骨伤医院）,510106,二级甲等
684,JG_510000002848,西充县中医医院,511325,二级甲等
692,JG_510000003998,宁南县中医医院,513427,三级乙等
696,JG_510000201964,美姑县中彝医院,513436,未评级未评等
698,JG_510000002474,威远县中医医院,511024,二级甲等
