,basy_yljgid,basy_caption,basy_dept_adrresscode,basy_yydj
2123,JG_510000002176,平武县人民医院,510727,二级甲等
2125,JG_510000924471,大竹县合协医院,511724,一级未评等
2126,JG_510000903858,崇州宣怀骨科医院,510184,一级未评等
2128,JG_510000003580,南江县人民医院,511922,三级乙等
2129,JG_510000005290,龙马潭区特兴街道社区卫生服务中心,510504,未评级未评等
2132,JG_510000006942,苍溪县浙水乡卫生院,510824,未评级未评等
2139,JG_510000005278,龙马潭区双加镇卫生院,510504,未评级未评等
2140,JG_510000184448,大邑康邻医院,510129,一级未评等
2142,JG_510000002712,南充安德实业有限公司职工医院,511302,未评级未评等
2143,JG_510000003162,珙县人民医院,511526,三级乙等
2144,JG_510000009112,仁寿县禄加镇卫生院,511421,未评级未评等
2145,JG_510000008266,南部县大河镇卫生院,511321,未评级未评等
2147,JG_510000937666,四川泰康医院,510110,三级未评等
2149,JG_510000002258,广元市昭化区人民医院,510811,二级甲等
2151,JG_510000005120,米易县撒莲镇卫生院,510421,未评级未评等
2152,JG_510000903396,眉山东坡回龙医院,511402,未评级未评等
2154,JG_510000007446,资中县重龙镇卫生院（资中县重龙社区卫生服务中心）,511025,未评级未评等
2156,JG_510000007116,蓬溪县常乐镇卫生院,510921,未评级未评等
2158,JG_510000002558,乐山城北医院,511102,一级未评等
2159,JG_510000003528,石棉恒博医院,511824,一级甲等
2160,JG_510000002196,江油市第五人民医院,510781,二级乙等
2163,JG_510000009038,仁寿县宝马镇卫生院,511421,未评级未评等
2167,JG_510000009076,仁寿县第七人民医院（仁寿县钟祥镇卫生院）,511421,未评级未评等
2168,JG_510000004604,成都市新津区永商镇公立卫生院,510118,未评级未评等
2170,JG_510000005906,绵阳市游仙区信义中心卫生院,510704,未评级未评等
2178,JG_510000001642,中国十九冶集团有限公司职工医院,510402,二级甲等
2184,JG_510000185664,普格惠康医院,513428,一级未评等
2185,JG_510000189248,乐山沙湾民升医院,511111,一级甲等
2189,JG_510000006364,江油市新安镇中心卫生院,510781,未评级未评等
2191,JG_510000203216,崇州老年病医院,510184,二级未评等
2192,JG_510000X91281,丹棱恒康精神病医院,511424,二级未评等
2194,JG_510000013476,会理市木古镇中心卫生院,513402,未评级未评等
2195,JG_510000002704,峨眉山瑞和医院有限公司峨眉山瑞和医院,511181,一级未评等
2196,JG_510000002154,绵阳市安州区第二人民医院,510705,二级甲等
2198,JG_510000001054,成都市第六人民医院,510108,三级甲等
2201,JG_510000147895,纳溪区护国中心卫生院（泸州市纳溪区第二人民医院）,510503,未评级未评等
2203,JG_510000014024,凉山州喜德县米市镇卫生院,513432,未评级未评等
2205,JG_510000004562,蒲江县大兴镇公立卫生院,510131,未评级未评等
2207,JG_510000001684,攀枝花市仁和区妇幼保健服务中心（攀枝花市仁和区妇幼保健院）,510411,一级甲等
2208,JG_510000004468,成都市郫都区安德街道社区卫生服务中心,510117,未评级未评等
2209,JG_510000004986,荣县鼎新镇卫生院,510321,未评级未评等
2211,JG_510000004358,金堂县赵镇杨柳桥社区卫生服务中心（金堂县赵镇街道杨柳公共卫生所）,510121,未评级未评等
2212,JG_510000002822,蓬安县人民医院,511323,三级乙等
2214,JG_510000188572,成都本草堂康复医院,510113,二级未评等
2215,JG_510000001328,成都市郫都区第二人民医院,510117,二级甲等
2217,JG_510000907244,仁寿长生众康医院,511421,一级未评等
2222,JG_510000175014,阆中眼耳鼻喉专科医院,511381,二级未评等
2226,JG_510000001046,四川电力医院,510104,二级甲等
2228,JG_510000160176,成都仁品耳鼻喉专科医院,510105,三级未评等
2229,JG_510000162490,南充庞氏仁爱医院,511304,一级乙等
2230,JG_510000007246,内江市市中区乐贤街道社区卫生服务中心,511002,未评级未评等
2231,JG_510000004822,崇州市廖家镇卫生院,510184,未评级未评等
2232,JG_510000010416,大竹县第二人民医院,511724,未评级未评等
2233,JG_510000002348,苍溪县妇幼保健院,510824,二级甲等
2234,JG_510000010926,荥经县严道街道社区卫生服务中心,511822,未评级未评等
2235,JG_510000003498,雅安市名山区人民医院,511803,三级未评等
2236,JG_510000009424,江安县仁和镇卫生院,511523,未评级未评等
2237,JG_510000001360,大邑少祥医院,510129,一级未评等
2238,JG_510000001230,金堂县妇幼保健院（金堂县妇女儿童医院）,510121,三级甲等
2242,JG_510000004262,成都市青白江区祥福镇公立中心卫生院,510113,未评级未评等
2244,JG_510000X37167,绵阳兴睿精神病医院,510771,未评级未评等
2247,JG_510000002502,资中县人民医院,511025,三级乙等
2248,JG_510000000966,成都市武侯区人民医院,510107,二级甲等
2251,JG_510000004682,彭州市隆丰街道社区卫生服务中心,510182,未评级未评等
2254,JG_510000002940,丹棱县人民医院,511424,二级甲等
2257,JG_510000005130,米易县白马镇中心卫生院,510421,未评级未评等
2262,JG_510000147553,平武县平通羌族乡中心卫生院（平武县第二人民医院）,510727,未评级未评等
2269,JG_510000903202,邻水华康医院,511623,一级未评等
2271,JG_510000011980,简阳市三合镇卫生院,510185,未评级未评等
2272,JG_510000006192,北川羌族自治县第三人民医院,510726,二级甲等
2277,JG_510000004576,蒲江县第二人民医院（蒲江县寿安公立中心卫生院）,510131,二级乙等
2278,JG_510000160092,苍溪县精神卫生防治院,510824,二级乙等
2280,JG_510000004366,金堂县竹篙镇中心卫生院（金堂县竹篙镇公共卫生所）,510121,未评级未评等
2284,JG_510000X53400,四川泌尿外科医院,510107,三级未评等
2285,JG_510000900047,江安恒江医院,511523,一级未评等
2286,JG_510000001446,彭州市人民医院,510182,三级甲等
2289,JG_510000X78544,宜宾宜庆精神病医院,511525,一级未评等
2290,JG_510000160838,武胜安康医院,511622,一级未评等
2291,JG_510000004020,喜德县人民医院,513432,二级甲等
2292,JG_510000007670,犍为县清溪镇中心卫生院,511123,未评级未评等
2293,JG_510000002792,南部县人民医院,511321,三级甲等
2294,JG_510000010130,达州市达川区双庙镇卫生院,511703,未评级未评等
2296,JG_510000007800,沐川县高笋乡卫生院,511129,未评级未评等
2297,JG_510000005902,绵阳市游仙经济试验区社区卫生服务中心,510704,未评级未评等
2298,JG_510000010968,汉源县前域镇卫生院,511823,未评级未评等
2300,JG_510000002918,仁寿县妇幼保健院,511421,三级乙等
2301,JG_510000015230,华蓥市古桥社区卫生服务中心,511681,未评级未评等
2302,JG_510000173700,仁寿县城南社区卫生服务中心,511421,未评级未评等
2303,JG_510000009726,广安市广安区恒升中心卫生院,511602,未评级未评等
2307,JG_510000200348,内江长生怡德医院,511002,一级未评等
2308,JG_510000009042,仁寿县珠嘉镇卫生院,511421,未评级未评等
2312,JG_510000013544,会理市古城街道中心卫生院(会理市古城街道社区卫生服务中心),513402,未评级未评等
2315,JG_510000001052,四川地质医院,510108,未评级未评等
2316,JG_510000147959,自贡市沿滩区升坪街社区卫生服务中心,510311,未评级未评等
2318,JG_510000013218,西昌市安哈镇中心卫生院,513401,未评级未评等
2322,JG_510000006104,盐亭县高渠镇中心卫生院,510723,未评级未评等
2324,JG_510000003446,万源市中心医院,511781,二级甲等
2325,JG_510000201574,木里博爱医院,513422,未评级未评等
2326,JG_510000004280,成都市新都区石板滩街道社区卫生服务中心,510114,未评级未评等
2328,JG_510000004282,成都市新都区第三人民医院,510114,二级甲等
2330,JG_510000007486,隆昌市普润镇中心卫生院,511083,未评级未评等
2335,JG_510000902422,旺苍县弘发医院有限公司,510821,一级甲等
2336,JG_510000006092,盐亭县西陵镇卫生院,510723,未评级未评等
2337,JG_510000003084,宜宾市第五人民医院、宜宾市南溪区人民医院,511503,三级乙等
2338,JG_510000010038,邻水县第二人民医院,511623,未评级未评等
2341,JG_510000915254,剑阁万隆精神病医院,510823,二级未评等
2344,JG_510000010912,荥经县泗坪乡中心卫生院,511822,未评级未评等
2346,JG_510000012024,简阳市石钟镇卫生院,510185,未评级未评等
2347,JG_510000001592,大安区老年病医院,510304,二级未评等
2349,JG_510000926555,崇州普爱医院,510184,一级未评等
2350,JG_510000189070,渠县海云医院,511725,一级未评等
2351,JG_510000003704,松潘县人民医院,513224,二级甲等
2352,JG_510000006380,江油市方水镇卫生院,510781,未评级未评等
2354,JG_510000004634,都江堰市石羊镇中心卫生院,510181,未评级未评等
2357,JG_510000003798,甘孜州泸定县人民医院,513322,二级甲等
2361,JG_510000004928,自贡市大安区回龙镇卫生院,510304,未评级未评等
2363,JG_510000001326,成都市郫都区妇幼保健院(成都市郫都区妇幼保健计划生育服务中心）,510117,三级甲等
2364,JG_510000010340,宣汉县胡家镇中心卫生院,511722,未评级未评等
2366,JG_510000004702,彭州市濛阳街道三界社区卫生服务中心,510182,未评级未评等
2368,JG_510000005014,荣县观山镇卫生院,510321,未评级未评等
2370,JG_510000X00675,三台鸿福医院,510722,一级未评等
2371,JG_510000003228,武胜县人民医院,511622,三级乙等
2372,JG_510000905595,岳池东方医院,511621,一级未评等
2374,JG_510000004698,彭州市龙门山镇卫生院,510182,未评级未评等
2381,JG_510000011700,资阳市雁江区祥符镇中心卫生院,512002,未评级未评等
2384,JG_510000011878,安岳县天林镇天宝卫生院,512021,未评级未评等
2386,JG_510000003712,九寨沟县人民医院,513225,二级甲等
2387,JG_510000011932,乐至县回澜镇龙溪卫生院,512022,未评级未评等
2388,JG_510000005432,叙永县分水中心卫生院,510524,未评级未评等
2391,JG_510000005988,三台县西平镇中心卫生院,510722,未评级未评等
2392,JG_510000011434,南江县正直镇中心卫生院,511922,未评级未评等
2394,JG_510000002838,仪陇县人民医院,511324,三级乙等
2395,JG_510000001650,攀钢集团总医院,510402,三级甲等
2396,JG_510000003410,开江县人民医院,511723,二级甲等
2397,JG_510000917310,雷波心诚医院,513437,未评级未评等
2401,JG_510000900585,成都珍君医院,510108,未评级未评等
2402,JG_510000900571,南部升钟利康医院,511321,未评级未评等
2403,JG_510000009664,兴文县九丝城镇卫生院,511528,未评级未评等
2404,JG_510000917904,巴中嘉禾妇儿医院,511902,未评级未评等
2405,JG_510000X86876,宣汉博仁医院有限公司,511722,未评级未评等
2410,JG_510000201038,冕宁县泸沽华医医院,513433,一级未评等
2413,JG_510000002360,遂宁市第一人民医院,510903,三级乙等
2415,JG_510000905255,广安康宁精神病专科医院有限公司,511603,未评级未评等
2418,JG_510000009820,岳池县兴隆镇中心卫生院,511621,未评级未评等
2419,JG_510000202414,巴中三和医院,511902,一级甲等
2420,JG_510000002824,蓬安县妇幼保健计划生育服务中心,511323,三级乙等
2423,JG_510000010260,宣汉县土黄镇中心卫生院,511722,未评级未评等
2424,JG_510000009280,宜宾市翠屏区金秋湖镇中心卫生院,511502,未评级未评等
2425,JG_510000005270,龙马潭区小市街道社区卫生服务中心,510504,未评级未评等
2428,JG_510000905250,乐山嘉州精神病医院,511102,二级未评等
2430,JG_510000201210,仪陇中仁骨科医院,511324,未评级未评等
2433,JG_510000011428,南江县下两镇中心卫生院,511922,未评级未评等
2436,JG_510000008146,南充市嘉陵区金凤镇中心卫生院,511304,未评级未评等
2437,JG_510000003468,雅安市人民医院（雅安市人民医院互联网医院）,511802,三级甲等
2439,JG_510000009772,广安市广安区广福社区卫生服务中心（枣山园区）,511602,未评级未评等
2442,JG_510000006908,苍溪县龙王镇中心卫生院,510824,未评级未评等
2443,JG_510000004490,大邑县悦来镇公立卫生院（大邑县第六人民医院）,510129,未评级未评等
2444,JG_510000003980,会理市人民医院,513402,三级乙等
2447,JG_510000X20618,成都市青白江区第三人民医院,510113,二级未评等
2450,JG_510000003938,攀钢西昌医院,513401,二级甲等
2451,JG_510000162788,平昌县新华街社区卫生服务中心,511923,未评级未评等
2452,JG_510000938587,盐亭爱瞳眼科医院,510723,未评级未评等
2454,JG_510000001432,彭州太平场医院,510182,一级未评等
2457,JG_510000173860,邛崃东华医院,510183,二级乙等
2458,JG_510000006160,盐亭县巨龙镇卫生院,510723,未评级未评等
2461,JG_510000900127,通江老区民生医院,511921,一级未评等
2464,JG_510000003226,岳池川东医院（岳池红十字川东医院）,511621,二级乙等
2465,JG_510000002234,广元市妇幼保健院,510802,三级乙等
2467,JG_5100001929631,乐山明简医院,511102,一级未评等
2468,JG_510000001598,自贡怡然精神病医院,510304,二级乙等
2469,JG_510000006386,江油市小溪坝镇中心卫生院,510781,未评级未评等
2470,JG_510000187138,成都高新博力医院,510199,二级未评等
2472,JG_510000001278,四川宝石花医院,510110,三级乙等
2475,JG_510000000686,成都儿童专科医院,510105,二级甲等
2477,JG_510000002600,乐山市五通桥区人民医院,511112,三级未评等
2478,JG_510000168630,绵阳经济技术开发区塘汛街道城南社区卫生服务中心,510777,未评级未评等
2481,JG_510000147886,四川省科学城医院,510772,三级甲等
2483,JG_510000160452,武胜丰源医院,511622,一级未评等
2485,JG_510000003376,宣汉县第三人民医院,511722,二级乙等
2486,JG_510000011686,平昌县得胜镇中心卫生院,511923,未评级未评等
2487,JG_510000901485,四川省民政康复医院,510107,二级未评等
2488,JG_510000011024,石棉县新民中心卫生院,511824,未评级未评等
2494,JG_510000189108,武胜仁康医院,511622,一级未评等
2495,JG_510000004930,大安区何市中心卫生院,510304,未评级未评等
2496,JG_510000000806,西华大学医院,510106,一级未评等
2499,JG_510000002734,南充市顺庆区人民医院,511302,二级甲等
2501,JG_510000002952,宜宾市第一人民医院,511502,三级甲等
2506,JG_510000187650,泸州纳溪骏安医院,510503,一级乙等
2507,JG_510000001322,西南兵工成都医院,510117,二级甲等
2508,JG_510000183108,筠连钊阳骨科医院,511527,一级乙等
2511,JG_510000002070,绵阳市妇幼保健院（绵阳市儿童医院）,510703,三级甲等
2516,JG_510000002188,江油市妇幼保健计划生育服务中心,510781,二级甲等
2518,JG_510000007954,南充市顺庆区芦溪镇中心卫生院,511302,未评级未评等
2522,JG_510000003642,简阳市妇幼保健院,510185,三级乙等
2523,JG_510000004232,成都市龙泉驿区同安社区卫生服务中心,510112,未评级未评等
2524,JG_510000004400,成都市双流区西航港社区卫生服务中心,510116,未评级未评等
2527,JG_510000010226,达川区麻柳镇檀木卫生院,511705,未评级未评等
2528,JG_510000160040,威远和僖医院,511024,一级未评等
2529,JG_510000009528,高县月江镇中心卫生院,511525,未评级未评等
2532,JG_510000005482,古蔺县马蹄镇卫生院,510525,未评级未评等
2534,JG_510000185430,前锋仁仁医院,511603,一级甲等
2537,JG_510000001286,四川天府新区人民医院,510110,三级乙等
2539,JG_510000184472,安居复康医院,510904,一级乙等
2540,JG_510000005568,中江县回龙中心卫生院,510623,未评级未评等
2543,JG_510000009012,眉山市东坡区复兴卫生院,511402,未评级未评等
2544,JG_510000005252,纳溪区丰乐中心卫生院（泸州市纳溪区第四人民医院）,510503,未评级未评等
2545,JG_510000004408,成都市双流区彭镇卫生院,510116,未评级未评等
2547,JG_510000003736,黑水县人民医院,513228,二级甲等
2551,JG_510000160434,武胜百信医院,511622,一级未评等
2552,JG_510000011956,简阳市石桥街道社区卫生服务中心,510185,未评级未评等
2557,JG_510000166250,广安福源医院,511602,二级乙等
2560,JG_510000007556,乐山市沙湾区太平镇中心卫生院,511111,未评级未评等
2563,JG_510000174104,邛崃民惠医院,510183,一级未评等
2565,JG_510000X31494,绵阳力大康精神病医院,510703,未评级未评等
2570,JG_510000001408,阿坝州林业中心医院,510181,二级甲等
2571,JG_510000203890,成都城东康复医院,510108,二级未评等
2572,JG_510000008026,南充市高坪区第三人民医院(南充市高坪区东观中心卫生院),511303,未评级未评等
2573,JG_510000010256,宣汉县樊哙镇中心卫生院,511722,未评级未评等
2576,JG_510000005448,古蔺县金兰街道社区卫生服务中心,510525,未评级未评等
2578,JG_510000X40087,万源长生医院有限公司,511781,未评级未评等
2580,JG_510000X59296,宣汉双桥医院,511722,一级未评等
2582,JG_510000189430,邛崃普济民生医院,510183,一级未评等
2583,JG_510000180644,成都郫都东区医院,510117,一级未评等
2586,JG_510000168874,龙泉驿华桥医院,510112,一级未评等
2588,JG_510000007696,井研县千佛镇卫生院,511124,未评级未评等
2593,JG_510000003074,宜宾和康白花骨科医院,511502,二级乙等
2594,JG_510000173022,新津仁爱医院,510118,二级乙等
2595,JG_510000160408,达州市民康医院,511703,三级乙等
2597,JG_510000003904,凉山彝族自治州第一人民医院（凉山州传染病医院）,513401,三级甲等
2599,JG_510000009694,屏山县中都镇中心卫生院,511529,未评级未评等
2600,JG_510000005000,荣县东佳镇卫生院,510321,未评级未评等
2607,JG_510000011602,平昌县佛楼镇卫生院,511923,未评级未评等
2613,JG_510000X53836,四川绿色歧黄医院管理有限公司洞子口医院（四川绿色歧黄医院管理有限公司洞子口医院绿源集互联网医院）,510106,一级未评等
2614,JG_510000001140,成都二零四医院,510112,二级未评等
2616,JG_510000001404,都江堰市精神卫生中心（都江堰市第三人民医院）,510181,二级甲等
2620,JG_510000010094,通川区碑庙中心卫生院,511702,未评级未评等
2621,JG_510000930642,剑阁县第一人民医院,510823,二级未评等
2622,JG_510000200360,双流润泽医院,510116,一级未评等
2626,JG_510000006422,江油市二郎庙镇卫生院,510781,未评级未评等
2628,JG_510000008490,蓬安县罗家中心卫生院,511323,未评级未评等
2635,JG_510000009086,仁寿县慈航镇卫生院,511421,未评级未评等
2637,JG_510000010970,汉源县唐家镇河西卫生院,511823,未评级未评等
2638,JG_510000933854,巴中博济医院,511902,未评级未评等
2639,JG_510000005350,合江县福宝中心卫生院,510522,未评级未评等
2640,JG_510000005956,三台县新生镇中心卫生院,510722,未评级未评等
2644,JG_510000010860,雅安市名山区车岭镇中心卫生院,511803,未评级未评等
2645,JG_510000176186,合江凤鸣中医院,510522,一级未评等
2646,JG_510000005378,合江县尧坝镇卫生院,510522,未评级未评等
2650,JG_510000187634,泸州纳溪护民医院,510503,一级乙等
2652,JG_510000009900,武胜县乐善镇中心卫生院,511622,未评级未评等
2653,JG_510000000764,成飞医院,510105,三级甲等
2657,JG_510000008094,南充市嘉陵区金宝镇卫生院,511304,未评级未评等
2661,JG_510000009906,武胜县中心镇中心卫生院（武胜县第三人民医院）,511622,未评级未评等
2663,JG_510000903203,邻水仁爱医院,511623,一级未评等
2664,JG_510000004044,美姑县人民医院,513436,二级甲等
2665,JG_510000904986,通江大椿医院,511921,一级未评等
2667,JG_510000007938,峨眉山市符溪镇中心卫生院,511181,未评级未评等
2669,JG_510000008616,仪陇县立山中心卫生院,511324,未评级未评等
2671,JG_510000008612,仪陇县永乐中心卫生院,511324,未评级未评等
2672,JG_510000002194,江油市精神病医院,510781,二级甲等
2673,JG_510000202780,平昌新区医院,511923,一级乙等
2674,JG_510000191576,成都天府新区颐天福诚医院,510110,一级未评等
2678,JG_510000183978,宣汉同盛医院,511722,二级乙等
2680,JG_510000X48947,都江堰润进康复医院,510181,一级未评等
2681,JG_510000005342,合江县凤鸣中心卫生院,510522,未评级未评等
2682,JG_510000008492,蓬安县锦屏中心卫生院,511323,未评级未评等
2684,JG_510000007640,犍为县龙孔镇中心卫生院,511123,未评级未评等
2696,JG_510000003594,平昌县第二人民医院,511923,二级甲等
2703,JG_510000005586,中江县集凤中心卫生院,510623,未评级未评等
2704,JG_510000009166,眉山市彭山区青龙街道社区卫生服务中心,511499,未评级未评等
2706,JG_510000004572,蒲江县西来公立中心卫生院,510131,未评级未评等
2710,JG_510000169982,仪陇弘立医院,511324,二级乙等
2711,JG_510000002678,峨眉山市妇幼保健院,511181,二级甲等
2712,JG_510000004474,成都市郫都区三道堰镇卫生院,510117,未评级未评等
2713,JG_510000001048,核工业四一六医院,510108,三级甲等
2714,JG_510000009100,仁寿县禾加镇卫生院,511421,未评级未评等
2717,JG_510000004454,成都市郫都区团结街道社区卫生服务中心,510117,未评级未评等
2719,JG_510000168832,宜宾市翠屏区大观楼社区卫生服务中心,511502,未评级未评等
2721,JG_510000005978,三台县老马镇卫生院,510722,未评级未评等
2724,JG_510000002626,犍为县妇幼保健院,511123,二级甲等
2729,JG_510000002076,绵阳市肿瘤医院,510703,二级甲等
2731,JG_510000007356,威远县山王镇卫生院,511024,未评级未评等
2735,JG_510000198130,西充盛泰医院,511325,二级未评等
2737,JG_510000004978,荣县双古中心卫生院,510321,未评级未评等
2738,JG_510000005822,绵竹市麓棠镇卫生院,510683,未评级未评等
2740,JG_510000003078,宜宾市叙州区精神病医院,511504,二级甲等
2742,JG_510000002190,江油市人民医院,510781,三级甲等
2744,JG_510000011726,资阳市雁江区丹山镇中心卫生院,512002,未评级未评等
2746,JG_510000X96402,大邑宁康医院,510129,二级未评等
2747,JG_510000009648,兴文县僰王山镇中心卫生院,511528,未评级未评等
2749,JG_510000011698,资阳市雁江区丰裕镇中心卫生院,512002,未评级未评等
2750,JG_510000011626,平昌县驷马镇中心卫生院,511923,未评级未评等
2751,JG_510000009606,筠连县巡司镇中心卫生院,511527,未评级未评等
2752,JG_510000009062,仁寿县第二人民医院（仁寿县富加镇卫生院）,511421,未评级未评等
2753,JG_510000005294,泸县百和镇卫生院,510521,未评级未评等
2757,JG_5100001929496,百姓医院,511602,一级乙等
2766,JG_510000002638,夹江县人民医院,511126,三级乙等
2768,JG_510000009654,兴文县仙峰苗族乡中心卫生院,511528,未评级未评等
2769,JG_510000045424,乐至和信医院（普通合伙）,512022,一级未评等
2771,JG_510000010548,大竹县清水中心卫生院,511724,未评级未评等
2776,JG_510000002032,绵竹市人民医院（绵竹市人民医院互联网医院）,510683,三级乙等
2777,JG_510000004258,成都市青白江区福洪镇卫生院,510113,未评级未评等
2779,JG_510000005670,中江县南华镇卫生院,510623,未评级未评等
2781,JG_510000003242,邻水合协医院,511623,一级甲等
2782,JG_510000005464,古蔺县东新镇卫生院,510525,未评级未评等
2783,JG_510000011406,通江县陈河镇卫生院,511921,未评级未评等
2784,JG_510000009582,珙县上罗镇中心卫生院,511526,未评级未评等
2787,JG_510000007226,大英县隆盛中心卫生院,510923,未评级未评等
2794,JG_510521100AAB,泸县桂宁医院,510521,一级未评等
2795,JG_510000002772,南充市高坪区妇幼保健计划生育服务中心（南充市高坪区妇幼保健院）,511303,二级乙等
2797,JG_510000005044,富顺县板桥镇中心卫生院,510322,未评级未评等
2799,JG_510000001280,成都市双流区妇幼保健院,510116,三级甲等
2804,JG_510000002844,西充县人民医院,511325,三级乙等
2806,JG_510000003902,凉山州妇幼保健计划生育服务中心（凉山州妇幼保健院、凉山州妇女儿童医院）,513401,三级乙等
2807,JG_510000148395,成都市温江区天府街道社区卫生服务中心,510115,未评级未评等
2817,JG_510000009566,珙县孝儿镇中心卫生院,511526,未评级未评等
2819,JG_510000001686,攀枝花市仁和区人民医院,510411,二级甲等
2827,JG_510000004708,彭州市九尺镇卫生院,510182,未评级未评等
2830,JG_510000169688,射洪市太和街道城西社区卫生服务中心,510981,未评级未评等
2832,JG_510000005624,中江县永兴中心卫生院,510623,未评级未评等
2834,JG_510000007438,资中县铁佛镇卫生院,511025,未评级未评等
2838,JG_510000004700,彭州市丽春镇卫生院,510182,未评级未评等
2843,JG_510000008628,仪陇县双胜镇卫生院,511324,未评级未评等
2848,JG_510000006840,剑阁县龙源镇卫生院,510823,未评级未评等
2858,JG_510000197966,盐源瑞康医院,513423,一级甲等
2859,JG_510000013482,会理市彰冠镇富乐卫生院,513402,未评级未评等
2864,JG_510000009202,洪雅县止戈镇卫生院,511423,未评级未评等
2868,JG_510000004390,成都市双流区公兴社区卫生服务中心,510116,未评级未评等
2878,JG_510000010088,达州市达川区麻柳镇中心卫生院,511705,未评级未评等
2880,JG_510000007838,峨边彝族自治县宜坪乡卫生院,511132,未评级未评等
2882,JG_510000009346,宜宾市叙州区高场镇中心卫生院,511504,未评级未评等
2883,JG_510000003990,会东县人民医院,513426,三级乙等
2884,JG_510000002252,广元万江眼科医院,510802,二级未评等
2890,JG_510000004458,成都市郫都区红光街道社区卫生服务中心,510117,未评级未评等
2891,JG_510000002842,仪陇县妇幼保健计划生育服务中心,511324,三级乙等
2893,JG_510000007682,井研县周坡镇中心卫生院,511124,未评级未评等
2894,JG_510000011028,石棉县美罗中心卫生院,511824,未评级未评等
2895,JG_510000005828,绵竹市汉旺镇卫生院,510683,未评级未评等
2898,JG_510000005646,中江县积金镇卫生院,510623,未评级未评等
2899,JG_510000001618,荣县新城医院,510321,二级甲等
2904,JG_510000005936,三台县石安镇中心卫生院,510722,未评级未评等
2908,JG_510000190158,平昌元和医院,511923,一级乙等
2911,JG_510000004950,自贡市沿滩区沿滩镇卫生院,510311,未评级未评等
2913,JG_510000003538,芦山县人民医院,511826,二级甲等
2919,JG_510000013960,昭觉县金曲乡卫生院,513431,未评级未评等
2928,JG_510000010430,大竹县石桥铺中心卫生院,511724,未评级未评等
2929,JG_510000007130,蓬溪县任隆中心卫生院,510921,未评级未评等
2932,JG_510000200404,资中谷田医院,511025,一级未评等
2934,JG_510000006582,广元市朝天区麻柳乡卫生院,510812,未评级未评等
2935,JG_510000916482,乐山张友谊疼痛康复医院,511102,一级未评等
2936,JG_510000916882,汶川汶林医院,513221,未评级未评等
2940,JG_510000000980,四川奥斯迪康骨医院,510107,二级甲等
2946,JG_510000004220,成都市龙泉驿区龙泉平安社区卫生服务中心,510112,未评级未评等
2947,JG_510000004976,荣县长山中心卫生院,510321,未评级未评等
2949,JG_510000188082,荣县广顺医院,510321,一级甲等
2950,JG_510000X00405,万源忠栋医院,511781,未评级未评等
2951,JG_510000009798,广安市广安区浓洄社区卫生服务中心,511602,未评级未评等
2954,JG_510000005232,江阳区况场街道社区卫生服务中心（泸州市江阳区第三人民医院）,510502,未评级未评等
2959,JG_510000004334,金堂县赵家镇卫生院(金堂县赵家镇公共卫生所）,510121,未评级未评等
2962,JG_510000004658,都江堰市沿江卫生院,510181,未评级未评等
2965,JG_510000005814,绵竹市九龙镇卫生院,510683,未评级未评等
2969,JG_510000002468,内江市东兴区人民医院,511011,三级乙等
2970,JG_510000183980,宣汉济民医院,511722,一级未评等
2971,JG_510000009908,武胜县赛马镇卫生院,511622,未评级未评等
2974,JG_510000001566,自贡市精神卫生中心,510303,三级甲等
2975,JG_510000007244,内江市市中区史家镇中心卫生院,511002,未评级未评等
2978,JG_510000000824,成都市第四人民医院（精神卫生中心 电子科技大学成都脑科学研究院临床医院 第四人民医院互联网医院,510106,三级甲等
2979,JG_510000010366,开江县任市中心卫生院（开江县第二人民医院）,511723,未评级未评等
2980,JG_510000906609,南江镇阳医院,511922,未评级未评等
2981,JG_510000009144,仁寿县满井镇卫生院,511421,未评级未评等
2983,JG_510000010258,宣汉县大成镇卫生院,511722,未评级未评等
2986,JG_510000910519,隆昌通康医院,511083,二级未评等
2989,JG_510000002082,绵阳市涪城区妇幼保健计划生育服务中心,510703,二级乙等
2991,JG_510000010612,渠县中滩镇卫生院,511725,未评级未评等
2993,JG_510000005422,叙永县后山镇卫生院,510524,未评级未评等
2998,JG_510000008404,营山县双流中心卫生院,511322,未评级未评等
3006,JG_510000006112,盐亭县金孔镇中心卫生院,510723,未评级未评等
3010,JG_510000003696,茂县人民医院,513223,二级甲等
3012,JG_510000010144,达州市达川区米城乡卫生院,511703,未评级未评等
3016,JG_510000202308,成都锦江大观医院,510104,二级甲等
3018,JG_510000010846,雅安市名山区黑竹镇卫生院,511803,未评级未评等
3021,JG_510000172370,筠连县筠连镇中心卫生院（筠连镇社区卫生服务中心）,511527,未评级未评等
3025,JG_510000910587,马边创骨医院,511133,未评级未评等
3027,JG_510000X02245,成都高新锦欣老年病医院,510199,未评级未评等
3028,JG_510000008972,阆中市博树回族乡卫生院,511381,未评级未评等
3035,JG_5100001929822,遂宁爱尔眼科医院,510903,未评级未评等
3036,JG_510000004578,蒲江县成佳镇公立卫生院,510131,未评级未评等
3037,JG_510000009270,青神县高台镇卫生院,511425,未评级未评等
3038,JG_510000006318,平武县水晶镇中心卫生院,510727,未评级未评等
3040,JG_510000004484,大邑县第二人民医院,510129,二级乙等
3041,JG_510000007602,乐山市五通桥区石麟镇卫生院,511112,未评级未评等
