,basy_yydj,jbbm,ssbm,num,level_耗材费_mean,level_检查检验费_mean,level_药品费_mean,level_总费用_mean
0,一级乙等,A09.001,S,132,42.09037878787878787878787879,542.0489393939393939393939394,1380.220833333333333333333333,2506.047272727272727272727273
1,一级乙等,A09.007,S,24,29.74,510.18125,1745.869583333333333333333333,2586.534583333333333333333333
2,一级乙等,A09.900,S,145,47.12841379310344827586206897,603.1774482758620689655172414,1291.844275862068965517241379,2737.436896551724137931034483
3,一级乙等,A09.901,S,597,28.59422110552763819095477387,485.9100670016750418760469012,1087.760770519262981574539363,1975.743500837520938023450586
4,一级乙等,A09.902,S,54,41.26407407407407407407407407,581.2572222222222222222222222,1219.363333333333333333333333,2512.977962962962962962962963
5,一级乙等,A41.900,S,20,31.1205,591.359,1879.3945,3948.898
6,一级乙等,A46.X00,S,17,10.07058823529411764705882353,462.4005882352941176470588235,1264.929411764705882352941176,2200.047647058823529411764706
7,一级乙等,A49.800,S,17,32.02705882352941176470588235,396.7941176470588235294117647,1168.033529411764705882352941,2037.384117647058823529411765
8,一级乙等,A49.809,S,10,18.94,503.705,2020.397,3273.584
9,一级乙等,A49.900,S,18,22.52333333333333333333333333,416.4666666666666666666666667,1182.095,1956.451666666666666666666667
10,一级乙等,B00.000,S,11,11.67636363636363636363636364,308.7727272727272727272727273,1203.230909090909090909090909,1861.943636363636363636363636
11,一级乙等,B00.900,S,13,65.91692307692307692307692308,475.7892307692307692307692308,1072.188461538461538461538462,2003.823076923076923076923077
12,一级乙等,B00.902,S,13,26.58153846153846153846153846,228.9030769230769230769230769,687.2853846153846153846153846,1297.87
13,一级乙等,B01.900,S,36,25.32583333333333333333333333,277.8161111111111111111111111,278.7522222222222222222222222,866.8566666666666666666666667
14,一级乙等,B02.200,S,11,21.38272727272727272727272727,482.7263636363636363636363636,1269.732727272727272727272727,2012.293636363636363636363636
15,一级乙等,B02.202,S,137,16.10540145985401459854014599,363.6960583941605839416058394,851.0431386861313868613138686,1664.698394160583941605839416
16,一级乙等,B02.206,S,24,64.5975,551.8358333333333333333333333,1140.557083333333333333333333,2201.470833333333333333333333
17,一级乙等,B02.303,S,10,39.184,308.472,974.518,1703.467
18,一级乙等,B02.700,S,74,70.03108108108108108108108108,519.4279729729729729729729730,1133.752567567567567567567568,2133.159189189189189189189189
19,一级乙等,B02.800,S,155,38.42374193548387096774193548,372.8236774193548387096774194,934.6939354838709677419354839,1668.466387096774193548387097
20,一级乙等,B02.900,S,467,22.41023554603854389721627409,393.1446252676659528907922912,1035.551113490364025695931478,1887.483340471092077087794433
21,一级乙等,B02.901,S,16,43.173125,68.090625,1565.67875,2292.31125
22,一级乙等,B08.000,S,29,8.350344827586206896551724138,74.00,657.4058620689655172413793103,831.6020689655172413793103448
23,一级乙等,B08.501,S,34,8.779705882352941176470588235,408.3732352941176470588235294,905.4397058823529411764705882,1638.722058823529411764705882
24,一级乙等,B09.X01,S,44,32.79272727272727272727272727,50.71818181818181818181818182,710.3413636363636363636363636,1210.125909090909090909090909
25,一级乙等,B94.801,S,100,10.4166,485.6937,1374.1578,2785.2903
26,一级乙等,B99.X00,S,15,36.50933333333333333333333333,325.424,1917.930666666666666666666667,3038.790666666666666666666667
27,一级乙等,C11.900,S,21,168.5247619047619047619047619,874.9380952380952380952380952,2615.159047619047619047619048,4157.945714285714285714285714
28,一级乙等,C15.100,S,18,67.00388888888888888888888889,532.15,1458.544444444444444444444444,2588.953888888888888888888889
29,一级乙等,C15.500,S,10,67.001,429.19,1165.558,2242.639
30,一级乙等,C15.801,S,10,9.525,708.37,691.409,1774.469
31,一级乙等,C15.900,S,148,42.58804054054054054054054054,631.2012837837837837837837838,1914.832635135135135135135135,3540.039189189189189189189189
32,一级乙等,C16.000,S,22,24.32272727272727272727272727,431.85,1954.226818181818181818181818,3333.310454545454545454545455
33,一级乙等,C16.900,S,28,75.545,724.1828571428571428571428571,1580.874285714285714285714286,3312.326428571428571428571429
34,一级乙等,C18.900,S,15,82.65933333333333333333333333,587.18,2130.029333333333333333333333,4151.168666666666666666666667
35,一级乙等,C20.X00,S,51,27.61666666666666666666666667,525.8725490196078431372549020,2285.133333333333333333333333,3985.787647058823529411764706
36,一级乙等,C22.000,S,10,117.963,582.93,2286.677,3470.474
37,一级乙等,C22.100,S,10,118.738,868.344,1516.195,3257.852
38,一级乙等,C22.900,S,65,31.27323076923076923076923077,748.6570769230769230769230769,1194.450615384615384615384615,2821.679230769230769230769231
39,一级乙等,C34.100,S,11,201.3254545454545454545454545,1544.40,3766.602727272727272727272727,6610.155454545454545454545455
40,一级乙等,C34.101,S,10,45.154,476.98,2054.436,3076.51
41,一级乙等,C34.900,S,188,51.44148936170212765957446809,557.2359042553191489361702128,2120.774946808510638297872340,3883.420106382978723404255319
42,一级乙等,C50.900,S,10,430.689,1323.042,1703.64,4122.909
43,一级乙等,C53.900,S,35,16.37971428571428571428571429,617.4754285714285714285714286,1511.191714285714285714285714,3149.592571428571428571428571
44,一级乙等,C56.X00,S,20,5.6625,763.1575,2113.7075,5095.835
45,一级乙等,C61.X00,S,19,80.35578947368421052631578947,644.8742105263157894736842105,1329.041052631578947368421053,2386.268947368421052631578947
46,一级乙等,C80.000,S,12,97.90916666666666666666666667,515.5466666666666666666666667,2289.246666666666666666666667,3390.378333333333333333333333
47,一级乙等,C90.000,S,11,69.73363636363636363636363636,618.7727272727272727272727273,1849.997272727272727272727273,3346.726363636363636363636364
48,一级乙等,D02.200,S,13,39.44615384615384615384615385,739.9807692307692307692307692,1361.327692307692307692307692,2488.105384615384615384615385
49,一级乙等,D17.900,S,17,188.2135294117647058823529412,792.2135294117647058823529412,713.52,2336.067058823529411764705882
50,一级乙等,D17.900,S86.3,20,33.4995,357.8525,699.7315,1832.4555
51,一级乙等,D18.000,S86.3,16,224.76,712.62375,970.645,2904.569375
52,一级乙等,D18.007,S86.3,17,121.7652941176470588235294118,709.1911764705882352941176471,880.9958823529411764705882353,3415.149411764705882352941176
53,一级乙等,D25.900,S,11,180.9572727272727272727272727,912.4454545454545454545454545,1675.294545454545454545454545,3421.060909090909090909090909
54,一级乙等,D25.900,S68.3,15,1961.866666666666666666666667,1046.382,2110.358,8359.768666666666666666666667
55,一级乙等,D32.018,S,11,63.92727272727272727272727273,187.7545454545454545454545455,2091.444545454545454545454545,8494.84
56,一级乙等,D37.101,S,24,91.935,1073.627083333333333333333333,2175.732083333333333333333333,3917.947916666666666666666667
57,一级乙等,D37.501,S,24,79.49083333333333333333333333,560.0583333333333333333333333,1097.56875,2112.537916666666666666666667
58,一级乙等,D37.601,S,44,108.1538636363636363636363636,852.4531818181818181818181818,1994.213181818181818181818182,3674.708863636363636363636364
59,一级乙等,D37.702,S,52,46.355,530.6434615384615384615384615,2411.602884615384615384615385,3526.1475
60,一级乙等,D37.706,S,14,128.1071428571428571428571429,1038.886428571428571428571429,2080.177857142857142857142857,3834.939285714285714285714286
61,一级乙等,D38.101,S,164,147.4922560975609756097560976,728.9553048780487804878048780,2308.951158536585365853658537,3966.838963414634146341463415
62,一级乙等,D41.401,S,13,59.85538461538461538461538462,607.6138461538461538461538462,1578.353076923076923076923077,2629.723076923076923076923077
63,一级乙等,D48.601,S,25,192.0556,660.7312,1982.0896,3162.0172
64,一级乙等,D64.900,S,32,28.361875,623.08625,928.9040625,1971.0609375
65,一级乙等,D64.902,S,38,15.23315789473684210526315789,642.9578947368421052631578947,1433.047631578947368421052632,2681.493947368421052631578947
66,一级乙等,D64.903,S,98,59.86918367346938775510204082,930.2523469387755102040816327,1528.333979591836734693877551,4118.633367346938775510204082
67,一级乙等,D69.004,S,35,52.49342857142857142857142857,208.354,1194.848857142857142857142857,1817.588857142857142857142857
68,一级乙等,E05.805,S,11,47.57090909090909090909090909,633.8272727272727272727272727,1887.363636363636363636363636,2940.311818181818181818181818
69,一级乙等,E10.900,S,20,19.2875,389.4885,1152.8665,2567.4225
70,一级乙等,E11.001,S,13,142.3446153846153846153846154,731.7246153846153846153846154,2889.118461538461538461538462,4310.689230769230769230769231
71,一级乙等,E11.201,S,14,17.54857142857142857142857143,390.8821428571428571428571429,1171.117142857142857142857143,1888.649285714285714285714286
72,一级乙等,E11.400,S,16,11.525625,496.54375,1217.961875,2513.05625
73,一级乙等,E11.401,S,14,61.46428571428571428571428571,566.92,1552.90,2704.805714285714285714285714
74,一级乙等,E11.500,S,27,62.04703703703703703703703704,455.9033333333333333333333333,1497.002962962962962962962963,2716.907037037037037037037037
75,一级乙等,E11.503,S,24,37.88166666666666666666666667,632.6875,1682.525416666666666666666667,2914.878333333333333333333333
76,一级乙等,E11.600,S,28,19.83357142857142857142857143,478.9946428571428571428571429,1341.153928571428571428571429,2504.409285714285714285714286
77,一级乙等,E11.700,S,37,39.83432432432432432432432432,565.9675675675675675675675676,1366.865675675675675675675676,2375.975675675675675675675676
78,一级乙等,E11.800,S,55,26.71090909090909090909090909,653.4009090909090909090909091,2300.603818181818181818181818,4201.729272727272727272727273
79,一级乙等,E11.900,S,465,39.35348387096774193548387097,597.6353978494623655913978495,1295.046258064516129032258065,2523.989010752688172043010753
80,一级乙等,E14.500,S,21,56.28809523809523809523809524,801.6523809523809523809523810,1817.207619047619047619047619,3358.955714285714285714285714
81,一级乙等,E14.700,S,10,30.967,724.443,1350.755,2514.015
82,一级乙等,E14.800,S,31,16.36096774193548387096774194,423.8564516129032258064516129,894.5183870967741935483870968,1648.453548387096774193548387
83,一级乙等,E14.900,S,30,39.43866666666666666666666667,607.39,1744.552,3284.409333333333333333333333
84,一级乙等,E16.200,S,11,42.31363636363636363636363636,425.7772727272727272727272727,1591.667272727272727272727273,2760.185454545454545454545455
