科室名称,入院人次,人次占比
外科,111396,39.08%
内科,43486,15.26%
眼科,30333,10.64%
妇产科,29379,10.31%
中医科,25132,8.82%
耳鼻咽喉科,16160,5.67%
肿瘤科,7354,2.58%
小儿外科,5705,2.00%
重症医学科,3118,1.09%
疼痛科,2224,0.78%
儿科,2211,0.78%
全科医疗科,1932,0.68%
急诊医学科,1494,0.52%
康复医学科,911,0.32%
口腔科,835,0.29%
中西医结合科,812,0.28%
传染科,710,0.25%
医学影像科,556,0.20%
其他业务科室,371,0.13%
皮肤科,143,0.05%
结核病科,133,0.05%
职业病科,126,0.04%
预防保健科,123,0.04%
运动医学科,106,0.04%
临终关怀科,88,0.03%
医疗美容科,72,0.03%
,54,0.02%
精神科,37,0.01%
特种医学与军事医学科,16,0.01%
妇女保健科,2,0.00%
民族医学科,1,0.00%
,1,0.00%
儿童保健科,1,0.00%
