,0
其他模型-其他数据平均OE,4.276488178475108
全量模型-其他数据平均OE,3.6299408415870604
妇幼模型-妇幼数据平均OE,1.665813026790632
全量模型-妇幼数据平均OE,3.208102249189799
口腔模型-口腔数据平均OE,3.584241758299276
全量模型-口腔数据平均OE,2.528076807665717
肿瘤模型-肿瘤数据平均OE,4.59900844862874
全量模型-肿瘤数据平均OE,2.9771337363993378
骨科模型-骨科数据平均OE,3.8300079223063603
全量模型-骨科数据平均OE,3.736350992636876
