,basy_zyzd_jbbm_for_str_4,basy_yydj,basy_ssjczbm1_for_str_4,age_group,AGE-HAOCAI-4-4-E,AGE-JCJY-4-4-E,AGE-YP-4-4-E,AGE-ZFY-4-4-E,记录条数-4-4
273,A15.,6,,5,424.4607894736842,5262.497105263157,5117.417368421052,14506.80657894737,38
274,A15.,6,,6,457.02456521739134,4972.187173913043,3172.7889130434783,11323.093260869564,46
275,A15.,6,,8,431.1679487179487,5560.591025641025,3754.818461538462,12654.378717948719,39
312,A15.,6,33.2,2,512.1708823529412,5556.400882352941,2535.9479411764705,11410.219705882353,34
313,A15.,6,33.2,3,451.03137931034485,5809.127586206897,2081.5110344827585,11303.721724137931,29
314,A15.,6,33.2,4,912.5419444444445,6802.296388888889,3260.2136111111113,14462.674166666668,36
315,A15.,6,33.2,5,586.8696666666666,6833.170444444444,3009.5911111111113,14691.201888888889,90
316,A15.,6,33.2,6,620.4184337349398,6045.061807228915,2715.6196385542166,12872.484457831324,83
317,A15.,6,33.2,8,515.7255,5500.564333333333,2607.004,12238.167166666668,60
514,A16.,6,,5,373.8546428571429,4328.8778571428575,3149.3114285714287,9614.810357142856,28
515,A16.,6,,6,414.65868421052636,4674.154210526315,3451.4842105263156,10924.282894736842,38
516,A16.,6,,8,363.69076923076926,4790.45641025641,3029.7817948717952,10338.109743589745,39
548,A16.,6,33.2,1,470.218,6316.585,2664.48525,11948.84525,40
549,A16.,6,33.2,2,508.87239130434784,5848.867173913044,2654.3965217391305,11850.390217391303,46
550,A16.,6,33.2,3,437.2219565217391,5858.764782608696,2922.271304347826,12026.826086956522,46
551,A16.,6,33.2,4,426.67290322580646,6065.495806451613,3258.8835483870967,12409.525806451613,31
552,A16.,6,33.2,5,613.0516666666667,6454.004861111111,2660.2081944444444,12575.430138888889,72
553,A16.,6,33.2,6,630.7239344262296,6322.457049180328,2592.3924590163933,13249.72786885246,61
554,A16.,6,33.2,8,571.8757142857143,5664.535892857143,2444.148035714286,11808.82142857143,56
1194,A41.,5,,8,422.35627450980394,4701.287843137255,2950.890588235294,11815.972941176471,51
1195,A41.,5,,9,394.2978571428571,4753.907142857143,2754.1764285714285,11931.19380952381,42
1314,A41.,5,96.7,8,3362.550256410256,11831.085128205128,10682.83435897436,38762.715641025636,39
1315,A41.,5,96.7,9,3621.005833333333,12420.565833333334,12913.785833333333,42718.1325,24
1331,A41.,6,,0,329.09560747663556,1988.2665420560747,1398.6355140186915,5346.413084112149,107
1332,A41.,6,,1,462.87714285714287,3108.1380952380955,3400.072857142857,9400.221428571429,21
1335,A41.,6,,4,572.949090909091,5897.639090909091,6235.585757575757,17143.07393939394,33
1336,A41.,6,,5,762.0226530612244,5941.453775510204,6036.732959183673,16950.323061224488,98
1337,A41.,6,,6,554.911875,7106.836160714286,5547.762142857143,17969.427410714285,112
1338,A41.,6,,8,517.5336,7156.889942857143,5017.884914285714,17247.526628571428,175
1339,A41.,6,,9,615.7491935483871,6722.8643010752685,4778.769569892474,18055.56741935484,186
1382,A41.,6,33.2,6,817.4143243243244,10627.933783783783,7501.861351351351,27521.96189189189,37
1383,A41.,6,33.2,8,880.3145238095237,11583.144285714287,7418.478809523809,30072.57738095238,42
1384,A41.,6,33.2,9,993.6989361702127,11695.495744680851,7063.532765957446,31020.47829787234,47
1412,A41.,6,38.9,5,2407.896279069768,12303.117209302327,11986.193255813954,36904.69441860465,43
1413,A41.,6,38.9,6,1556.169090909091,11837.292045454546,7918.8775,30084.789318181818,44
1414,A41.,6,38.9,8,1685.23375,10939.79453125,7733.7628125,29514.86609375,64
1415,A41.,6,38.9,9,1698.2451807228917,13959.913855421688,10966.369397590362,40427.01108433735,83
1430,A41.,6,39.9,8,5307.657916666666,11398.552083333334,7839.160833333334,37302.50916666666,24
1656,A41.,6,93.9,5,983.8993548387097,9027.303548387097,9047.64806451613,26980.832258064518,31
1657,A41.,6,93.9,6,1048.3175,10475.389545454545,5691.0575,23722.171363636364,44
1658,A41.,6,93.9,8,1253.5691666666667,9090.853928571429,6951.534166666666,25014.657142857144,84
1659,A41.,6,93.9,9,1070.82536,9588.371040000002,6633.08528,24312.62248,125
1664,A41.,6,96.0,6,3106.4772727272725,20173.79090909091,12959.119090909091,60763.67181818182,22
1665,A41.,6,96.0,8,3189.3825,21264.595833333333,12978.2775,66197.05777777778,36
1666,A41.,6,96.0,9,2482.0385714285712,20590.47476190476,12554.192857142856,57390.369523809524,21
1676,A41.,6,96.7,5,5579.90527027027,19077.32972972973,21266.419324324324,66939.2177027027,74
1677,A41.,6,96.7,6,9144.930740740741,23287.882469135802,28468.2824691358,93993.8125925926,81
1678,A41.,6,96.7,8,6669.445384615385,21823.378321678323,25160.432447552448,79570.86216783217,143
1679,A41.,6,96.7,9,4631.931730769231,20081.09423076923,18705.72326923077,64735.54346153846,104
1699,A41.,6,99.2,0,355.08916666666664,2031.075,2408.2425,7423.03875,24
2017,A86.,6,03.3,0,619.7340909090909,4447.966818181819,2853.2227272727273,11487.585,22
2022,A86.,6,03.3,5,907.4228571428572,8047.400952380953,3142.3004761904763,19027.422857142858,21
2220,B02.,6,,6,369.80080000000004,2074.268,1765.6688000000001,6326.706800000001,25
2221,B02.,6,,8,385.76675,2574.6375,1692.1619999999998,6686.380999999999,40
2222,B02.,6,,9,328.9168181818182,2758.6363636363635,1975.3731818181818,7502.51,22
2235,B02.,6,03.9,5,1673.6819047619047,2912.8619047619045,1709.4361904761904,9929.66142857143,21
2241,B02.,6,04.2,5,1548.6899999999998,2593.400416666667,1081.8870833333333,9348.73375,24
2242,B02.,6,04.2,6,1377.9513043478262,3250.8223913043475,1183.0452173913043,10208.71847826087,46
2243,B02.,6,04.2,8,1684.1200000000001,3945.728205128205,1188.063846153846,11977.84,39
2248,B02.,6,04.4,6,2298.6076000000003,3167.6240000000003,1194.4564,11386.796,25
2249,B02.,6,04.4,8,2877.0468,2937.4159999999997,1059.3447999999999,11843.5916,25
2372,B08.,6,,0,242.87238095238095,1179.6209523809525,581.0890476190476,3042.714761904762,21
2412,B18.,6,,3,312.00428571428574,3193.052380952381,4359.969047619048,9893.142857142857,21
2414,B18.,6,,5,264.33272727272725,3355.4454545454546,2881.3645454545454,8151.029090909092,22
2482,B20.,6,,5,405.4656521739131,5386.435217391304,5401.873913043479,14571.276956521739,23
2645,B27.,6,,0,336.14659574468084,1315.2191489361703,899.860425531915,4025.040638297872,47
2710,B37.,6,,8,626.3568,5736.9016,6557.4364000000005,17525.8412,25
2711,B37.,6,,9,580.0042424242424,7322.25393939394,6072.674848484849,18558.00212121212,33
2721,B37.,6,33.2,8,620.7311111111112,6937.0285185185185,5375.115555555555,18638.18,27
2756,B37.,6,93.9,9,1157.4499999999998,10362.706818181818,7999.427272727273,27789.480454545454,22
2823,B44.,6,,6,513.6453571428572,5298.964642857143,5280.253571428571,14312.725,28
2824,B44.,6,,8,502.3123076923077,5148.150000000001,5965.192307692308,15980.141794871795,39
2825,B44.,6,,9,612.192380952381,6293.6547619047615,7326.746666666666,20985.416666666668,21
2850,B44.,6,33.2,4,804.1233333333333,6063.842380952381,5045.18380952381,15678.349523809526,21
2851,B44.,6,33.2,5,787.5765714285715,5559.0314285714285,5295.237714285715,15965.907428571429,35
2852,B44.,6,33.2,6,970.884761904762,8081.299047619048,8762.259285714286,24178.304523809526,42
2853,B44.,6,33.2,8,774.1242500000001,6971.9,7768.9615,21546.59375,40
2854,B44.,6,33.2,9,849.0008695652174,7180.873478260869,8002.095652173913,22817.224782608697,23
2887,B44.,6,93.9,8,1005.7510714285714,7985.788214285714,8699.558928571429,27208.615714285716,28
3036,B49.,6,,6,742.2576190476191,5324.512857142858,6739.314285714286,17176.70142857143,21
3037,B49.,6,,8,725.0733333333333,6263.202424242424,5587.561818181818,17309.78636363636,33
3038,B49.,6,,9,624.8089285714286,7571.083214285715,5640.938214285715,20232.390000000003,28
3062,B49.,6,22.2,5,1057.154074074074,1617.5703703703705,974.7511111111111,10144.294444444446,27
3069,B49.,6,22.5,4,1406.0778260869565,2218.6804347826087,1304.9982608695652,12033.588260869567,23
3070,B49.,6,22.5,5,1574.4275,1839.2278571428574,1122.7060714285715,10914.293214285715,28
3071,B49.,6,22.5,6,1535.5590476190478,2072.3380952380953,1286.8438095238096,10979.752380952381,21
3090,B49.,6,33.2,8,852.1965384615385,8820.337692307692,7561.091538461538,23940.896153846155,26
3134,B49.,6,93.9,8,807.0490909090909,6849.371818181818,6842.382121212122,22228.93,33
3135,B49.,6,93.9,9,1408.418846153846,8394.028846153846,8937.636153846153,28546.356153846154,26
3572,C11.,6,29.1,5,1767.32,8182.90347826087,2478.4665217391303,16559.414782608696,23
3796,C15.,5,42.4,6,23191.201363636363,9650.827272727272,7613.4063636363635,60156.200909090905,22
3879,C15.,6,42.2,6,655.3013636363637,5818.411363636364,1940.513181818182,12444.482272727271,22
3880,C15.,6,42.2,8,642.6184,4857.8488,1866.3968,9206.0772,25
3882,C15.,6,42.3,5,4398.852800000001,5942.994000000001,2228.7232,20475.372,25
3884,C15.,6,42.3,8,5389.328399999999,6642.828399999999,3423.1556,25233.517200000002,25
3888,C15.,6,42.4,5,26188.719900990098,10367.844554455445,11941.513861386138,72130.04544554456,101
3889,C15.,6,42.4,6,26624.11879432624,11020.198014184396,12313.481276595743,72396.55035460992,141
3890,C15.,6,42.4,8,28036.564910714285,12235.179999999998,14413.727946428571,79971.26473214287,112
3910,C15.,6,44.1,6,749.043,4725.503333333333,2441.766,11373.639666666666,30
3911,C15.,6,44.1,8,776.8492592592593,7782.7,2114.1644444444446,13723.07962962963,27
3915,C15.,6,45.1,6,1391.5090476190476,5964.333333333333,3238.579523809524,13381.19142857143,21
3955,C15.,6,99.2,5,889.4725,5005.359375,3174.8140625,11222.7425,32
3956,C15.,6,99.2,6,984.6164285714285,4471.896904761905,3709.967142857143,11464.770952380952,42
