,basy_yydj,basy_ssjczbm1_for_str_7,HAOCAI-only_operation-7-E,JCJY-only_operation-7-E,YP-only_operation-7-E,ZFY-only_operation-7-E,记录条数-only_operation-7
0,1,,78.2452936181775,1089.9378286859355,1967.3854518900928,5188.888438338484,29443
13,1,01.4102,2104.806153846154,2668.6923076923076,5451.006153846154,19197.92769230769,26
28,1,03.3101,239.32452054794518,1747.650684931507,6198.158493150685,13259.618219178083,73
31,1,03.5305,11442.347826086956,2152.35652173913,4234.9582608695655,25385.417826086956,23
36,1,03.9102,328.2594117647059,1360.8735294117646,1321.3805882352942,5653.71294117647,34
56,1,04.4900,162.12641025641025,1291.1102564102564,2868.6666666666665,9309.746666666666,39
65,1,04.8101,83.88975088967972,932.2419928825623,934.8468327402136,4358.5882206405695,281
72,1,06.1101,11762.360816326529,1819.1265306122448,2564.529285714286,22062.552346938774,98
74,1,06.3100,15262.988205128206,1497.8358974358973,3088.4769230769234,27251.13435897436,39
91,1,08.4902,134.06805555555556,573.2141666666666,283.19064814814817,1830.7664814814814,108
105,1,09.8100,292.8983928571429,613.4357142857143,863.3373214285714,3226.441071428572,56
106,1,09.8101,1230.6410714285714,529.8571428571429,425.3742857142857,4200.465357142857,28
113,1,10.9100,21.04,1025.936,785.6576,2108.8456,25
120,1,11.3201,151.93643356643358,673.2552447552448,300.0935664335664,2099.3785314685315,143
122,1,11.3203,1966.633076923077,450.70384615384614,181.66038461538463,3476.5234615384616,26
123,1,11.3900,210.16385714285713,584.0071428571429,232.39042857142857,1877.9104285714286,70
124,1,11.3901,328.79954337899545,510.86168949771695,173.09155251141553,2285.0070776255707,219
140,1,13.4100,2124.0222891566264,702.5783058387395,168.27350695088043,5256.757957367933,5395
144,1,13.7000,2607.2047878787876,632.760606060606,294.3450606060606,4850.129242424242,330
145,1,13.7100,1975.629005524862,557.6810313075506,153.26315837937386,4486.402872928177,1086
155,1,14.6x02,1557.8779411764706,718.214705882353,291.8791176470588,5614.285294117647,34
158,1,14.7401,4055.482395833333,760.578125,361.75322916666664,10577.781041666667,96
159,1,14.7903,156.58722222222224,555.125,255.61041666666668,1947.027916666667,72
179,1,17.9121,757.0141666666667,550.5125,3978.943333333333,5709.778333333333,24
180,1,17.9127,15.5512,625.372,832.7231999999999,3355.8584,25
181,1,17.912A,29.3203125,724.8721354166668,1138.960625,4326.32015625,192
185,1,17.9200,57.56666666666667,1245.1100000000001,1624.3148333333334,4951.470166666667,60
189,1,17.9500,33.15052083333333,775.3288194444444,1896.2752777777778,4006.4417013888888,288
191,1,17.9571,248.7173333333333,1128.9488888888889,961.3444444444444,4725.940666666667,45
192,1,17.9610,46.142580645161296,838.9758064516129,1849.061612903226,4592.776774193548,31
194,1,17.9700,141.81416666666667,700.8513888888889,1781.9520833333333,3395.6075,72
208,1,17.9833,3880.1761658031087,507.76839378238344,5351.2205699481865,11541.288497409327,193
210,1,17.9851,3409.3628888888884,457.2533333333334,6259.637333333333,13224.091777777778,45
223,1,20.4900,1369.7358823529412,1778.964705882353,4237.3949999999995,13874.793235294117,34
238,1,21.6903,1209.5194285714285,679.2371428571429,1369.481142857143,5479.169142857143,35
242,1,21.8400,1196.3327027027026,861.4000000000001,2290.9702702702702,6932.592162162162,37
252,1,22.5300,1281.5032075471697,1185.3424528301887,2909.141603773585,9678.032264150945,106
255,1,22.6002,170.1076923076923,747.1692307692308,1341.1684615384615,5524.386153846154,26
277,1,28.6x01,2135.48,634.5095238095239,1400.5709523809523,6668.435714285714,21
282,1,29.3901,1117.4366666666665,1349.3333333333333,3250.1085714285714,8115.967619047619,21
296,1,32.2400,14308.24090909091,1765.2727272727273,1022.7003030303031,20679.87272727273,33
303,1,34.0401,170.3280769230769,1641.0069230769232,2932.075384615385,7004.003846153846,26
316,1,38.3000,2582.3862222222224,1174.5111111111112,1589.4924444444446,10151.750888888888,45
318,1,38.5900,906.3857746478874,1487.890985915493,2576.858338028169,16588.732366197182,355
319,1,38.5901,2517.726666666667,1341.0870833333333,1574.2416666666668,10229.608333333334,24
335,1,39.2700,416.97107142857146,1089.3728571428571,2044.1732142857143,6220.223928571429,28
338,1,39.3100,3991.1053333333334,892.3383333333334,3613.867333333333,17472.408333333333,30
344,1,39.5000,7224.618494623656,1018.6705376344086,731.862688172043,12358.025268817206,93
