,0
其他模型-其他数据平均OE,1.9872813040759196
全量模型-其他数据平均OE,1.90317163771871
妇幼模型-妇幼数据平均OE,1.4800390343516094
全量模型-妇幼数据平均OE,2.207945226572124
口腔模型-口腔数据平均OE,1.2752870657793653
全量模型-口腔数据平均OE,1.8403551832368386
肿瘤模型-肿瘤数据平均OE,1.5699979948856781
全量模型-肿瘤数据平均OE,1.3890624277855257
骨科模型-骨科数据平均OE,1.5174918017535983
全量模型-骨科数据平均OE,2.134715525124379
中医模型-中医数据平均OE,2.0471011442290417
全量模型-中医数据平均OE,2.472508252830177
