科室名称,入院人次,人次占比
外科,81928,54.92%
内科,20045,13.44%
中医科,11442,7.67%
眼科,9970,6.68%
妇产科,8557,5.74%
耳鼻咽喉科,4961,3.33%
肿瘤科,3678,2.47%
重症医学科,1867,1.25%
小儿外科,1201,0.81%
急诊医学科,919,0.62%
全科医疗科,665,0.45%
儿科,634,0.42%
口腔科,565,0.38%
疼痛科,511,0.34%
传染科,498,0.33%
康复医学科,453,0.30%
医学影像科,337,0.23%
其他业务科室,302,0.20%
中西医结合科,223,0.15%
运动医学科,188,0.13%
医疗美容科,61,0.04%
结核病科,53,0.04%
皮肤科,38,0.03%
预防保健科,37,0.02%
临终关怀科,17,0.01%
职业病科,14,0.01%
精神科,13,0.01%
特种医学与军事医学科,7,0.00%
妇女保健科,3,0.00%
,2,0.00%
