科室名称,耗材费_区间,科别总人次,科别_费用区间人次,费用区间人次占比
民族医学科,"[0,30)",1184,1066,90.034%
民族医学科,"[100, 500)",1184,17,1.436%
民族医学科,"[1000, 3000)",1184,1,0.084%
民族医学科,"[10000, +++)",1184,2,0.169%
民族医学科,"[30, 100)",1184,98,8.277%
中西医结合科,"[0,30)",33550,22195,66.155%
中西医结合科,"[100, 500)",33550,4027,12.003%
中西医结合科,"[1000, 3000)",33550,813,2.423%
中西医结合科,"[10000, +++)",33550,94,0.280%
中西医结合科,"[30, 100)",33550,5604,16.703%
中西医结合科,"[3000, 10000)",33550,223,0.665%
中西医结合科,"[500, 1000)",33550,594,1.770%
其他业务科室,"[0,30)",11302,6600,58.397%
其他业务科室,"[100, 500)",11302,1842,16.298%
其他业务科室,"[1000, 3000)",11302,371,3.283%
其他业务科室,"[10000, +++)",11302,294,2.601%
其他业务科室,"[30, 100)",11302,1561,13.812%
其他业务科室,"[3000, 10000)",11302,302,2.672%
其他业务科室,"[500, 1000)",11302,332,2.938%
,"[0,30)",16,7,43.750%
,"[100, 500)",16,5,31.250%
,"[30, 100)",16,4,25.000%
,"[0,30)",279,162,58.065%
,"[100, 500)",279,49,17.563%
,"[1000, 3000)",279,54,19.355%
,"[30, 100)",279,11,3.943%
,"[3000, 10000)",279,2,0.717%
,"[500, 1000)",279,1,0.358%
