,口腔科,basy_zyzd_jbbm,耗材费,count
102,0,产前筛查,0.0,2
103,0,产力异常	,551.705979020979,5434
104,0,产后出血	,712.6615549516907,6624
105,0,产后医疗照顾和检查,29.265298913043477,368
106,0,产科栓塞	,5945.02649122807,57
107,0,"产程和分娩并发产时出血,不可归他处者	",1025.2456521739132,23
108,0,产程和分娩并发胎儿应激反应	,697.4142946341462,5125
109,0,产程和分娩并发脐带并发症	,593.2067653483559,17396
110,0,产程和分娩期间麻醉的并发症	,592.612,5
111,0,"产程和分娩的其他并发症,不可归类在他处者	",452.84150101419874,493
112,0,产褥期中麻醉的并发症	,489.45750000000004,4
113,0,"产褥期的并发症,不可归类在他处者	",198.2853146853147,572
114,0,产褥期的静脉并发症	,1839.9442105263156,19
115,0,产褥期脓毒病	,581.6793650793651,126
116,0,亨廷顿病,2319.3942857142856,14
117,0,人工造口状态,2682.379705882353,102
118,0,人类免疫缺陷病毒[HIV]病造成的传染病和寄生虫病,517.4194598687532,1981
119,0,人类免疫缺陷病毒[HIV]病造成的其他情况,243.65956043956044,91
120,0,人类免疫缺陷病毒[HIV]病造成的其他特指的疾病,490.1966086956522,460
121,0,人类免疫缺陷病毒[HIV]病造成的恶性肿瘤,1256.7802040816325,49
122,0,人类免疫缺陷病毒[HlV]的实验室证据,68.25610619469026,113
123,0,企图流产失败	,223.4850406504065,123
124,0,"休克,不可归类在他处者",930.7411776626885,4441
125,0,传导性和感音神经性听觉丧失,1464.5668721555646,2417
126,0,传染性单核细胞增多症,114.76834814587802,6526
127,0,传染病和寄生虫病的特殊筛查,87.01,38
128,0,传染病病原携带者,253.67445205479453,146
129,0,伤寒和副伤寒,231.82303370786516,89
130,0,低体温,108.49888888888889,9
131,0,低血压,76.99781818181819,825
132,0,体被的其他先天性畸形,725.9741666666667,12
133,0,使用其他兴奋剂(包括咖啡因)引起的精神和行为障碍,115.7172,25
134,0,使用多种药物和其他精神活性物质引起的精神和行为障碍,279.77603448275863,58
135,0,使用大麻类物质引起的精神和行为障碍,0.0,9
136,0,使用挥发性溶剂引起的精神和行为障碍,16.02,1
137,0,使用致幻剂引起的精神和行为障碍,72.0,4
138,0,使用酒精引起的精神和行为障碍,72.67014492753624,4554
139,0,使用镇静剂或催眠剂引起的精神和行为障碍,643.0344444444445,27
140,0,使用阿片样物质引起的精神和行为障碍,54.93893617021277,47
141,0,"依赖于可启动机器和装置,不可归类在他处者",548.4654838709678,31
142,0,借助产钳和真空吸引器的单胎分娩	,522.4455,60
143,0,假临产	,44.26781857451404,2778
144,0,偏头痛,115.52123605947955,3228
145,0,偏瘫,101.7687445703585,51799
146,0,先天性晶状体畸形,3408.009829268293,410
147,0,先天性梅毒,253.325,14
148,0,先天性病毒性疾病,262.68529411764706,17
149,0,先天性眼后段畸形,2284.0514285714285,35
150,0,先天性碘缺乏综合征,27.5,1
151,0,先天性肺炎,261.5990613300398,25909
152,0,先天性脑积水,16300.812222222223,18
153,0,克罗恩病[局限性肠炎],382.79943283582094,2345
154,0,"入脑前动脉的闭塞和狭窄,未造成脑梗死",8402.62715995397,13035
155,0,全身性抗生素中毒,109.03407407407407,162
156,0,全身性硬皮病,263.9706515957447,752
157,0,全身炎症反应综合征,94.49083333333334,24
158,0,其他B族维生素缺乏病,125.32768261964735,397
159,0,其他B细胞淋巴瘤[恶性免疫增生性疾病],919.0424242424243,66
160,0,其他丘疹鳞屑性疾患,60.42714285714286,21
161,0,"其他主要为性传播的疾病,不可归类在他处者",344.72285347043703,1167
162,0,其他产伤,76.71068965517242,29
163,0,其他产科创伤	,435.203579647419,9473
164,0,其他产褥感染	,169.11569044006072,659
165,0,其他代谢紊乱,2692.944739831159,6515
166,0,"其他以皮肤和粘膜损害为特征的病毒性感染,不可归类在他处者",45.00127388090922,14342
167,0,其他传导疾患,16715.540959894806,1521
168,0,其他传染性和未特指病因的胃肠炎和结肠炎,30.765232119959176,76426
169,0,"其他传染性病原体引起的肺炎,不可归类在他处者",111.81834560628376,2037
170,0,其他先天性传染病和寄生虫病,648.8925,8
171,0,"其他先天性畸形,不可归类在他处者",1216.5473022151898,1264
172,0,其他免疫缺陷,335.78766467065867,167
173,0,其他全身性抗感染药和抗寄生虫药中毒,1066.7742307692308,26
174,0,其他关节炎,263.5339687131683,18666
175,0,"其他关节疾患,不可归类在他处者",184.39626515878945,28119
176,0,其他关节病,761.8206085332286,10172
177,0,其他内分泌疾患,118.42572942958101,1981
178,0,其他内分泌腺和有关结构的恶性肿瘤,5458.7354639175255,97
179,0,其他内部假体装置、植入物和移植物的并发症,1933.0670202020203,1386
180,0,其他内部器官的烧伤和腐蚀伤,470.51812500000005,48
181,0,其他再生障碍性贫血,209.6321682168217,9999
182,0,其他凝血缺陷,277.57522818791944,1490
183,0,其他分枝杆菌感染,464.1628967254408,397
184,0,其他功能性肠疾患,343.8508477261924,6311
185,0,"其他动物源性细菌性疾病,不可归类在他处者",479.2421893491124,169
186,0,其他动脉瘤,23275.804211369097,2498
187,0,其他助产的单胎分娩	,237.7252702702703,148
188,0,其他医疗照顾,446.8516525648704,470862
189,0,其他协调缺乏,136.60324786324787,234
190,0,其他单神经病,97.69389573188198,3491
191,0,其他原因不明确和未特指原因的死亡,620.8591891891892,148
192,0,"其他原虫性疾病,不可归类在他处者",4086.0909999999994,10
193,0,其他原虫性肠道疾病,72.235,6
194,0,其他变形性背部病,6281.8193454210195,6508
195,0,其他听觉丧失,64.58930078157829,11899
196,0,其他吸虫感染,383.98114754098356,61
197,0,其他周围血管疾病,3956.869879275654,497
198,0,其他呼吸性疾患,190.77998475940552,396310
199,0,其他和不明确部位的恶性肿瘤,2186.9638824289405,1548
200,0,其他和不明确部位的继发性恶性肿瘤,3210.6729446747163,5549
201,0,其他和原因不明的发热,116.44048156182212,4610
202,0,其他和未特指原因引起的脑膜炎,451.46345911949686,159
203,0,其他和未特指原因所致的新生儿黄疸,56.720551844994056,30244
204,0,其他和未特指物质的毒性效应,487.9525793650794,252
205,0,其他和未特指的传染病,86.26569000878992,3413
206,0,其他和未特指的传染病和寄生虫病的后遗症,274.1834295868503,2251
207,0,其他和未特指的梅毒,146.01346153846154,390
208,0,其他和未特指胸内器官损伤,2742.8247657800716,5038
209,0,其他和未特指部位的动态未定或动态未知的肿瘤,1671.612038166745,6393
210,0,其他和未特指部位的原位癌,2244.32599009901,202
211,0,其他和未特指部位的良性肿瘤,1211.381193151418,3738
212,0,其他器官、系统和组织标本的异常所见,205.91,3
