,basy_rykb_name,OE
0,中医科,0.744607412396052
1,中西医结合科,0.8579429451149887
2,临终关怀科,0.8185377589609977
3,传染科,1.1139205362068387
4,儿科,0.7927987102255526
5,儿童保健科,0.4016296977119813
6,全科医疗科,0.7254597024028282
7,其他业务科室,0.9454046945166602
8,内科,1.063941231360027
9,医学影像科,1.55665116882499
10,医学检验科,0.8697260712089048
11,医疗美容科,0.31047651440043517
12,口腔科,0.9283086064752455
13,外科,1.0141438322563934
14,妇产科,0.9679324119741094
15,妇女保健科,0.5173270513845877
16,小儿外科,0.6356397950172958
17,康复医学科,0.6398546507996323
18,急诊医学科,1.3193363480430285
19,民族医学科,0.5055334727180943
20,特种医学与军事医学科,0.6405591779874198
21,疼痛科,0.9713323266821492
22,病理科,1.2727627856864743
23,皮肤科,0.6434723930379462
24,眼科,0.657251873148347
25,空白,0.6855355808962862
26,精神科,1.1689531645772906
27,结核病科,1.5459559548576585
28,耳鼻咽喉科,0.8130597465665393
29,职业病科,0.7678341304192772
30,肿瘤科,1.0823379066950602
31,运动医学科,1.036627857908844
32,重症医学科,0.9257557750456734
33,预防保健科,0.6526596812812077
