,max_depth,num_leaves,learning_rate,MODEL_VAL_RMSE,MODEL_TRAIN_RMSE,MODEL_TRAIN_MAX,MODEL_VAL_MOE,MODEL_VAL_STD,MODEL_VAL_MAX,MODEL_TRAIN_MOE,MODEL_TRAIN_STD
0,6,32,0.1,5091.547966355201,4881.436635897878,391341.24923273694,1.7488992659018048,186.81884086538722,69070.52815745627,1.6006788462156458,343.64654709099716
1,6,32,0.1,5086.980412240013,4875.319610624156,42848.56157352165,0.9884311176481936,8.142929885118223,4638.143432745485,1.0540267505665843,54.29864379846407
2,6,32,0.2,5089.409767092342,4820.355801881853,1809.0166869306652,0.9906587716758631,7.127464400279641,3572.183944001118,0.9953351588167872,5.244840516099201
3,6,32,0.2,5084.42831935174,4825.321575844002,2278.5612270640468,0.9946845613308211,12.051993729204652,5199.653138184937,0.9670901707737275,8.134334641703154
4,6,32,0.4,5114.843077263276,4766.155686703304,2281.5346301227496,1.003424908858214,4.886633131060641,1616.1250288078588,0.9893958551849066,7.588865475985288
5,6,32,0.4,5105.4594287553355,4768.3761614006535,26647.870195578238,1.063784544478011,30.294361536384507,13645.401242372,1.103747942450984,40.945534283115045
6,6,32,0.8,5156.833302360116,4727.946179153185,11258.486032685549,1.2254616743537956,49.14389086162801,19261.851273475375,1.00277532014029,34.348073863675616
7,6,32,0.8,5152.930404409665,4731.719517620086,9645.470125688322,0.97667306587759,17.773602126837243,6105.2535890031395,0.9650000537727689,13.668414141682268
8,6,64,0.1,5093.44447405538,4848.506369886435,604.1201096383973,0.9875984713744664,1.940945978483306,484.5834558113115,0.989077903362818,2.6317272037571953
9,6,64,0.1,5091.863341997652,4847.173834569612,732.8026160913793,0.9847412971576598,1.4362782850129405,441.22449913417324,0.971299082162234,10.16868856869026
10,6,64,0.2,5090.386453705767,4804.237861653301,15066.281102373052,0.9337661172154627,24.672990273490804,1831.475982105883,0.9648806043730654,22.94118579664779
11,6,64,0.2,5096.473530335711,4802.09775605485,10864.728392714513,0.9877880077640272,6.353649250438679,2468.661973996101,1.0147422314737296,15.195686193721427
12,6,64,0.4,5115.548422956183,4746.48888024931,5230.012727913667,0.9465574952119745,19.817163951055214,584.0611614870211,0.9903216927248208,10.785471016877388
13,6,64,0.4,5103.235396740827,4746.902531339756,3101.357189525949,0.9962115101091211,6.4925172057112475,1821.539173661,1.0081841472616566,9.327701023794683
14,6,64,0.8,5168.725928490714,4709.80437636133,51508.13669791532,0.9930319832564605,8.181744974636263,2695.1669203796505,1.0353020598646008,42.96398309885452
