,basy_yydj,basy_ssjczbm1_for_str_7,age_group,AGE-HAOCAI-only_operation-7-E,AGE-JCJY-only_operation-7-E,AGE-YP-only_operation-7-E,AGE-ZFY-only_operation-7-E,记录条数-only_operation-7
0,1,,0,187.98836222355052,784.9848953974895,1025.0807232516438,4656.237704722056,1673
1,1,,1,54.55159944367176,823.7817802503477,1254.0273296244784,3796.744993045897,719
2,1,,2,68.03422198041349,957.5582480957563,1606.4928182807398,5251.803264417846,919
3,1,,3,75.44241588156123,1012.4015006729476,1864.7855181695827,5397.970323014805,1486
4,1,,4,102.16995928338763,1000.5455985342021,1970.8008957654722,5648.942548859935,2456
5,1,,5,87.50125172890733,1034.9276953665283,1926.6871732365144,5343.49851659751,5784
6,1,,6,60.38920769230769,1085.3737711538463,2022.911326923077,4850.929996153846,5200
7,1,,8,57.42080094576622,1157.0798817792227,2074.7276015959806,4885.76182207773,6767
8,1,,9,71.14013741833746,1325.4721896823607,2369.592203198919,5934.111581437261,4439
144,1,04.8101,4,84.18,826.4621276595745,834.9248936170213,3942.0842553191487,47
145,1,04.8101,5,79.15941860465117,888.6989534883721,820.5532558139535,4524.731279069768,86
146,1,04.8101,6,97.34553571428572,894.4180357142858,1027.4089285714285,4561.885,56
147,1,04.8101,8,79.02413793103447,1080.1975862068966,1044.1868965517242,4285.877413793103,58
164,1,06.1101,4,10272.2875,1754.8285714285714,2223.522142857143,19368.28107142857,28
165,1,06.1101,5,11674.771515151515,1843.2121212121212,2528.197272727273,22036.98393939394,33
208,1,08.4902,8,131.22642857142856,589.6616071428572,311.26982142857145,1902.2364285714286,56
273,1,11.3201,5,177.06617647058823,725.5823529411764,400.98205882352937,2408.3170588235294,34
274,1,11.3201,6,178.28441860465117,633.3186046511628,253.23186046511626,1912.7209302325582,43
275,1,11.3201,8,88.8325,598.575,185.2075,1741.04,36
284,1,11.3900,6,177.3426923076923,604.3615384615384,219.89769230769232,1802.3250000000003,26
285,1,11.3900,8,244.60956521739132,612.4521739130435,221.34217391304347,2004.621304347826,23
290,1,11.3901,4,261.46565217391304,407.9478260869566,178.7691304347826,2147.583043478261,23
291,1,11.3901,5,319.61,471.6184782608696,204.01760869565217,2573.3217391304347,46
292,1,11.3901,6,341.8435820895522,530.1059701492537,171.43223880597014,2221.7873134328356,67
293,1,11.3901,8,366.97983870967744,583.7453225806452,154.68564516129032,2267.9161290322577,62
323,1,13.4100,4,2934.7594915254235,669.1047457627119,192.97254237288138,6995.898474576271,59
324,1,13.4100,5,2890.946008492569,684.8985987261146,171.8591082802548,6565.438917197453,471
325,1,13.4100,6,2192.3930582213693,718.8430134357006,170.67127959053104,5294.1869097888675,1563
326,1,13.4100,8,1988.7143315709968,699.0979833836858,165.0836593655589,5034.9559214501505,2648
327,1,13.4100,9,1894.8601708074534,692.7806677018633,170.7677950310559,4950.912748447205,644
339,1,13.7000,6,2533.7761379310346,644.1862068965518,295.07724137931035,4786.081655172414,145
340,1,13.7000,8,2598.2892063492063,625.1984126984127,293.88698412698415,4837.116666666666,126
341,1,13.7000,9,2624.2400000000002,621.725,292.43224999999995,4847.11725,40
344,1,13.7100,5,2347.4021296296296,600.8833333333333,190.14981481481482,4872.120277777778,108
345,1,13.7100,6,2078.5425872093024,567.4997093023255,151.8442441860465,4575.721598837209,344
346,1,13.7100,8,1870.719107505071,542.1529411764707,147.42851926977687,4356.920385395538,493
347,1,13.7100,9,1754.7385039370079,540.4574803149607,127.8359842519685,4384.421102362205,127
380,1,14.7401,5,3449.928181818182,831.0636363636363,385.7184848484848,9702.59303030303,33
381,1,14.7401,6,3688.1473333333333,688.1133333333333,373.173,11702.010666666667,30
382,1,14.7401,8,4975.928333333333,711.4708333333333,299.17875,10367.70375,24
388,1,14.7903,5,1.216,579.872,178.6636,1824.9979999999998,25
389,1,14.7903,6,1.5199999999999998,565.2181818181817,355.5531818181818,1781.5445454545456,22
436,1,17.912A,4,122.32,685.182,876.46,4445.933999999999,25
437,1,17.912A,5,10.96309090909091,610.8072727272728,981.6492727272727,3660.6532727272725,55
438,1,17.912A,6,14.266428571428573,810.9416666666666,1172.3561904761905,4339.934523809524,42
439,1,17.912A,8,22.334634146341465,806.8731707317074,1645.1470731707316,5113.090975609755,41
451,1,17.9200,5,63.895833333333336,1317.3999999999999,1991.1666666666667,5205.92875,24
465,1,17.9500,4,30.493793103448272,679.4241379310345,1828.0213793103446,3908.3837931034486,29
466,1,17.9500,5,25.99326530612245,725.645918367347,2022.807244897959,4006.9405102040814,98
467,1,17.9500,6,32.644603174603176,777.5936507936508,1847.9571428571428,3989.408095238095,63
468,1,17.9500,8,31.85322033898305,959.7728813559322,2001.0683050847458,4311.722372881356,59
469,1,17.9500,9,84.58380952380952,932.695238095238,1817.7038095238095,4459.120952380952,21
499,1,17.9700,8,139.77904761904762,646.9047619047619,1716.61,3247.99,21
530,1,17.9833,1,3303.3391666666666,450.2,5117.0575,10836.748333333333,24
531,1,17.9833,2,4194.966274509804,436.70588235294116,5193.91568627451,11485.563921568628,51
532,1,17.9833,3,4181.384285714285,475.2392857142857,5658.732857142857,12063.161785714285,28
533,1,17.9833,4,3712.039756097561,494.89512195121955,5675.831219512194,11597.01756097561,41
534,1,17.9833,5,3906.890571428572,559.5171428571429,5089.904285714286,11513.050571428572,35
665,1,22.5300,4,1257.1141666666667,1331.8500000000001,3166.48875,10259.15375,24
666,1,22.5300,5,1157.9525925925927,1066.5037037037036,2728.321111111111,9300.680740740741,27
851,1,38.5900,4,697.3752083333334,1366.4270833333333,2430.4,15352.785624999999,48
852,1,38.5900,5,766.8991489361701,1466.6148936170214,2572.2787234042553,16611.946737588652,141
853,1,38.5900,6,1014.3943157894738,1559.743157894737,2626.7137894736843,16925.05989473684,95
854,1,38.5900,8,1446.6315555555555,1572.2111111111112,2730.9264444444443,18063.091333333334,45
928,1,39.5000,5,7423.784054054055,979.0864864864864,637.2005405405406,12340.901351351351,37
946,1,39.7903,4,9144.14,2039.5,4986.559310344827,21986.475172413793,29
947,1,39.7903,5,8813.758666666667,2021.1555555555556,4004.2562222222223,19502.00377777778,45
955,1,39.9500,4,618.7043749999999,992.2716666666666,3245.3700000000003,8416.917916666667,48
956,1,39.9500,5,398.1910280373832,1027.9485046728973,2741.705046728972,7958.185327102805,107
957,1,39.9500,6,380.87710144927536,1134.4659420289854,2138.5497101449273,6424.180144927536,69
958,1,39.9500,8,721.8028333333334,1591.179,3269.7095,10609.997333333333,60
959,1,39.9500,9,663.1371428571429,1972.3761904761905,5758.400952380953,17101.29,21
973,1,39.9700,5,22.49709677419355,1523.0851612903225,4022.737741935484,18510.12225806452,31
1017,1,43.4101,4,50.83404761904761,664.5619047619048,1869.7645238095238,3821.4366666666665,42
1018,1,43.4101,5,152.03755813953487,725.9093023255814,1959.4219767441862,4363.034302325582,86
1019,1,43.4101,6,120.92371428571428,806.0885714285714,1849.002,4185.811428571428,35
1020,1,43.4101,8,445.91761904761904,759.1857142857143,2141.9561904761904,4602.45,21
1025,1,43.4105,4,463.305,652.275,3776.210882352941,6591.603529411765,34
1026,1,43.4105,5,536.088611111111,746.5397222222223,3360.6543055555558,6208.079444444444,72
1027,1,43.4105,6,415.13314285714284,827.7842857142857,2949.454,5877.424,35
1042,1,44.1300,3,36.96142857142858,1346.4704761904763,1031.7857142857142,3556.688571428571,21
1043,1,44.1300,4,98.48702702702703,1302.8791891891892,1569.375135135135,4640.67054054054,37
1044,1,44.1300,5,85.65545454545455,1125.8186868686869,1252.2354545454546,3659.722929292929,99
1045,1,44.1300,6,91.53055555555555,1302.5626666666667,1720.7888888888888,4177.024888888889,90
1046,1,44.1300,8,80.20902777777778,1472.23875,1933.117638888889,4687.286944444444,72
1058,1,45.1300,5,96.15935483870967,1499.2425806451613,801.1787096774194,2983.381935483871,31
1094,1,45.4200,5,826.9707500000001,688.5725,2395.49475,5710.4005,40
1196,1,49.0400,2,3570.50696969697,415.71515151515155,4238.23,10863.55696969697,33
1197,1,49.0400,3,2784.7403846153848,542.7684615384616,4683.010769230769,10645.271538461539,26
1228,1,49.4500,1,3049.681851851852,554.4222222222222,2326.052962962963,7771.812962962963,27
1229,1,49.4500,2,3353.8878125,620.984375,2813.004375,8852.364375,32
1244,1,49.4600,3,1538.235,412.1318181818182,2905.101818181818,6636.004999999999,22
1245,1,49.4600,4,2117.7880952380956,496.99047619047616,3588.4083333333333,9437.128333333334,42
1246,1,49.4600,5,1663.8612280701755,460.1061403508772,2978.2328070175436,7202.638596491229,57
1254,1,49.4900,2,8586.733235294118,679.0588235294117,2872.0917647058823,14370.681470588235,34
1256,1,49.4900,4,7993.291304347827,715.8452173913043,3107.494782608696,13894.808260869566,23
1257,1,49.4900,5,7434.62,738.3114285714286,2789.5954285714283,13071.491999999998,35
1263,1,49.4901,5,6069.222857142857,471.2657142857143,5107.956666666667,13610.955238095237,21
1299,1,51.0400,5,3500.2215384615383,2205.369230769231,7743.281538461539,18414.233076923076,26
1320,1,51.2300,3,1820.0925000000002,1632.9454545454546,4035.0143181818185,10751.78,44
1321,1,51.2300,4,1629.3345283018866,1418.8681132075471,2904.1884905660377,8768.066226415094,53
1322,1,51.2300,5,1372.075172413793,1371.0685344827587,3104.174396551724,9052.869655172415,116
1323,1,51.2300,6,1403.360925925926,1441.9492592592592,2703.58,8676.85925925926,54
1324,1,51.2300,8,1461.5936666666666,1274.4540000000002,2618.248,8281.612333333333,30
1416,1,54.5100,2,798.5216129032258,604.8,1546.2829032258064,18205.65548387097,31
1417,1,54.5100,3,929.00125,544.1175000000001,1426.57625,19169.3345,40
1422,1,54.5103,2,1845.9788235294118,617.1176470588235,651.17,15873.909411764707,34
1423,1,54.5103,3,2006.3968181818184,667.5431818181819,697.8990909090909,15499.185,44
1473,1,56.0x00,3,5855.863043478261,1971.4695652173914,4900.708913043479,17036.355217391305,46
1474,1,56.0x00,4,5902.875483870968,2075.3016129032258,4607.161451612903,16755.135,62
1475,1,56.0x00,5,5248.748817204301,1895.0610752688171,4163.707741935484,15464.7288172043,93
1476,1,56.0x00,6,5314.88275862069,2033.8137931034482,3948.5272413793105,15068.71827586207,29
1532,1,57.9400,8,655.0150000000001,2340.792857142857,3059.692857142857,7777.186428571428,28
1533,1,57.9400,9,830.0003703703703,3114.9333333333334,3481.4114814814816,9968.476296296296,27
1682,1,66.7905,2,96.04833333333333,615.2249999999999,1819.5747222222224,15732.108611111113,36
1683,1,66.7905,3,107.32366666666667,646.2666666666667,1698.756,15627.161333333333,30
1823,1,71.7102,2,654.77,2108.5307894736843,668.5871052631579,17474.71289473684,38
1824,1,71.7102,3,836.1244444444445,2155.6833333333334,567.9040740740741,20321.423333333336,27
1840,1,73.6x01,2,659.6935714285714,1721.162857142857,739.5645238095237,13321.168333333331,42
1850,1,74.1x01,2,845.4603157894737,1378.7919298245615,1183.029087719298,15215.515543859648,285
1851,1,74.1x01,3,1062.3032882882883,1899.9935585585586,1433.1960810810813,20799.45644144144,222
1862,1,75.6902,2,680.34,1941.6625,682.1764999999999,13805.572666666667,60
1863,1,75.6902,3,736.6734426229508,2981.1680327868853,651.5447540983607,20545.541311475412,61
2000,1,78.6103,5,475.4330434782609,656.8804347826087,1090.0947826086956,3821.382173913044,23
2048,1,78.6701,5,776.3029411764705,880.464705882353,1148.838823529412,5080.332352941176,34
