,basy_zyzd_jbbm_for_str_5,basy_yydj,basy_ssjczbm1_for_str_5,HAOCAI-5-5-E,JCJY-5-5-E,YP-5-5-E,ZFY-5-5-E,记录条数-5-5
15,A02.0,5,,70.96136363636364,1481.6113636363636,662.1095454545455,3322.7686363636367,22
19,A02.0,6,,138.043488372093,1330.9744186046512,514.6460465116279,2921.83511627907,43
53,A03.9,3,,37.79482758620689,743.7255172413793,395.4727586206896,2070.137931034483,29
77,A04.9,3,,60.346666666666664,754.5190476190476,778.3804761904762,2047.8828571428571,21
86,A04.9,5,,49.592499999999994,931.2517857142857,444.38464285714286,2246.6026785714284,56
96,A04.9,6,,70.105,1098.9629310344828,332.58060344827584,2287.4750862068963,116
120,A04.9,7,,18.260555555555555,639.034074074074,591.1114814814815,1656.9648148148149,54
137,A08.0,3,,58.521153846153844,683.5192307692307,233.2569230769231,1798.833076923077,26
140,A08.0,5,,47.13653846153846,640.7615384615384,196.2253846153846,1444.386923076923,26
142,A08.0,6,,37.5725,1020.8958333333334,153.25666666666666,2010.7270833333334,24
156,A08.1,6,,83.80690476190476,1173.1757142857143,337.88928571428573,2232.5038095238097,42
185,A09.0,1,,34.725833333333334,772.29625,1320.4237500000002,2856.267916666666,24
189,A09.0,2,,30.2340625,849.846875,779.5396875,2192.2909375,32
195,A09.0,3,,44.38216346153846,800.1092307692307,433.5825961538461,1928.7594230769232,208
206,A09.0,4,,61.02655737704918,1295.6100000000001,530.6480327868852,2576.2985245901637,61
218,A09.0,5,,51.27319502074689,1133.0841078838175,492.1878838174274,2336.5191286307054,241
220,A09.0,5,17.95,51.62166666666667,679.9733333333334,354.11899999999997,1917.1156666666668,30
239,A09.0,6,,86.19540441176471,1728.5984926470587,694.7631985294117,3302.0232352941175,272
244,A09.0,6,17.95,63.044871794871796,1005.0628205128204,574.5889743589744,2659.1341025641022,39
275,A09.0,7,,15.223151408450704,618.04875,599.8381161971831,1600.7409330985915,568
283,A09.9,1,,39.78258426966292,870.2477528089888,1033.638202247191,2559.8302247191014,89
290,A09.9,2,,33.60252577319588,906.4033505154639,942.8728350515463,2388.239020618557,194
301,A09.9,3,,33.460818363273454,884.9936726546906,441.39237524950096,1865.7779241516967,501
306,A09.9,3,44.13,35.480000000000004,1698.9892857142856,793.7164285714287,3327.2514285714283,28
308,A09.9,3,45.23,78.75500000000001,1522.3066666666666,813.3293333333334,3404.5873333333334,30
327,A09.9,4,,41.94380165289256,1042.6080165289256,459.8710743801653,1955.6864462809917,121
345,A09.9,5,,42.125642317380354,1069.7154156171284,339.814685138539,1993.284886649874,397
347,A09.9,5,17.95,34.25913793103448,1199.955172413793,449.94068965517243,2608.8993103448274,58
350,A09.9,5,44.13,92.1482608695652,1996.6521739130435,648.7821739130435,3701.142608695652,23
353,A09.9,5,45.23,46.23230769230769,1563.4865384615384,589.993076923077,3216.766730769231,52
380,A09.9,5,99.92,33.646521739130435,1781.713043478261,693.7365217391305,3730.635217391304,23
381,A09.9,6,,76.97670623145402,1402.8460237388724,560.1981008902078,2806.7911275964393,337
384,A09.9,6,17.95,54.38753846153846,1288.4246153846154,732.3580000000001,3003.3064615384615,65
388,A09.9,6,44.13,259.73,2476.505882352941,962.2085294117647,4934.384117647059,34
392,A09.9,6,45.23,125.79196428571429,2245.3214285714284,1249.4667857142856,4986.060892857143,56
421,A09.9,7,,13.687913401253919,549.0916281347962,594.0123902821317,1510.865172413793,5104
424,A09.9,7,17.95,12.68423076923077,496.90538461538466,447.8792307692308,1472.566923076923,26
426,A09.9,7,44.13,153.40057142857145,1078.8211428571428,625.0742857142857,2736.327714285714,35
442,A09.9,7,93.39,10.247586206896552,617.4531034482759,519.6541379310345,1581.9475862068966,29
447,A09.9,7,99.92,18.598620689655174,893.0096551724138,506.23810344827587,1966.451551724138,58
452,A15.0,3,,68.80792207792207,1337.2753246753246,970.3711688311688,4279.932337662337,77
460,A15.0,4,,111.15583333333332,1962.3666666666668,1991.7495833333332,6096.017500000001,24
463,A15.0,5,,139.17695906432746,2479.0259064327483,1558.7508187134504,6380.835614035087,171
467,A15.0,5,33.24,216.31391304347827,2912.413333333333,1077.723188405797,6488.64768115942,69
481,A15.0,6,,208.79904761904763,4246.486214285715,2954.159642857143,9808.294333333333,420
492,A15.0,6,33.24,344.82902017291065,5863.687291066282,3243.580403458213,12583.727291066283,347
499,A15.0,6,34.04,1098.395909090909,8268.370909090909,6789.7472727272725,21448.281363636364,22
530,A15.0,7,,125.74486486486488,1582.818918918919,2456.2343243243245,6020.308918918919,37
532,A15.0,7,33.24,160.73266666666666,2633.1,2156.4513333333334,7737.909,30
552,A15.2,5,33.24,419.7661904761905,3030.7023809523807,2019.7566666666667,8719.968095238095,21
567,A15.2,6,33.24,793.5419230769231,7194.318846153847,1585.4438461538462,12549.568461538463,26
581,A15.3,3,,81.93947368421053,1395.0526315789473,718.6413157894737,3910.5307894736848,38
587,A15.3,4,,144.75259259259258,1690.1185185185184,1870.657037037037,6013.365185185185,27
597,A15.3,6,,184.13261904761904,3547.2124999999996,1677.5876190476188,7655.198095238095,84
603,A15.3,6,33.24,358.88335260115605,4751.691502890173,1628.878323699422,9313.452138728324,173
672,A16.0,3,,98.5055128205128,1194.2128205128206,884.9984615384616,4202.555256410256,78
673,A16.0,3,33.24,499.0675,1565.0357142857142,772.5332142857143,5044.386428571429,28
681,A16.0,5,,92.85068181818181,2146.554772727273,957.0377272727274,4625.529545454545,44
684,A16.0,5,33.24,253.24136363636364,2751.7977272727276,1448.4886363636363,7118.379999999999,22
689,A16.0,6,,237.89703125,4002.15046875,1457.1178125000001,8042.09328125,64
696,A16.0,6,33.24,298.5132075471698,4071.7377358490567,1336.6443396226414,8202.66641509434,53
728,A16.2,3,,56.63290697674419,1720.267034883721,796.0670930232559,4463.453779069768,172
731,A16.2,3,33.24,111.50319999999999,2236.8992000000003,1283.9456,4942.3452,25
738,A16.2,4,,103.07824561403508,1416.3947368421052,1304.7210526315791,4530.540350877192,57
749,A16.2,5,,144.5262275449102,2638.6231736526947,1443.0280239520957,6315.045449101797,167
756,A16.2,5,33.24,234.24786666666668,2775.8825333333334,1286.3286666666665,6937.046666666667,75
778,A16.2,6,,179.16084886128365,3834.301138716356,2461.026708074534,8235.202629399586,483
