,医院名称,平均OE值
1702,广元市昭化区妇幼保健院,0.558332767
480,内江市东兴区胜利中心卫生院,0.557958124
3164,苍溪新友好医院,0.557429218
1117,宁南县中医医院,0.557319455
3331,西充县仁和镇卫生院,0.55729417
2960,绵阳万江眼科医院有限责任公司,0.556825765
3555,通川区安云乡卫生院,0.556550269
652,南充市嘉陵区中医医院,0.556288804
3539,达州市通川区金石镇卫生院,0.556099952
2032,成都市新津区花源街道中心卫生院,0.55602874
2298,旺苍红城医院,0.55590257
2477,江阳区分水岭镇卫生院,0.55547566
686,南充市顺庆区李家镇中心卫生院,0.555401666
1330,宣汉县红峰镇凤鸣卫生院,0.555341309
2751,盐亭经开区医院,0.555311641
3405,资中县银山镇卫生院,0.55525228
3670,邛崃市羊安街道中心卫生院,0.555089482
1238,宜宾市叙州区妇幼保健计划生育服务中心,0.554071586
1333,宣汉县胡家镇中心卫生院,0.554051856
500,内江市市中区龙门镇卫生院,0.553811917
1324,宣汉县白马镇卫生院,0.553526405
395,会东县中医医院,0.55350005
2138,成都成华三松肾病医院,0.553437964
1768,广安新迪眼科医院（枣山园区）,0.552685111
2632,渠县渠江街道北门社区卫生服务中心(渠县渠江镇卫生院),0.55266024
1363,富顺县赵化镇中心卫生院,0.552347949
1632,平昌县澌岸镇卫生院,0.552332245
1291,宣汉博仁医院有限公司,0.551924399
630,南充东江医院,0.551708513
2080,成都市郫都区安靖街道社区卫生服务中心,0.551550269
1720,广元市朝天区曾家镇中心卫生院（广元市朝天区第二人民医院）,0.551297037
3641,遂宁市船山区龙凤镇中心卫生院(遂宁市船山区第二人民医院),0.550974139
117,中江县辑庆中心卫生院,0.550646329
2605,渠县合力镇卫生院,0.550530794
2540,泸县立石中心卫生院,0.550476423
1207,宜宾三江新区沙坪社区卫生服务中心,0.550440472
2169,成都珍君医院,0.550345862
2482,江阳区方山镇卫生院,0.550042007
3543,达州爱尔眼视光眼科医院,0.549634663
2078,成都市郫都区妇幼保健院(成都市郫都区妇幼保健计划生育服务中心）,0.548954643
691,南充市顺庆区荆溪街道社区卫生服务中心,0.548597682
151,乐山友谊医院,0.548466384
1522,崇州金鸡医院,0.548031254
1735,广元爱尔眼科医院,0.547732748
3134,苍溪县妇幼保健院,0.547615096
1417,屏山县中都镇中心卫生院,0.547007847
1341,宣汉县龙泉土家族乡卫生院,0.546828815
496,内江市市中区朝阳镇卫生院,0.546472026
1502,崇州市元通镇卫生院,0.546412304
1645,平昌县青云镇卫生院,0.546311619
3652,邛崃可利特结石医院,0.54620173
1845,彭州市通济镇卫生院,0.54589052
2859,筠连县中医医院,0.545760408
3172,茂县人民医院,0.545538388
2594,渠县三板镇卫生院,0.545335407
3445,资阳爱尔眼科医院有限公司,0.545225442
2890,简阳市涌泉镇卫生院,0.544163983
2367,梓潼太康医院,0.543784061
1359,富顺县狮市镇中心卫生院,0.543572261
1916,成都三松肾病医院,0.543535745
2776,盐边县人民医院,0.543099469
3888,雅安市名山区人民医院,0.54299972
2111,成都市青羊区中医医院（青羊区第六人民医院）,0.54298362
1557,巴中市恩阳区花丛中心卫生院,0.542593609
2694,甘孜县人民医院,0.542283449
591,剑阁友好医院,0.542201815
3489,达州宏泽康复医院,0.541582663
3018,绵阳睿达精神病医院,0.540992166
2579,洪雅县中医医院,0.540922749
2136,成都弘成和众中医医院,0.540918919
3792,长宁县双河镇中心卫生院,0.540562115
830,叙永县向林镇卫生院,0.540387784
3638,遂宁市船山区永兴镇中心卫生院（遂宁市船山区第一人民医院）,0.539562868
2164,成都爱尔眼科医院,0.539525191
3329,西充县义兴中心卫生院,0.539499487
2199,成都锦欣沙河堡医院,0.539430991
322,仁寿县第七人民医院（仁寿县钟祥镇卫生院）,0.539340029
2553,泸州市精神病医院,0.53876045
1602,平昌县云台镇中心卫生院,0.538330585
558,剑阁县中医医院,0.537779153
2683,珙县珙泉镇卫生院,0.537770067
1671,广元佑安中医医院,0.537219416
874,古蔺县观文中心卫生院,0.536907648
1950,成都九如城康复医院,0.535815136
2603,渠县佑安医院,0.535546972
3100,自贡康立眼科医院（高新区）,0.535391324
1847,彭州市隆丰街道社区卫生服务中心,0.535367616
3383,西昌肛泰肛肠医院,0.535346684
476,内江市东兴区永福镇卫生院,0.535275508
1334,宣汉县芭蕉镇卫生院,0.534775187
2609,渠县妇幼保健计划生育服务中心（渠县妇幼保健院）,0.534410641
2552,泸州市江阳区妇幼保健院（泸州市江阳区妇女儿童医院、泸州市江阳区妇幼保健计划生育服务中心）,0.534216182
2528,泸县奇峰中心卫生院,0.534075885
2422,江安县中医医院,0.533718961
3754,金堂悦康医院,0.532944989
1685,广元市利州区嘉陵街道社区卫生服务中心,0.532730473
676,南充市第四人民医院,0.532344091
3633,遂宁市船山区仁里镇中心卫生院,0.532278878
881,古蔺县龙山镇鱼化卫生院,0.531991606
2595,渠县东安镇卫生院（渠县流溪镇卫生院）,0.531825429
3861,隆昌市中医医院,0.531621754
3479,达川区石板街道社区卫生服务中心,0.531376815
4039,龙马潭区双加镇卫生院,0.531370142
1805,开江县回龙中心卫生院,0.531275076
449,兴文县中医医院,0.531271564
2018,成都市成华区第七人民医院,0.530386888
1416,屏山县中医医院,0.530088923
3816,阆中市保宁社区卫生服务中心,0.530009196
3102,自贡爱尔眼科医院,0.529999273
343,仁寿立康创伤医院,0.529768345
1250,宜宾市叙州区龙池乡卫生院,0.529755289
283,什邡市南泉镇卫生院,0.529321728
1629,平昌县江家口镇喜神卫生院,0.529188635
941,四川天府新区籍田中心卫生院,0.528962845
2608,渠县天星街道社区卫生服务中心,0.528960686
4004,高县人民医院,0.528584164
1815,开江县甘棠镇卫生院,0.52856653
2521,泸县云龙中心卫生院,0.528184115
57,三台县建中镇卫生院,0.5272431
227,乐至县盛池镇卫生院,0.527026497
714,南充现代妇产医院,0.526984762
2489,江阳区黄舣中心卫生院（泸州市江阳区第二中医医院）,0.526705624
860,古蔺县双沙中心卫生院,0.526258025
1724,广元市朝天区羊木镇中心卫生院,0.526099285
2442,江油市中医医院,0.525944892
475,内江市东兴区永兴镇卫生院,0.525861489
2038,成都市新都区妇幼保健院,0.52538281
2601,渠县乐康中医医院,0.524976546
2535,泸县牛滩中心卫生院,0.524970396
3439,资阳市雁江区老君镇卫生院,0.524914506
2107,成都市青白江区祥福镇公立中心卫生院,0.524561385
1811,开江县普安镇卫生院,0.524385115
3917,雅江县中藏医院,0.523937868
1284,宜宾肛泰肛肠医院,0.523932597
1634,平昌县白衣镇中心卫生院,0.523535174
1253,宜宾市矿山急救医院,0.522797166
2348,梓潼县中医院,0.522628804
338,仁寿喜稚来妇产医院,0.522526653
2135,成都康福肾脏病医院,0.522521277
1606,平昌县元山镇中心卫生院,0.522386083
3833,阆中市河溪街道中心卫生院（阆中市第四人民医院）,0.522347046
440,会理市第二人民医院,0.522083295
658,南充市嘉陵区妇幼保健计划生育服务中心,0.521928206
1070,天全县中医医院,0.521826477
3305,蓬溪县妇幼保健计划生育服务中心（蓬溪县妇幼保健院）,0.521529027
1218,宜宾川南体育骨科医院,0.521371492
770,南部县东风社区卫生服务中心,0.521263155
208,乐山瑞和医院（肖坝病区）,0.520912793
3644,遂宁爱尔眼科医院,0.52064574
348,仪陇仁惠胃肠医院,0.520582784
1839,彭州市濛阳街道三界社区卫生服务中心,0.520544372
1730,广元德新肾病医院,0.520058423
64,三台县景福镇中心卫生院,0.519991768
1850,彭州熊氏中医骨科医院,0.519985445
696,南充市高坪区妇幼保健计划生育服务中心（南充市高坪区妇幼保健院）,0.51988425
2102,成都市青白江区大弯社区卫生服务中心,0.519713571
2031,成都市新津区花桥街道公立卫生院,0.51968124
493,内江市市中区史家镇中心卫生院,0.519643635
241,乐至蓝天医院,0.519087028
47,三台县中新镇卫生院,0.518893176
233,乐至县蟠龙镇卫生院,0.51860812
4013,高县来复镇中心卫生院,0.51848269
2516,沐川益康医院,0.518352454
1563,巴中经济开发区第二人民医院(四川巴中经济开发区西锦社区卫生服务中心),0.518121073
3687,邻水县妇幼保健计划生育服务中心,0.51796954
3866,隆昌市圣灯镇中心卫生院,0.517965773
2629,渠县渠北镇卫生院,0.517404807
3635,遂宁市船山区唐家乡卫生院,0.516950984
3076,自贡市沿滩区瓦市镇中心卫生院,0.516656626
2175,成都美美妇产医院,0.516361498
833,叙永县妇幼保健计划生育服务中心（叙永县妇幼保健院）,0.516348368
3715,都江堰市石羊镇中心卫生院,0.516245632
3925,雷波县妇幼保健计划生育服务中心,0.516239522
2731,盐亭县嫘祖镇卫生院,0.515865388
3642,遂宁市船山骨科医院有限责任公司,0.515855715
1351,富顺县妇幼保健院,0.515797853
3859,阿坝州藏医院,0.515680061
1532,巴中市妇幼保健院,0.515271018
1180,安岳县白塔寺乡卫生院,0.515177017
1307,宣汉县大成镇卫生院,0.515056306
2447,江油市厚坝镇卫生院,0.514960381
4014,高县沙河镇中心卫生院,0.514939373
3285,蓬安县睦坝镇卫生院,0.514828373
3337,西充县双凤中心卫生院,0.514703348
1496,崇州人工智能康复医院,0.514293653
4015,高县罗场镇中心卫生院,0.514244427
3760,金川县中藏医院,0.514159491
2424,江安县人民医院,0.514071107
550,凉山视康眼科医院,0.513760558
3582,通江县洪口中心卫生院,0.513738608
792,南部县建兴中心卫生院（南部县第三人民医院）,0.513499314
1961,成都八一骨科医院,0.513484041
1954,成都交通医院,0.513370618
1348,富顺县代寺镇中心卫生院,0.513206203
2176,成都老年康疗院,0.512843291
1738,广元青林医院,0.512723506
63,三台县新鲁镇卫生院,0.512155505
1030,大竹县第四人民医院,0.511904576
2174,成都美容整形医院,0.511763535
3428,资阳市雁江区伍隍镇中心卫生院,0.511701684
831,叙永县大石镇卫生院,0.511700381
911,合江县荔江镇卫生院,0.511557326
1189,安岳县高升乡卫生院,0.511535411
1021,大竹县清水中心卫生院,0.510855651
3169,若尔盖县人民医院,0.510838858
487,内江市市中区中医医院,0.51055567
593,北川羌族自治县中羌医医院,0.510071292
826,叙永县分水中心卫生院,0.509898772
3544,达州田氏骨病医院,0.509763847
1994,成都川蜀血管病医院,0.509606029
1552,巴中市恩阳区明阳镇卫生院,0.509457785
2490,江阳区黄舣镇弥陀卫生院,0.509441761
3155,苍溪县陵江镇中心卫生院（苍溪县第三人民医院）,0.509169438
478,内江市东兴区白合中心卫生院,0.508890259
920,四川何氏骨科医院,0.508884328
397,会东县人民医院,0.508729436
1100,威远县新场镇卫生院,0.508693058
2827,眉山彭山福康老年病医院,0.508435652
904,合江县白米镇卫生院,0.508267211
1836,彭州市妇幼保健院 彭州市妇女儿童医院,0.508195378
3493,达州市妇幼保健计划生育服务中心(达州市妇女儿童医院）,0.508150703
706,南充民健医院,0.507865604
1105,威远县越溪镇卫生院,0.507120766
1610,平昌县土垭镇卫生院,0.506938246
925,四川地质医院,0.506852761
284,什邡市回澜卫生院,0.506408985
2470,江油市青莲镇中心卫生院,0.50623619
3299,蓬溪县三凤中心卫生院,0.50553609
4038,黑水县人民医院,0.505420764
1507,崇州市怀远镇卫生院,0.50493685
3714,都江堰市玉堂镇卫生院,0.504794699
2236,成都龙泉驿锦欣老年病医院,0.504710648
823,叙永县两河中心卫生院,0.50446439
3667,邛崃市桑园镇卫生院,0.504284793
716,南充纺织医院,0.504247749
2060,成都市温江区柳城街道社区卫生服务中心,0.504160344
3791,长宁县人民医院,0.504031847
3062,自贡市大安区回龙镇卫生院,0.503979258
3973,青神县人民医院,0.503951801
1474,峨眉山市罗目镇卫生院,0.503858447
708,南充民心医院,0.503742075
150,乐山五通桥中医医院,0.503214626
3680,邻水县兴仁镇中心卫生院,0.503202327
1102,威远县界牌镇卫生院,0.503174853
363,仪陇县复兴中心卫生院,0.503115742
472,内江市东兴区新江社区卫生服务中心,0.503067439
1797,康定市人民医院,0.503003368
2483,江阳区江北中心卫生院,0.502965666
1609,平昌县土兴镇中心卫生院,0.502814768
4037,黑水县中藏医院,0.50267302
3,万源博爱医院有限公司,0.502660054
2216,成都高新区中和社区卫生服务中心,0.502476658
1111,威远大生医院,0.502385632
1827,彭州市丹景山镇卫生院,0.502275584
2515,沐川新区中医医院,0.502086725
1240,宜宾市叙州区柏溪街道喜捷社区卫生服务中心,0.50200355
1855,得荣县人民医院,0.501999427
3286,蓬安县石孔乡卫生院,0.501704238
212,乐山骨科医院,0.501532318
3404,资中县铁佛镇卫生院,0.501512498
1418,屏山县书楼镇卫生院,0.501059011
2701,甘孜州皮肤病防治院（甘孜州海螺沟景区人民医院）,0.500788409
1149,安岳县卧佛镇卫生院,0.500615425
1977,成都双流蛟龙港医院有限公司,0.500451269
29,万源市罗文中心卫生院,0.500328678
78,三台县金石镇中心卫生院,0.500110737
3720,都江堰市青城山镇中心卫生院,0.50000011
2124,成都市龙泉驿区妇幼保健院,0.499828709
419,会理市中医医院,0.499566221
51,三台县刘营镇中心卫生院,0.499214365
914,合江张氏骨科医院,0.498856386
3398,资中县水南镇卫生院（资中县水南社区卫生服务中心）,0.498614315
1083,夹江县中医医院,0.498586354
2046,成都市新都区石板滩街道木兰社区卫生服务中心,0.498571346
3176,荣县乐德中心卫生院,0.498552537
466,内江市东兴区中医医院,0.498523607
3789,长宁县中医医院,0.498511475
2750,盐亭福缘医院,0.498054871
1294,宣汉县下八镇卫生院,0.497684799
2969,绵阳市妇幼保健院（绵阳市儿童医院）,0.497615701
2113,成都市青羊区府南金沙社区卫生服务中心,0.497548889
1257,宜宾市第二中医医院,0.497425518
2523,泸县兆雅中心卫生院,0.497360055
77,三台县郪江镇中心卫生院,0.497007007
1903,德阳市罗江区鄢家镇中心卫生院,0.496884403
2576,洪雅乾州骨科医院,0.496650624
1639,平昌县西兴镇高峰卫生院,0.49655409
1106,威远县连界镇卫生院,0.496317461
89,中江县中医医院,0.496278714
3082,自贡市第六人民医院,0.495981204
3984,马尔康市人民医院,0.495887033
3592,通江县铁佛中心卫生院,0.495608439
216,乐至县东山镇卫生院,0.495215096
3758,金堂纺织妇产医院,0.494973701
1280,宜宾旌宏眼科医院,0.49492806
3399,资中县狮子镇卫生院,0.494632668
1213,宜宾和康白花骨科医院,0.494516782
3277,蓬安县妇幼保健计划生育服务中心,0.493997763
1,万源仁安医院,0.493858412
884,古蔺树强骨科医院,0.493854539
184,乐山市市中区白马镇卫生院,0.493722564
3593,通江县铁溪中心卫生院,0.493383236
109,中江县永太中心卫生院,0.493278372
3912,雅安恒博医院,0.492904111
221,乐至县劳动镇卫生院,0.49273253
1790,广汉市金鱼镇卫生院,0.492400721
3207,荥经时代中西医院,0.492002273
3850,阿坝兴富医院,0.491997813
2646,炉霍县人民医院,0.49176994
1911,德阳骨科医院,0.491656099
3438,资阳市雁江区祥符镇中心卫生院,0.491597718
2882,简阳市妇幼保健院,0.491445834
1785,广汉市小汉镇中心卫生院,0.491323643
3723,都江堰康恩妇科医院,0.491155086
2537,泸县百和镇卫生院,0.491036745
99,中江县城南社区卫生服务中心,0.491014584
122,中江县龙台中心卫生院,0.490374543
1678,广元市中医医院,0.490321321
1140,安岳县乾龙镇卫生院,0.490307617
1236,宜宾市叙州区合什镇中心卫生院,0.489571437
3524,达州市达川区管村镇中心卫生院,0.488545799
4047,龙马潭区鱼塘街道社区卫生服务中心,0.48825071
1646,平昌县驷马镇中心卫生院,0.48809045
675,南充市妇幼保健计划生育服务中心（南充市妇幼保健院）,0.486936243
2137,成都慈爱肿瘤医院,0.486387195
1605,平昌县佛楼镇卫生院,0.486175301
2677,珙县底洞镇中心卫生院,0.485821136
1960,成都儿童专科医院,0.485588913
2831,眉山老年病医院有限公司,0.485498796
1304,宣汉县君塘镇中心卫生院,0.485487018
2611,渠县定远镇卫生院,0.485367719
3507,达州市达川区妇幼保健计划生育服务中心,0.485278753
33,万源市长坝镇卫生院,0.485248114
1381,射洪市太乙中心卫生院,0.485165755
2548,泸州川蓝康复专科医院,0.484716522
3629,遂宁市安居区西眉镇马家卫生院,0.484447991
3016,绵阳爱贝尔妇产医院,0.484052849
3769,金阳县中彝医院,0.483995076
21,万源市玉带乡卫生院,0.483880948
1921,成都东大肛肠医院,0.483612899
1031,大竹县观音中心卫生院,0.483304377
1251,宜宾市妇幼保健计划生育服务中心,0.483150763
2193,成都鑫国光医院,0.4830201
1402,射洪市香山镇卫生院,0.482901674
3106,船山区妇幼保健院,0.481114512
1317,宣汉县樊哙镇中心卫生院,0.481065746
1192,安岳县龙台镇中心卫生院（安岳县第四人民医院）,0.481053537
2142,成都成华成量医院,0.480882129
3188,荣县正紫镇卫生院,0.480783303
680,南充市顺庆区北城社区卫生服务中心,0.480700632
1469,峨眉山市妇幼保健院,0.480514194
464,内江中西骨科医院,0.480384511
3055,自贡佳德安宁疗护医院（高新区）,0.480137336
3876,隆昌市龙市镇中心卫生院,0.480135759
3103,自贡荣州骨科医院,0.479380518
2940,绵竹夏骡子骨伤专科医院,0.479336314
1555,巴中市恩阳区玉山中心卫生院,0.479323106
3567,通江县兴隆镇卫生院,0.478580142
3093,自贡市贡井区成佳中心卫生院,0.478150356
2214,成都骨伤医院（成都市金牛区骨伤医院）,0.477973089
1356,富顺县李桥镇卫生院,0.477631857
755,南江县长赤镇中心卫生院,0.477547878
2621,渠县新市镇卫生院,0.477344533
3519,达州市达川区百节镇卫生院,0.477310775
2852,稻城县人民医院,0.477226868
2030,成都市新津区第二人民医院,0.47722011
1585,布拖县中彝医院,0.47717905
101,中江县妇幼保健院（中江县妇女儿童医院、中江县妇幼保健计划生育服务中心）,0.47671497
3166,苍溪百姓老年病专科医院,0.476432479
2656,犍为县定文镇中心卫生院,0.476412608
1879,德阳市旌阳区八角井镇卫生院,0.47636338
1796,康定友好医院,0.476301662
766,南部升钟利康医院,0.475501351
917,喜德县妇幼保健计划生育服务中心,0.474956603
1704,广元市昭化区昭化镇中心卫生院,0.4749054
1686,广元市利州区大石镇卫生院,0.474820115
2529,泸县妇幼保健计划生育服务中心（泸县妇幼保健院）,0.474215424
1335,宣汉县茶河镇卫生院,0.474143579
3646,遂宁肛肠专科医院,0.473620341
3535,达州市通川区东岳镇卫生院,0.473539356
1108,威远县高石镇卫生院,0.473388876
997,大竹仁爱医院,0.472531173
818,南部精诚眼科医院,0.472462126
1318,宣汉县残联附属医院,0.472439915
1697,广元市妇幼保健院,0.47241477
1567,巴塘县人民医院,0.472391266
2938,经开综合医院,0.472209263
1216,宜宾国康骨科医院,0.472191335
365,仪陇县大寅中心卫生院,0.472130903
2775,盐边县中医院,0.471871656
30,万源市草坝中心卫生院,0.471760482
2270,旺苍县东河镇中心卫生院,0.471665781
572,剑阁县柳沟镇中心卫生院,0.4715733
2289,旺苍县白水镇静乐寺卫生院,0.47151226
491,内江市市中区全安镇卫生院,0.471114562
3712,都江堰市灌口平义社区卫生服务中心,0.471031758
1226,宜宾市南溪区妇幼保健计划生育服务中心、宜宾市南溪区妇幼保健院,0.470739099
990,大安区何市中心卫生院,0.470706158
1297,宣汉县五宝镇卫生院,0.470600822
1817,开江县长岭中心卫生院,0.47058086
9,万源市固军镇卫生院,0.470572025
321,仁寿县禾加镇卫生院,0.470140195
1838,彭州市桂花镇卫生院,0.470095757
1799,康定市第二人民医院,0.469930767
1306,宣汉县塔河镇卫生院,0.46983866
3380,西昌王氏骨科专科医院,0.46951423
2563,泸州江阳宜民医院,0.469366517
581,剑阁县盐店镇卫生院,0.469333835
1275,宜宾市翠屏区西郊社区卫生服务中心,0.468857452
1137,安岳县两板桥镇卫生院,0.468243007
2027,成都市新津区普兴街道中心卫生院,0.467974429
2219,成都高新区桂溪社区卫生服务中心,0.4678612
251,乡城县人民医院,0.467658576
3432,资阳市雁江区妇幼保健计划生育服务中心(资阳市妇幼保健院）,0.466894663
1638,平昌县西兴镇中心卫生院,0.466299715
863,古蔺县太平中心卫生院,0.465106338
850,叙永县龙凤镇卫生院,0.464888495
2296,旺苍德康骨科医院,0.464792088
782,南部县大坪中心卫生院,0.46443527
556,剑阁县下寺镇中心卫生院,0.464332869
1592,布拖县妇幼保健计划生育服务中心,0.464299788
3764,金川县泰安医院,0.464137349
1503,崇州市大划街道社区卫生服务中心,0.464135899
1197,安岳锦民妇女儿童医院,0.464069054
3179,荣县双古中心卫生院,0.464050873
1514,崇州市道明镇卫生院,0.463908643
3972,青神县中医医院,0.463890657
2586,洪雅县槽渔滩中心卫生院（洪雅县槽渔滩镇妇幼保健计划生育服务站）,0.463580884
59,三台县忠孝乡卫生院,0.463563594
645,南充安德实业有限公司职工医院,0.463186241
697,南充市高坪区第三人民医院(南充市高坪区东观中心卫生院),0.463089829
2891,简阳市石桥街道社区卫生服务中心,0.46273667
1758,广安市广安区广福社区卫生服务中心（枣山园区）,0.462714615
2533,泸县海潮镇卫生院,0.462255234
1352,富顺县安溪镇卫生院,0.46199761
3242,营山县绿水中心卫生院,0.461800074
3721,都江堰市骨伤专科医院,0.461730821
1446,岳池县罗渡镇中心卫生院,0.46160026
2763,盐源县泸沽湖镇卫生院,0.461561767
1821,彭州一康中医医院,0.461471369
1428,屏山县龙华镇卫生院,0.461257588
3001,绵阳市游仙区忠兴中心卫生院,0.461251221
2486,江阳区蓝田街道社区卫生服务中心,0.461239967
1332,宣汉县老君乡卫生院,0.460718033
1245,宜宾市叙州区精神病医院,0.460701655
3944,雷波百信医院,0.460494075
3848,阆中眼耳鼻喉专科医院,0.460295431
2218,成都高新区新北社区卫生服务中心,0.460164136
1761,广安市广安区浓洄社区卫生服务中心,0.459839936
2024,成都市新津区妇幼保健计划生育服务中心（成都市新津区妇幼保健院）,0.459649394
846,叙永县马岭中心卫生院,0.459413931
1906,德阳眼科医院,0.459049187
3108,色达县妇幼保健计划生育服务中心,0.458996156
2104,成都市青白江区姚渡镇卫生院,0.458869935
1208,宜宾三江新区白沙湾社区卫生服务中心,0.458707499
1374,富顺鸽王护理院,0.458278625
1029,大竹县第二人民医院,0.45806381
526,冕宁县第二人民医院,0.457697561
3032,美姑县人民医院,0.457317723
1360,富顺县琵琶镇卫生院,0.457218299
40,万源民生医院,0.456753396
55,三台县妇幼保健院,0.456330768
3171,茂县中医院,0.455965483
940,四川天府新区第二人民医院（四川天府新区精神卫生中心）,0.455251553
484,内江市东兴区高梁中心卫生院,0.45524844
1537,巴中市巴州区妇幼保健院（巴中市巴州区妇幼保健计划生育服务中心、巴中市巴州区妇女儿童医院）,0.455169572
633,南充佑安医院,0.45506428
3707,都江堰市天马镇中心卫生院,0.455025742
987,壤塘县人民医院,0.455002601
2368,梓潼爱尔眼科医院,0.454912586
43,三台县三元镇卫生院,0.454714485
1659,平武县平通羌族乡中心卫生院（平武县第二人民医院）,0.454240504
3900,雅安市第四人民医院（雅安市精神病医院、雅安市精神卫生中心）,0.454182804
1099,威远县山王镇卫生院,0.454107129
26,万源市竹峪中心卫生院,0.453801768
2985,绵阳市涪城区吴家中心卫生院,0.453406802
1875,德阳市口腔医院,0.453382107
2182,成都西南不孕不育医院,0.453187667
843,叙永县落卜中心卫生院,0.45303922
2154,成都普瑞眼科医院,0.452963386
1640,平昌县邱家镇中心卫生院,0.452072299
2235,成都龙泉驿锦欣慢性病医院,0.452063561
2466,江油市精神病医院,0.45194629
3004,绵阳市游仙区涪江街道社区卫生服务中心,0.451853853
1962,成都八大处医疗美容医院,0.451789473
1361,富顺县福善镇卫生院,0.45168984
2947,绵竹市妇幼保健计划生育服务中心（绵竹市妇幼保健院，绵竹市妇女儿童医院）,0.451686092
3739,金堂县白果社区卫生服务中心（金堂县白果街道公共卫生所）,0.451183227
1832,彭州市天彭街道利安社区卫生服务中心,0.451046448
299,仁寿县中医医院,0.450469637
3598,通江县龙凤场镇卫生院,0.450231656
869,古蔺县皇华镇卫生院,0.450023021
907,合江县石龙镇卫生院,0.449742426
3070,自贡市沿滩区升坪街社区卫生服务中心,0.449637945
2484,江阳区泰安街道社区卫生服务中心（泸州国家高新区人民医院）,0.449473606
1048,大英康成精神病专科医院,0.449316805
2614,渠县巨光乡卫生院,0.449261902
3918,雅江县人民医院,0.449146138
4010,高县康诺医院（高县罗场镇卫生院）,0.448527644
3522,达州市达川区石梯镇中心卫生院,0.448488213
358,仪陇县先锋镇卫生院,0.4483406
3068,自贡市沿滩区仙市镇卫生院,0.448310218
1098,威远县小河镇卫生院,0.44811987
3684,邻水县城北镇卫生院,0.448070028
2742,盐亭县金孔镇中心卫生院,0.447804158
1162,安岳县岳源乡卫生院,0.447735004
3828,阆中市柏垭镇中心卫生院,0.447597234
4016,高县胜天镇卫生院,0.447202861
3495,达州市达川区万家镇卫生院,0.446709181
1617,平昌县得胜镇中心卫生院,0.446232103
3623,遂宁市安居区玉丰镇卫生院,0.446112376
3640,遂宁市船山区老池镇中心卫生院,0.445875664
35,万源市魏家镇卫生院,0.445874361
1783,广汉市向阳镇卫生院,0.445799544
1141,安岳县云峰乡卫生院,0.445691628
2525,泸县嘉明镇卫生院,0.445665769
2676,珙县巡场发科骨科医院,0.445602116
3180,荣县双石中心卫生院,0.445261514
1316,宣汉县桃花镇卫生院,0.445255789
3512,达州市达川区景市镇中心卫生院,0.445080509
507,冕宁县中医医院,0.444914105
3162,苍溪县龙王镇中心卫生院,0.444905306
1713,广元市朝天区中医医院,0.444882157
1624,平昌县汉王庙社区卫生服务中心,0.444881046
1175,安岳县毛家镇卫生院,0.444834481
2029,成都市新津区永商镇公立卫生院,0.444554714
2212,成都颐锦天泰老年病医院,0.444357003
2745,盐亭县黄甸镇中心卫生院,0.444140145
3542,达州爱尔眼科医院,0.443677392
3014,绵阳德康疼痛医院,0.443305925
1472,峨眉山市符溪镇中心卫生院,0.443171531
1052,大邑县妇幼保健计划生育服务中心,0.443108211
1201,安州民生医院,0.442967016
2746,盐亭同德医院,0.442642561
369,仪陇县张公镇卫生院,0.442045969
3856,阿坝县藏医院,0.441382774
2491,江阳茜草江南社区卫生服务中心(泸州浦南医院),0.441032721
254,五通桥区牛华社区卫生服务中心,0.44096685
1185,安岳县通贤镇人和卫生院,0.440414135
1167,安岳县护龙镇卫生院,0.44018545
2021,成都市新津区五津社区卫生服务中心,0.440085099
234,乐至县通旅镇卫生院,0.440005858
2151,成都新视界眼科医院,0.439990341
2620,渠县文崇镇卫生院,0.439833
1281,宜宾普爱老年病医院,0.439827756
873,古蔺县茅溪中心卫生院,0.439775269
2901,简阳市青龙镇卫生院,0.438900122
504,内江爱尔眼科医院,0.438788754
897,合江县妇幼保健院,0.438638491
3288,蓬安县罗家中心卫生院,0.438428249
663,南充市嘉陵区李渡镇中心卫生院（南充市嘉陵区第二人民医院）,0.438380306
2990,绵阳市涪城区杨家镇卫生院,0.438349485
3360,西昌市中医医院,0.43809693
469,内江市东兴区双桥镇卫生院,0.438011765
2001,成都市双流区妇幼保健院,0.437870858
896,合江县大桥中心卫生院（合江县第四人民医院）,0.437153475
1651,平武县中医医院,0.436442891
2017,成都市成华区猛追湾建设路社区卫生服务中心、成都通用锦电医院（第二名称）,0.435304924
3260,蒲江县朝阳湖镇公立卫生院,0.435117238
1191,安岳县鸳大镇卫生院,0.434952468
3869,隆昌市界市镇中心卫生院,0.434815557
3143,苍溪县浙水乡卫生院,0.434126393
3295,蓬安泰和玉都康复医疗中心,0.43397194
2131,成都市龙泉驿区西河镇公立卫生院,0.433792631
2681,珙县洛表镇少数民族中心卫生院,0.433639961
3732,金堂县中西医结合医院（金堂县土桥中心卫生院、金堂县土桥镇公共卫生所）,0.432819607
3655,邛崃市临济镇卫生院,0.432631645
564,剑阁县妇幼保健院,0.432380505
1459,岳池爱康精神病专科医院,0.432309932
2263,新津岷江颐养居康复医疗中心,0.43219143
2950,绵竹市新市镇卫生院,0.43208446
1364,富顺县邓井关街道社区卫生服务中心,0.431858955
1358,富顺县永年镇中心卫生院,0.431795329
2663,犍为县罗城镇中心卫生院,0.431661525
