,0
全量模型-其他数据集,2104.717256853244
其他模型-其他数据集,2086.8349352693263
全量模型-妇幼数据集,1039.5091414769674
其他模型-妇幼数据集,837.9814445693623
全量模型-口腔数据集,1562.6591899747616
口腔模型-口腔数据集,1229.232957137064
全量模型-肿瘤数据集,3304.3506548530145
肿瘤模型-肿瘤数据集,2880.8520359701847
全量模型-骨科数据集,1539.5631842002497
骨科模型-骨科数据集,1331.4200407231253
全量模型-中医数据集,2018.9839767024455
中医模型-中医数据集,1731.7714930181119
