,max_depth,num_leaves,learning_rate,MODEL_VAL_RMSE,MODEL_TRAIN_RMSE,MODEL_TRAIN_MAX,MODEL_VAL_MOE,MODEL_VAL_STD,MODEL_VAL_MAX,MODEL_TRAIN_MOE,MODEL_TRAIN_STD
0,6,32,0.1,1994.063307043517,1985.5686008551638,3214.8985005580794,0.9970802555565115,0.6878363320510553,181.61518910400304,0.9979053986258279,2.0225363533951364
1,6,32,0.1,1994.7426677819478,1986.5293743062937,68.7102568568217,0.9961275032896607,0.7038375535526802,185.27559441454602,0.996145131803608,0.6987580275606374
2,6,32,0.2,1988.47178451043,1973.2281166118257,833.2656715394907,0.9997131727254347,0.8287147810462338,264.4175258275104,0.998946184392297,0.8114204490791279
3,6,32,0.2,1988.4916140623652,1973.7652517066938,910.2622236738745,0.9989711216275683,0.7058244196955149,182.96469897190957,0.999306625825841,0.9434150941054522
4,6,32,0.4,1990.6144274896744,1963.216800674471,2045.764880367776,1.0024738159343967,1.348276850305421,625.643380725607,1.0015981678320647,1.318680941382196
5,6,32,0.4,1989.6417270171064,1961.4906688729166,9395.967366597026,1.0127207374690765,7.15332637788593,6869.435497180339,1.0019008247670198,5.1291563759326575
6,6,32,0.8,1998.7303824632747,1954.2195873830312,1438.5687263365853,1.010180553574735,6.643042987116216,4057.751522258088,1.0034438996150956,5.628810978280222
7,6,32,0.8,1998.633963854202,1954.2160538810888,1829.6320229986547,1.0037528336942865,3.0031396933094543,825.0747356126451,1.0042767776256107,4.157924460191814
8,6,64,0.1,1991.7998169665707,1979.6744491289232,66.42442876303328,0.9953094820152958,0.6854235817631779,184.3769456118102,0.9953756716592582,0.6627404877457309
9,6,64,0.1,1992.0539548446266,1980.8270470904392,65.56838240490238,0.9954779790456413,0.6849674233019987,185.76891699186928,0.9955941183751519,0.6618306314278433
10,6,64,0.2,1986.6859472254441,1967.9120498849336,293.7789120557517,0.9981715536627436,0.7585954547706061,184.12892292375878,0.9981054564766277,0.754977372559398
11,6,64,0.2,1986.9138914272328,1968.785651322035,135.16846538384797,0.9993901855063525,0.7144853208475276,184.34485048421178,0.9987912989864138,0.6708648790735654
12,6,64,0.4,1990.6919697068117,1956.3791496375914,1814.2692401222412,1.0008528038977949,2.4598400957144113,232.53816551541712,1.002315922804538,1.343890157141334
13,6,64,0.4,1990.2881159170697,1956.1447343637103,458.6989944854326,1.0003301648812506,2.4498222191113905,195.29515696802298,1.000828826136326,1.0786697694222427
14,6,64,0.8,2004.0164968172242,1946.2297410331896,1750.8027407476684,1.0101878715846968,5.0038047527381675,4481.478620349999,1.0058297435109482,1.742974532420137
15,6,64,0.8,2002.677673919818,1947.8473007012772,10661.360344831784,1.015802472930331,8.700400341731168,8669.653431889456,1.0131612582136706,7.747383398998749
