,basy_yydj,basy_ssjczbm1_for_str_4,age_group,AGE-HAOCAI-only_operation-4-E,AGE-JCJY-only_operation-4-E,AGE-YP-only_operation-4-E,AGE-ZFY-only_operation-4-E,记录条数-only_operation-4
0,1,,0,527.9227037037037,1021.3647037037036,1802.852111111111,7849.526092592592,540
1,1,,1,703.7951020408163,1160.8665306122448,2135.1071428571427,7120.978979591836,49
2,1,,2,975.9859322033898,1709.6038983050848,2542.136949152542,12916.908305084746,59
3,1,,3,838.7588172043012,1772.208817204301,3407.252043010753,12945.321935483871,93
4,1,,4,1334.0589130434782,1639.3221739130433,5090.529782608695,18681.784855072463,138
5,1,,5,1180.4348701298702,1716.2900324675322,5554.277954545455,19103.67272727273,308
6,1,,6,704.6815447154472,1414.38581300813,3572.7760569105694,10266.079349593496,246
7,1,,8,584.0795142857144,1350.2692285714286,3608.2396857142853,9430.9292,350
8,1,,9,446.83513432835815,1905.4569850746268,4750.838805970149,12379.810567164179,335
78,1,06.1,4,10574.7025,1779.4285714285713,2140.4160714285713,19905.761428571426,28
79,1,06.1,5,10936.960625,1847.5375,2154.1190625,20449.131875,32
114,1,09.8,5,779.5412499999999,686.7916666666666,908.7191666666666,4280.5529166666665,24
125,1,11.3,5,1367.9078260869567,605.2108695652174,413.9895652173913,3718.664347826087,23
126,1,11.3,6,1137.8131818181819,590.8704545454545,217.65681818181818,2915.2947727272726,44
127,1,11.3,8,1516.3184782608694,528.7097826086957,246.35130434782607,3351.9932608695653,46
143,1,13.4,4,4556.484716981132,733.6798113207547,235.02792452830187,8063.023773584906,53
144,1,13.4,5,3936.1939393939397,738.6187373737374,185.9624494949495,6994.799797979798,396
145,1,13.4,6,2691.812766917293,745.5191203007519,177.78525563909773,5487.723007518796,1330
146,1,13.4,8,2429.456103327496,731.7761777583188,172.06830560420315,5110.715293345009,2284
147,1,13.4,9,2360.079965397924,719.9977162629758,179.71231833910034,5085.220761245675,578
154,1,13.7,5,2522.628970588235,606.4058823529411,214.04,4988.1883823529415,136
155,1,13.7,6,2247.416377118644,590.2055084745763,200.1833474576271,4641.434046610169,472
156,1,13.7,8,2049.3306079999998,558.915664,174.655792,4458.140112,625
157,1,13.7,9,1861.7910714285715,548.715,162.20042857142857,4302.788785714286,140
174,1,14.7,5,7036.224347826087,806.3060869565218,389.59521739130435,11697.725217391304,23
175,1,14.7,6,5349.4563333333335,798.64,399.5376666666667,11525.873,30
176,1,14.7,8,4913.588095238096,684.2238095238096,425.1895238095238,9137.825714285715,21
197,1,17.9,1,3398.5325714285714,472.9771428571429,4812.891142857143,10547.629428571428,35
198,1,17.9,2,3685.5511111111114,376.15432098765433,5142.481111111111,10732.485061728396,81
199,1,17.9,3,4105.795263157895,482.23421052631585,5700.412368421053,12096.33289473684,38
200,1,17.9,4,3460.507288135593,464.72033898305085,6026.519491525424,12333.216610169491,59
201,1,17.9,5,3149.6768421052634,567.2947368421053,5103.883815789473,10709.523289473684,76
202,1,17.9,6,2425.4644,641.364,5002.834,10368.9396,25
264,1,22.5,4,1478.7192000000002,1583.4160000000002,3820.8408,11264.206,25
