,医院名称,检查检验费均值
2013,成都市成华区中医医院,2371.260181
1945,成都中医药大学附属医院（四川省中医医院  成都中医药大学附属医院（四川省中医医院）互联网医院）,2364.171762
1995,成都市中西医结合医院,2361.142534
1142,安岳县人民医院,2350.342251
653,南充市嘉陵区人民医院,2337.163242
2118,成都市龙泉驿区中医医院,2331.81876
2944,绵竹市人民医院（绵竹市人民医院互联网医院）,2328.519088
951,四川现代医院,2326.787474
1727,广元市第一人民医院,2325.443706
2020,成都市新津区中医医院,2324.448402
2203,成都长江医院,2323.435616
3012,绵阳市肿瘤医院,2319.845333
1434,岳池县人民医院,2315.764213
967,四川省民政康复医院,2311.082222
3057,自贡市传染病医院,2304.043134
2232,成都高新米兰柏羽医学美容医院,2302
3421,资阳市精神病医院,2290.340875
2258,攀钢西昌医院,2282.787196
2005,成都市双流区第一人民医院,2280.831275
2049,成都市新都区第二人民医院,2266.817852
1841,彭州市第二人民医院,2263.517399
3065,自贡市妇幼保健院（自贡市妇女儿童医院）,2257.077396
2188,成都郫都正诚医院,2251.782811
1955,成都京东方医院,2249.127603
2728,盐亭县人民医院,2236.223308
41,三六三医院,2229.989921
3631,遂宁市第一人民医院,2223.990349
2739,盐亭县肿瘤医院,2222.611818
3742,金堂县第一人民医院,2221.539323
219,乐至县人民医院,2216.443466
677,南充市身心医院,2215.997287
1068,大邑望县中医医院（大邑望县中医医院互联网医院）,2210.095947
2209,成都青城山医院,2207.730891
1979,成都嘉事康复医院,2202.362745
3498,达州市达川区人民医院（达州市第三人民医院）,2201.043496
695,南充市高坪区人民医院,2187.647019
1677,广元川北糖尿病专科医院,2184.951923
2962,绵阳兴睿精神病医院,2182.87931
2180,成都西区医院,2182.85381
490,内江市市中区人民医院,2179.338839
5,万源市中心医院,2171.566044
1347,富顺县人民医院,2169.900732
3726,都江堰首嘉医院,2165.676524
1751,广安市广安区人民医院,2162.585329
3607,遂宁市中医院,2153.923197
2053,成都市温江区中医医院,2152.377402
970,四川省科学城医院,2151.801386
2176,成都老年康疗院,2148.860963
90,中江县人民医院,2147.28376
3056,自贡市中医医院,2141.449562
280,什邡市中医医院,2138.591589
3273,蓬安县人民医院,2130.69899
3387,资中县人民医院,2129.561158
927,四川大学华西口腔医院,2129.326303
2190,成都金牛关怀老年病医院,2129.109655
932,四川天府新区人民医院,2127.760108
560,剑阁县人民医院,2127.117812
3549,达州骨科医院,2121.151967
1000,大竹县中医院,2118.888278
169,乐山市市中区人民医院（乐山市第二人民医院）,2117.083429
2200,成都锦欣老年病医院,2117.009249
3253,蒲江县中医医院,2112.09553
2374,武胜县人民医院,2106.230494
2167,成都玛丽亚天府妇产儿童医院,2102.211311
1466,峨眉山市人民医院,2098.137602
202,乐山市精神卫生中心,2096.310345
2034,成都市新都区中医医院,2094.4665
501,内江市第一人民医院,2088.71028
956,四川省儿童医院（四川省儿童医学中心）,2082.529817
2098,成都市青白江区中医医院,2075.601445
1530,巴中市中医院（巴中市巴州区人民医院）,2068.534175
1003,大竹县人民医院,2064.842202
2239,攀枝花市中西医结合医院,2064.276376
1059,大邑县第二人民医院,2062.268025
1261,宜宾市第四人民医院,2060.632202
1282,宜宾民心创伤骨科医院,2048.990606
3417,资阳市中医医院,2045.407249
2465,江油市第四人民医院,2044.09882
3883,雅安市中医医院(雅安市中医医院互联网医院）,2035.893075
1907,德阳第五医院（德阳第五医院互联网医院）,2018.752123
2019,成都市成华区第三人民医院,2015.097407
1604,平昌县人民医院,2011.779905
1898,德阳市罗江区人民医院,2009.907645
2651,犍为县人民医院,2008.073397
2274,旺苍县人民医院,2007.064942
153,乐山市中医医院,2005.967494
2011,成都市妇女儿童中心医院,2005.512042
3599,通江新区医院,2005.17088
