科室名称,入院人次,人次占比
内科,221522,34.68%
外科,119654,18.73%
妇产科,62642,9.81%
中医科,57339,8.98%
儿科,56112,8.78%
肿瘤科,40330,6.31%
耳鼻咽喉科,16514,2.59%
全科医疗科,13222,2.07%
眼科,9588,1.50%
传染科,7780,1.22%
急诊医学科,5254,0.82%
重症医学科,4451,0.70%
康复医学科,4161,0.65%
中西医结合科,4027,0.63%
疼痛科,2575,0.40%
小儿外科,2283,0.36%
皮肤科,2096,0.33%
其他业务科室,1842,0.29%
医学影像科,1721,0.27%
口腔科,1430,0.22%
结核病科,1092,0.17%
预防保健科,950,0.15%
精神科,652,0.10%
职业病科,411,0.06%
医疗美容科,353,0.06%
临终关怀科,347,0.05%
运动医学科,180,0.03%
妇女保健科,89,0.01%
儿童保健科,56,0.01%
特种医学与军事医学科,49,0.01%
,49,0.01%
民族医学科,17,0.00%
,5,0.00%
,2,0.00%
医学检验科,1,0.00%
