,basy_cysj,basy_zfy,count
0,2015,50037423233.82001,7060549
1,2016,71739680885.60997,11627870
2,2017,73143189234.93999,12006264
3,2018,65247615027.18,9973523
4,2019,136551526742.87997,20077102
5,2020,134175313303.99004,18767024
6,2021,134966384469.37009,18341344
7,2022,144638064787.50012,19232225
8,2023,174713241606.15997,24096015
9,2024,114903261952.75996,17598143
