,basy_caption,OE
129,什邡市师古中心卫生院,0.545664778317614
130,什邡市洛水中心卫生院,0.18704378578439357
131,什邡市第四人民医院,0.36763417118891173
132,什邡市蓥华中心卫生院,1.2186613456840376
133,什邡市马井中心卫生院,0.5129372118040473
134,什邡市马祖中心卫生院,0.4634544125570059
135,什邡第二医院,0.7765224063007117
136,仁和区仁和社区卫生服务中心,0.19655268985089386
137,仁寿中鑫老年病医院,0.4598593072640072
138,仁寿县中医医院,0.5529590413186548
139,仁寿县人民医院,0.8592636092393414
140,仁寿县妇幼保健院,0.30200164912694155
141,仁寿县禄加镇卫生院,0.21976491174109872
142,仁寿县禾加镇卫生院,0.42458091338403514
143,仁寿县第七人民医院（仁寿县钟祥镇卫生院）,0.4109717541282926
144,仁寿县第三人民医院（仁寿县汪洋镇卫生院）,0.5400149867088148
145,仁寿县第二人民医院（仁寿县富加镇卫生院）,0.45076530415763505
146,仁寿县第六人民医院（仁寿县彰加镇卫生院）,0.3011423677544708
147,仁寿县第四人民医院（仁寿县文宫镇卫生院）,0.4470918208880641
148,仁寿县视高街道清水社区卫生服务中心,0.49820628243854265
149,仁寿县视高街道社区卫生服务中心,0.17427795652664738
150,仁寿县龙正中心卫生院,0.3570358060735592
151,仁寿县龙马镇卫生院,0.5894321951102578
152,仁寿喜稚来妇产医院,0.32267420102927435
153,仁寿爱尔眼科医院,0.740033652783151
154,仁寿立康创伤医院,0.9587011710356924
155,仁寿运长医院,0.5257129822634377
156,仁寿鳌峰外科医院,0.5906881137982808
157,仪陇中仁骨科医院,0.5242241515357517
158,仪陇县中医医院,0.8536001087226447
159,仪陇县人民医院,0.8211019504924119
160,仪陇县复兴中心卫生院,0.4929163391247538
161,仪陇县大寅中心卫生院,0.33985214015827375
162,仪陇县妇幼保健计划生育服务中心,0.6427851775498977
163,仪陇县文星镇卫生院,0.39810711809926613
164,仪陇县日兴中心卫生院,0.2653461312987067
165,仪陇县永乐中心卫生院,0.2928108060297283
166,仪陇县立山中心卫生院,0.2568935775327498
167,仪陇县第二人民医院,0.7694271498887698
168,仪陇县观紫中心卫生院,0.29612791513213094
169,仪陇弘立医院,0.6253183619817654
170,仪陇德新医院,0.7071429461190122
171,会东县中医医院,0.3883674205667459
172,会东县人民医院,0.6415407112743793
173,会东县妇幼保健计划生育服务中心会东县妇幼保健院,0.507872466960507
174,会东康和医院,0.9594920234209227
175,会东紫荆花医院,0.6097083674866522
176,会理市中医医院,0.7353087699221932
177,会理市人民医院,0.6647891891195603
178,会理市妇幼保健计划生育服务中心（会理市妇幼保健院）,0.3540739697975952
179,会理市益门镇中心卫生院,0.24935049714656532
180,会理市第二人民医院,0.4867793397316209
181,会理市鹿厂镇中心卫生院,0.3741562638828635
182,佛都老年病医院,0.8227242559714171
183,兴文光明骨科医院,2.7452665773512437
184,兴文县中医医院,0.6200498336444794
185,兴文县人民医院,0.4933690228061675
186,兴文县僰王山镇中心卫生院,0.044895303182795755
187,兴文县大河苗族乡卫生院,0.2867788886820576
188,兴文县妇幼保健计划生育服务中心,0.26519705910812724
189,内江中西骨科医院,1.6028120685435858
190,内江市东兴区中医医院,0.38039503499459687
191,内江市东兴区人民医院,0.7408003419933931
192,内江市东兴区椑木中心卫生院,0.39867068279644624
193,内江市中医医院,0.7802280789955015
194,内江市妇幼保健院,0.7931558377857261
195,内江市市中区中医医院,0.20456234856849828
196,内江市市中区人民医院,0.6810280390813825
197,内江市市中区妇幼保健院,0.4561773040374133
198,内江市市中区朝阳镇卫生院,0.29244706424987915
199,内江市市中区永安镇卫生院,0.21951275565363632
200,内江市市中区白马镇中心卫生院,0.08612624868162042
201,内江市第一人民医院,1.1472688675458225
202,内江市第二人民医院,1.005958861072566
203,内江市第六人民医院,0.44348469644037275
204,内江爱尔眼科医院,0.7513182210772106
205,冕宁县中医医院,0.524877613401609
206,冕宁县人民医院,0.7723462465751497
207,冕宁县妇幼保健计划生育服务中心,0.18762691383056584
208,冕宁县泸沽铁矿职工医院,0.6654068732231646
209,冕宁县漫水湾友松医院,0.8557718839451823
210,冕宁县第二人民医院,0.21754781065169645
211,凉山中科耳鼻喉专科医院,1.1208944691866076
212,凉山州妇幼保健计划生育服务中心（凉山州妇幼保健院、凉山州妇女儿童医院）,0.5623786011091149
213,凉山彝族自治州中西医结合医院,0.7401696612892797
214,凉山彝族自治州第一人民医院（凉山州传染病医院）,0.9556742248377055
215,凉山彝族自治州第七人民医院,0.6760058215132825
216,凉山彝族自治州第二人民医院,1.0007923493423239
217,凉山爱尔眼科医院,0.8724594413324935
218,凉山视康眼科医院,1.5126169363914201
219,凉山骨科医院,3.1062843626987267
220,凉山高新肿瘤医院,0.42143874566930084
221,剑阁仁爱医院(普通合伙）,0.6270344116706726
222,剑阁光明医院,0.5975314645258067
223,剑阁县下寺镇中心卫生院,1.4337163592915474
224,剑阁县中医医院,0.4964331405197785
225,剑阁县义兴镇卫生院,0.26632062266801465
226,剑阁县人民医院,0.58390095756883
227,剑阁县元山镇中心卫生院,0.4738600050149518
228,剑阁县公兴镇中心卫生院,0.3338219276450902
229,剑阁县剑门关镇中心卫生院,0.010403293904909721
230,剑阁县妇幼保健院,0.218751126661032
231,剑阁县开封镇中心卫生院,0.19743208567280934
232,剑阁县普安镇中心卫生院,0.6130531378163968
233,剑阁县武连镇中心卫生院,0.11551533060131251
234,剑阁县第一人民医院,0.4627169644319223
235,剑阁县鹤龄镇中心卫生院,0.21868454824154004
236,剑阁友好医院,1.5507464141385825
237,北城医院,0.7501828504418455
238,北川羌族自治县中羌医医院,0.6901596464834876
239,北川羌族自治县人民医院,0.5653252176149003
