,basy_zyzd_jbbm_for_str_7,basy_yydj,basy_ssjczbm1_for_str_7,age_group,AGE-HAOCAI-7-7-E,AGE-JCJY-7-7-E,AGE-YP-7-7-E,AGE-ZFY-7-7-E,记录条数-7-7
309,A15.000,6,,5,425.8616666666667,6051.705833333333,6478.732916666667,16094.985,24
310,A15.000,6,,6,428.4686111111111,5002.199722222223,3203.734722222222,11257.870833333332,36
311,A15.000,6,,8,468.90241379310345,6275.956896551724,4489.944827586207,14506.933448275862,29
978,A16.200,6,,5,377.17434782608694,4456.495217391304,3518.571739130435,10189.181739130434,23
979,A16.200,6,,6,380.0462962962963,4795.46037037037,4157.8192592592595,12029.50962962963,27
980,A16.200,6,,8,359.5811764705882,5058.2091176470585,3252.904411764706,10885.226764705883,34
1022,A16.200,6,33.2403,1,392.8114285714286,7760.976190476191,3582.4057142857146,14359.542857142858,21
1026,A16.200,6,33.2403,5,366.77476190476193,8969.32857142857,4266.715238095238,16962.489999999998,21
1027,A16.200,6,33.2403,6,554.0566666666667,8210.818571428572,3381.1709523809523,15711.516190476192,21
2100,A41.501,6,,9,462.435,6643.9369230769225,3968.6780769230772,15114.822692307693,26
2538,A41.900,6,,9,534.1343999999999,5123.0812,2454.9872,12025.881599999999,25
2867,A41.901,5,,8,444.53066666666666,4947.415,3180.125666666667,12571.894333333334,30
2868,A41.901,5,,9,352.1890909090909,4565.543181818181,2513.7000000000003,11512.413181818181,22
3002,A41.901,6,,0,320.4295744680851,1903.1789361702129,1178.6117021276596,4904.08670212766,94
3007,A41.901,6,,5,1005.6448148148148,6354.02925925926,6772.150740740741,18899.03111111111,54
3008,A41.901,6,,6,562.4402898550725,6269.101159420289,4961.934347826087,16033.506811594203,69
3009,A41.901,6,,8,508.00336134453784,7101.58,4668.938739495798,16401.87806722689,119
3010,A41.901,6,,9,642.6219130434783,6644.338086956522,4722.169565217391,18531.578,115
3382,A41.901,6,93.9000,6,1036.745588235294,10320.74088235294,5269.643235294117,23231.929705882354,34
3383,A41.901,6,93.9000,8,1472.0719230769232,8713.90423076923,6039.743653846153,23157.250576923077,52
3384,A41.901,6,93.9000,9,1097.609342105263,10124.201710526315,7183.9614473684205,25859.683157894735,76
3403,A41.901,6,96.0400,8,3159.7104000000004,21818.384,12811.787199999999,65178.5772,25
3417,A41.901,6,96.7101,5,2333.130909090909,8029.465909090909,7797.362272727273,25479.410454545457,22
3418,A41.901,6,96.7101,6,2668.6528000000003,7728.3212,8240.4772,25168.4884,25
3419,A41.901,6,96.7101,8,2061.509523809524,8622.278095238094,8936.550476190476,27241.480476190474,42
3420,A41.901,6,96.7101,9,2054.3123333333333,8790.315666666665,6992.525,24552.832666666665,30
3425,A41.901,6,96.7201,5,9478.37380952381,25890.356666666667,28371.641428571427,92744.54714285715,21
3426,A41.901,6,96.7201,6,20614.381666666664,41009.18125,58231.424999999996,195051.82875,24
3427,A41.901,6,96.7201,8,7423.260377358491,30847.586603773587,28763.700377358487,101993.36547169811,53
