,basy_zyzd_jbbm_3,basy_ssjczbm1_3,count,耗材费
220,10,43,3,1219.2466666666667
221,10,44,40,434.889
222,10,45,45,828.962888888889
223,10,46,1,3658.87
224,10,48,1,429.26
225,10,50,2,1341.145
226,10,54,42,719.0069047619048
227,10,56,2,2850.225
228,10,57,9,774.3877777777778
229,10,59,2,1356.29
230,10,60,1,635.62
231,10,69,4,1856.6075
232,10,80,1,1180.21
233,10,81,1,261.68
234,10,83,2,749.675
235,10,84,1,2067.95
236,10,86,10,1500.512
237,10,87,5,372.15600000000006
238,10,88,8,1077.63625
239,10,89,28,483.1257142857143
240,10,90,14,526.3464285714286
241,10,93,118,704.4441525423729
242,10,95,1,215.1
243,10,96,66,2243.654696969697
244,10,97,4,373.5225
245,10,98,1,552.89
246,10,99,36,622.6252777777778
247,10,100,1775,434.3396056338028
248,11,1,8,7705.4125
249,11,2,2,22283.57
250,11,3,319,1228.8372413793104
251,11,4,2,4260.8
252,11,6,1,691.3
253,11,7,1,6357.67
254,11,13,1,3972.23
255,11,17,16,4756.254375
256,11,21,1,245.95
257,11,23,1,395.84
258,11,24,1,436.1
259,11,26,1,761.02
260,11,27,1,445.2
261,11,29,7,711.8000000000001
262,11,30,2,342.46000000000004
263,11,31,28,1659.9824999999998
264,11,32,103,13186.564077669904
265,11,33,1158,562.5666753022452
266,11,34,745,961.2899060402684
267,11,37,13,508.96846153846155
268,11,38,21,1329.73
269,11,39,29,6514.988965517241
270,11,40,124,1196.4142741935484
271,11,41,5,902.134
272,11,42,1,1121.33
273,11,43,2,4909.88
274,11,44,23,404.57652173913044
275,11,45,27,2416.5537037037034
276,11,47,1,458.15
277,11,48,2,670.6949999999999
278,11,50,3,3486.35
279,11,51,1,842.7
280,11,54,90,1198.491
281,11,55,26,3728.0623076923075
282,11,57,13,590.5623076923076
283,11,59,8,2824.54625
284,11,61,1,211.75
285,11,62,12,967.64
286,11,63,7,770.0485714285714
287,11,65,3,1995.1666666666667
288,11,66,5,3612.558
289,11,68,2,1977.205
290,11,74,1,2227.89
291,11,77,26,9962.629230769231
292,11,78,7,3488.7585714285715
293,11,79,1,2501.62
294,11,80,44,10504.444772727273
295,11,81,49,10115.561632653062
296,11,83,14,1625.2578571428571
297,11,84,1,8663.49
298,11,86,19,810.9894736842105
299,11,87,2,541.075
300,11,88,6,3195.065
301,11,89,11,420.1
302,11,90,25,732.1936000000001
303,11,93,38,714.4536842105263
304,11,96,43,3135.368372093023
305,11,97,1,609.3
306,11,98,1,715.52
307,11,99,21,475.6047619047619
308,11,100,681,477.9598825256975
309,12,0,4,24869.8425
310,12,1,4,17475.955
311,12,2,1,42211.12
312,12,3,255,1667.6610588235294
313,12,4,1,337.22
314,12,6,3,1124.9666666666667
315,12,7,2,8066.51
316,12,17,17,6389.9223529411765
317,12,18,1,213.5
318,12,26,3,855.41
319,12,27,2,1237.9499999999998
320,12,29,4,940.225
321,12,31,8,1110.24875
322,12,33,102,615.3708823529412
323,12,34,83,1154.7497590361445
324,12,37,46,6494.094347826086
325,12,38,19,1108.826842105263
326,12,39,5,3282.054
327,12,40,304,1403.0686513157896
328,12,41,11,1320.0872727272729
329,12,42,4,1483.455
330,12,44,17,554.639411764706
331,12,45,53,1619.092452830189
332,12,46,4,9690.3025
333,12,48,2,13109.154999999999
334,12,49,2,397.925
335,12,50,5,4677.744000000001
336,12,51,1,9623.42
337,12,52,1,5003.3
338,12,54,202,1518.1525247524753
339,12,55,75,5112.675466666667
340,12,56,10,2669.2390000000005
341,12,57,22,1252.706818181818
