,疾病,ICU检查检验均值,ICU次数,非ICU检查检验均值,非ICU次数
292,累及身体多个部位的挤压伤,3064.133333333333,21,3029.1375000000003,56
293,累及身体多个部位的浅表损伤,945.9545454545455,77,1191.8654585881045,12593
294,累及身体多个部位的骨折,18808.725000000002,28,4842.679347826087,322
295,"细菌性肺炎,不可归类在他处者",9668.797002583979,2709,1672.8544599197276,437759
296,"细菌性脑膜炎,不可归类在他处者",49750.5,7,5583.235223880597,469
297,结肠恶性肿瘤,7025.5,28,6683.983931702815,15169
298,肋骨、胸骨和胸部脊柱骨折,12801.603448275862,609,1925.7696223451987,93604
299,肌炎,18927.175,14,1118.860502793296,5012
300,肌肉其他疾患,2278.5,14,1573.9214136125656,2674
301,肛门及直肠区的裂和瘘,2960.0,7,1310.8769426336376,21476
302,肛门和直肠的其他疾病,4255.0,7,1580.5726101475816,64981
303,肝和肝内胆管恶性肿瘤,8592.86,105,4223.2334708520175,23415
304,肝的其他疾病,6841.75,28,2323.1386722689076,8330
305,肝纤维化和肝硬变,6003.8648,525,2658.844407770652,37114
306,"肝衰竭,不可归类在他处者",9696.225434782607,322,3127.9183074433654,21630
307,肠憩室病,9426.0,7,2285.6608831168833,2695
308,肠的其他疾病,12285.64,84,1976.3000030528137,68789
309,肠血管疾患,20732.399999999998,21,4429.836147704591,3507
310,股骨骨折,12168.04,378,3986.5001081761006,55650
311,"肩和上肢烧伤和腐蚀伤,除外腕和手",3840.5,7,1285.783275261324,2009
312,肩和上臂浅表损伤,626.0,7,1046.6725766871166,1141
313,肩和上臂骨折,10873.553703703703,189,2064.477451742291,55846
314,肩胛带关节和韧带脱位、扭伤和劳损,6557.0,7,1554.7239863130883,8183
315,肺和纵隔脓肿,3476.766666666667,42,3900.1326315789474,5054
316,肺孢子虫病,29661.5,14,6960.129139784946,651
317,肺栓塞,8017.601578947369,133,4443.909073806079,4837
318,肺气肿,13123.5,7,1065.509928229665,8778
319,肺水肿,14508.431428571428,49,2577.1192653061225,1715
320,"肺炎,病原体未特指",10191.097932692308,2912,983.6533388096775,357903
321,肺诊断性影像检查的异常所见,2101.7,28,3178.5142333785616,15477
322,肾(除外肾盂)恶性肿瘤,4770.0,7,5569.415400943396,2968
323,"肾和输尿管的其他疾患,不可归类在他处者	",12193.930000000002,14,2622.975740162399,11207
324,肾病综合征	,3666.6666666666665,21,2658.9249958847736,8505
325,胃-食管反流性疾病,1343.0,7,1350.0875278396436,25144
326,胃和十二指肠的其他疾病,6779.712500000001,56,1702.8007918504516,66654
327,胃恶性肿瘤,4604.7699999999995,28,5877.881516666667,16800
328,胃溃疡,7184.821857142857,490,1969.7275057133531,42882
329,胃炎和十二指肠炎,2546.875,28,932.2545668527057,201929
330,胃空肠溃疡,5892.52,35,2652.6930909090906,770
331,胆囊恶性肿瘤,11292.5,7,5324.828669950739,1421
332,胆囊炎,7367.1,7,960.0481271652741,34349
333,胆石症,8853.322173913044,161,2245.650435997564,195391
334,胆道的其他疾病,6061.681250000001,56,2799.6600970873787,14420
335,胎儿生长缓慢和胎儿营养不良,1038.2,7,2444.64094017094,819
336,胎盘早期剥离	,14099.0,7,1627.697980456026,2149
337,胰岛素依赖型糖尿病,4624.551818181818,77,2597.379110070258,2989
338,胰恶性肿瘤,10247.0,14,5775.473642857143,5880
339,胰腺内分泌的其他疾患,3546.9166666666665,42,3858.3023665480428,3934
340,"胸腔积液,不可归类在他处者",3175.55,14,2751.7319008264462,847
341,胸部其他和未特指的损伤,5328.75,14,770.5222222222222,2394
342,胸部开放性伤口,552.0,7,1782.0054545454545,385
343,胸部血管损伤,4641.0,7,17215.4,14
344,脂环烃和芳香族烃的卤素衍生物的毒性效应,1909.0,7,1719.5,7
345,"脊柱和躯干的其他损伤,水平未特指",19671.629999999997,14,2175.910792079208,707
346,"脊柱骨折,水平未特指",1473.0,7,1940.45,98
347,脊髓性肌萎缩和有关的综合征,7645.1,35,3281.8191747572814,1442
348,脑内出血,8393.368624641835,4886,5643.969538461539,26390
349,"脑卒中,未特指为出血或梗死",2298.3,14,1071.0802247191011,1246
350,脑和中枢神经系统其他部位的良性肿瘤,12887.8,7,7125.064951923077,1456
351,脑恶性肿瘤,27274.807500000003,28,8984.599717223651,2723
352,脑损害和功能障碍及躯体疾病引起的其他精神障碍,4140.383333333333,21,3461.526368794326,4935
353,脑梗死,6036.371238738739,3108,2440.1862985236844,386435
354,脑炎、脊髓炎和脑脊髓炎,9165.35,35,6111.680753623188,2415
355,脑的其他疾患,9295.143835616438,511,4044.2291695501726,10115
356,脑神经损伤,2138.9,7,1896.188,350
357,脑积水,11122.6,21,4767.842862318841,1932
358,脑脊膜恶性肿瘤,35594.8,7,8913.94,35
359,脑脊膜良性肿瘤,2501.0,7,7313.552168141592,3164
360,脑血管病后遗症,12409.241333333333,105,1103.7764303574054,47593
361,脑部疾病、损害和功能障碍引起的人格和行为障碍,5033.166666666667,21,775.9243956043956,1911
362,脓胸,6244.575,14,4953.578716981132,1855
363,脾疾病,15267.2,14,4394.944662162162,1036
364,腕和手开放性伤口,9954.7,14,846.2192218246869,7826
365,腕和手烧伤和腐蚀伤,1974.5,7,899.5325308641975,1134
366,腰椎和骨盆骨折,13566.451616161617,693,2584.7597258011233,63567
367,腹内器官损伤,10357.039662921348,623,6623.890734126984,3528
368,腹股沟疝,5029.7,21,1365.3287527392258,76664
369,腹膜炎,15064.071666666667,84,2494.175161998902,12747
370,腹膜的其他疾患,2957.5,14,2219.318546712803,2023
371,腹部、下背和骨盆其他和未特指的损伤,2002.7000000000003,14,1066.1505411499436,6209
372,腹部、下背和骨盆开放性伤口,6253.66,35,1227.875326633166,1393
373,腹部、下背和骨盆部分挤压伤和创伤性切断,156.3,7,2395.1783333333333,42
374,腹部和盆腔痛,2261.9,7,1026.0389286721172,24829
375,膀胱恶性肿瘤,5853.5,7,4035.743547008547,6552
376,膀胱的其他疾患	,3089.7,7,2317.1405555555557,2142
377,自主神经系统的疾患,17304.8,7,2576.595047169811,1484
378,营养性消瘦,4422.0,7,1944.204358974359,4641
379,蛛网膜下出血,7312.009810126582,1106,7391.374586288415,5922
380,蜂窝织炎,774.0,7,951.2174775510205,17150
381,血容量缺失,5023.75,14,754.6316346153845,728
382,血管性痴呆,7220.0,7,2675.0340273972606,2555
383,被标明的其他流感病毒引起的流行性感冒,8575.166666666666,21,1325.469985549133,9688
384,"谵妄,非由酒精和其他精神活性物质所致",1993.7124999999999,56,3577.9522033898306,413
385,"足骨折,除外踝",7532.0,21,1441.7934530807752,32151
386,踝和足开放性伤口,8225.0,7,1251.2754178674352,4858
387,身体多个部位的烧伤和腐蚀伤,40464.994,35,2032.4314220183487,1526
388,身体未特指部位的损伤,1091.7,21,677.025870565046,21308
389,躯干烧伤和腐蚀伤,6115.900000000001,21,1336.2348698884757,1883
390,轻度精神发育迟缓,2055.9,7,681.4096774193548,434
391,遗传性因子lX缺乏,2805.5,7,1608.7692307692307,91
392,部位未特指的恶性肿瘤,2458.0,7,2515.54775,1120
