,basy_rykb_name,OE
0,中医科,0.7996853865663891
1,中西医结合科,0.7488080256390337
2,临终关怀科,0.9369613864328555
3,传染科,1.060037703176297
4,儿科,0.8921583258403462
5,儿童保健科,0.4734304246874708
6,全科医疗科,0.7951311459461035
7,其他业务科室,1.0126135019472762
8,内科,0.9846448243779906
9,医学影像科,1.744256284826993
10,医学检验科,0.933151318546301
11,医疗美容科,0.35413424942365895
12,口腔科,0.9035772225462073
13,外科,0.9448861675308177
14,妇产科,0.9695543535975535
15,妇女保健科,0.5679392634803674
16,小儿外科,0.689428376197766
17,康复医学科,0.7130250887000861
18,急诊医学科,1.1473909257797583
19,民族医学科,0.5258340451120233
20,特种医学与军事医学科,0.7247150958589559
21,疼痛科,0.9653385845647947
22,病理科,0.8424440743994986
23,皮肤科,0.7365761455710998
24,眼科,0.7392641152289396
25,空白,0.690637012615623
26,精神科,1.0435332500859973
27,结核病科,1.190138925754183
28,耳鼻咽喉科,0.9114007312182465
29,职业病科,0.8278521039245919
30,肿瘤科,1.0225232237362931
31,运动医学科,0.9086485092977822
32,重症医学科,1.4919439577720504
33,预防保健科,0.7246922679995811
