,疾病,口腔科耗材费均值,口腔科次数,非口腔科耗材费均值,非口腔科次数
87,头的部分创伤性切断,36832.15,1,349.79247291268325,1569
88,头部关节和韧带脱位、扭伤和劳损,44.7825,8,138.07721311475407,61
89,头部其他和未特指的损伤,535.8988461538462,26,102.8064217658268,4723
90,头部开放性伤口,639.1217445482865,321,125.18696551724138,18850
91,头部损伤后遗症,17734.39277777778,18,314.51062347188264,818
92,头部浅表损伤,275.145,20,47.31167693888033,11682
93,小腿(包括踝)骨折,4042.675,2,3417.728900690078,68543
94,尿道炎和尿道综合征	,0.8,16,17.30365646773705,6602
95,帕金森病,437.68,1,3499.0339229002298,10013
96,带状疱疹,72.5215625,32,163.37400322185354,72629
97,影响多系统的其他特指先天性畸形综合征,26662.05,2,3969.9513333333334,45
98,"循环系统的操作后疾患,不可归类在他处者",4160.0,1,7242.820045734389,5685
99,心力衰竭,88.71125,8,269.87269795354456,162134
100,心房纤颤和扑动,102472.72,1,27983.699543807124,12692
101,心脏停搏,162.81,1,1526.597829787234,1880
102,急性咽炎,8.370000000000001,2,30.286748491218553,14747
103,急性心肌梗死,12237.94,1,6460.690428709056,31140
104,急性扁桃体炎,8.334285714285715,7,38.897473389314875,137069
105,急性支气管炎,10.488727272727273,110,33.91816435645308,340589
106,急性梗阻性喉炎[哮吼]和会厌炎,44.0,1,65.86932491872251,5229
107,急性淋巴结炎,436.7506666666667,15,77.9407799033004,4757
108,急性阑尾炎,5913.79,1,1155.7000311404008,96659
109,恢复期,69.47,1,447.4418852745716,5718
110,恶性肿瘤治疗后的随诊检查,91.46058823529411,17,126.93309529568266,16538
111,慢性单纯性苔癣和痒疹,0.0,1,44.16328142380423,899
112,慢性缺血性心脏病,4039.2899999999995,12,922.7638457415403,238807
113,慢性肾病	,3087.9,1,866.6063790254968,81108
114,慢性鼻炎、鼻咽炎和咽炎,28.445,4,582.0106638418079,4248
115,慢性鼻窦炎,802.0766666666667,9,958.6573163803134,29218
116,成熟T/NK细胞淋巴瘤,461.65,1,1383.2833673469388,490
117,成纤维细胞疾患,1547.118,5,604.4058983890955,5649
118,房室传导阻滞和左束支传导阻滞,42457.63,1,29492.453192943773,4535
119,扁平苔癣,2315.816923076923,13,54.07047619047619,42
120,扁桃体和腺样体慢性疾病,314.3833333333334,3,1599.5430045941807,32650
121,接合菌病,1746.11,1,2416.7860747663553,107
122,"操作后的呼吸性疾患,不可归类在他处者",196.45,1,1437.9083152173914,368
123,"操作并发症,不可归类在他处者",293.64352941176475,34,863.2921237576905,8452
124,支气管和肺恶性肿瘤,9425.856,5,7386.261674206708,62997
125,"斑痣性错构瘤病,不可归类在他处者",535.2,1,5311.429972972974,1110
126,晕厥和虚脱,214.6,1,334.17249422899357,8664
127,"有害效应,不可归类在他处者",14.45857142857143,7,68.19790596219099,2063
128,未特指的慢性支气管炎,9.744911242603552,169,21.417532801629925,155099
129,未特指的肾衰竭	,4034.1,10,1433.104854811947,7232
130,梗阻性和反流性尿路病	,0.0,3,1459.354107685498,234962
131,泌尿系统的其他疾患	,0.0,1,250.04939812592235,56241
132,流行牲腮腺炎,53.97666666666667,3,35.3375956284153,183
133,消化系统的其他疾病,39.0,2,248.84056101674702,58697
134,消化道内异物,560.7372222222223,18,446.7792279038266,2953
135,"涉及免疫机制的其他疾患, 不可归类在他处者",1957.29,1,674.5087837837838,74
136,涉及整形手术的随诊医疗,2800.89125,24,14713.188195443645,1668
137,涎腺疾病,835.451533018868,848,334.09608466933867,3992
138,液体-电解质及酸碱平衡的其他紊乱,27.2,1,82.43155115943928,7633
139,淋巴、造血和有关组织动态未定或动态未知的其他肿瘤,1126.5366666666666,12,1014.8831677381648,1711
140,淋巴管和淋巴结的其他非感染性疾患,301.56,1,726.7490491283677,631
141,淋巴结增大,1211.371707317073,41,656.2528959891231,2942
142,淋巴结继发性和未特指的恶性肿瘤,3024.596712328767,73,1482.047206132879,2348
143,滤泡性淋巴瘤,1504.40125,8,1339.0093907563025,476
144,牙发育和出牙疾患,431.23159999999996,125,290.0105128205128,78
145,牙面畸形[包括错颌],11496.488307839387,1046,358.3850846262341,1418
146,牙髓和根尖周组织疾病,417.1319321148825,383,30.2471792849632,3804
147,牙齿及支持结构的其他疾患,2096.469837962963,432,36.895963060686015,379
148,牙龈和无牙牙槽嵴的其他疾患,775.5369379844961,258,191.17477642276424,492
149,牙龈恶性肿瘤,12394.258128654972,171,1951.1875483870967,155
150,甲状腺良性肿瘤,2943.88,1,3101.4017083333333,2640
151,疱疹病毒[单纯疱疹]感染,53.931999999999995,5,121.80205712219812,2766
152,"病毒性肺炎,不可归类在他处者",62.15,1,172.5333841940532,15336
153,痔,1927.605,2,686.2292750327508,80914
154,痛风,41.7825,4,133.09293155258763,32945
155,皮肤其他恶性肿瘤,3105.4996,25,938.6349694189603,2616
156,皮肤其他良性肿瘤,374.68833333333333,12,291.62832893579593,3411
157,皮肤原位癌,573.6666666666666,3,799.9061111111112,108
158,皮肤和皮下组织其他局部感染,30.22222222222222,18,121.54217980461891,44426
159,皮肤和皮下组织毛囊囊肿,519.7929166666667,48,190.4584758332623,11731
160,"皮肤和皮下组织的其他疾患,不可归类在他处者",680.936,5,1151.5021605988431,2939
161,皮肤和皮下组织的局部肿胀、肿物和肿块,560.0876923076924,104,227.89740751220202,14137
162,皮肤和皮下组织肉芽肿性疾患,428.8542857142857,7,304.1384227129338,317
163,皮肤恶性黑色素瘤,3390.1400000000003,5,1227.1370934256056,578
