科室名称,入院人次,人次占比
外科,40834,55.60%
内科,19307,26.29%
中医科,4485,6.11%
重症医学科,1594,2.17%
肿瘤科,1238,1.69%
妇产科,932,1.27%
急诊医学科,697,0.95%
眼科,616,0.84%
口腔科,571,0.78%
儿科,551,0.75%
全科医疗科,492,0.67%
小儿外科,341,0.46%
其他业务科室,294,0.40%
传染科,291,0.40%
医学影像科,285,0.39%
康复医学科,275,0.37%
疼痛科,226,0.31%
耳鼻咽喉科,144,0.20%
中西医结合科,94,0.13%
运动医学科,55,0.07%
医疗美容科,42,0.06%
结核病科,25,0.03%
皮肤科,20,0.03%
精神科,13,0.02%
职业病科,5,0.01%
预防保健科,4,0.01%
临终关怀科,3,0.00%
特种医学与军事医学科,2,0.00%
民族医学科,2,0.00%
儿童保健科,1,0.00%
