,basy_caption,耗材费
138,仁寿县中医医院,1900.9307201086956
139,仁寿县人民医院,3362.6185960784314
140,仁寿县妇幼保健院,392.50387096774193
141,仁寿县禄加镇卫生院,323.090625
142,仁寿县禾加镇卫生院,931.9164285714286
143,仁寿县第七人民医院（仁寿县钟祥镇卫生院）,1249.1176923076923
144,仁寿县第三人民医院（仁寿县汪洋镇卫生院）,1316.355918367347
145,仁寿县第二人民医院（仁寿县富加镇卫生院）,1191.2071428571428
146,仁寿县第六人民医院（仁寿县彰加镇卫生院）,967.344
147,仁寿县第四人民医院（仁寿县文宫镇卫生院）,726.4428571428572
148,仁寿县视高街道清水社区卫生服务中心,914.995
149,仁寿县视高街道社区卫生服务中心,262.46666666666664
150,仁寿县龙正中心卫生院,699.1800000000001
151,仁寿县龙马镇卫生院,1122.08
152,仁寿喜稚来妇产医院,401.3164705882353
153,仁寿爱尔眼科医院,1204.2466049382717
154,仁寿立康创伤医院,4612.21379032258
155,仁寿运长医院,1305.7970121951219
156,仁寿鳌峰外科医院,1589.1783333333335
157,仪陇中仁骨科医院,2533.4565217391305
158,仪陇县中医医院,2550.9156878850104
159,仪陇县人民医院,2484.5750367559876
160,仪陇县复兴中心卫生院,2526.34
161,仪陇县大寅中心卫生院,516.5933333333334
162,仪陇县妇幼保健计划生育服务中心,887.9776309794988
163,仪陇县文星镇卫生院,623.55
164,仪陇县日兴中心卫生院,328.7925
165,仪陇县永乐中心卫生院,462.33375
166,仪陇县立山中心卫生院,570.4775
167,仪陇县第二人民医院,1678.8421721311474
168,仪陇县观紫中心卫生院,513.9939999999999
169,仪陇弘立医院,2150.106141868512
170,仪陇德新医院,1948.1057792207791
171,会东县中医医院,1194.8849006622515
172,会东县人民医院,1680.66
173,会东县妇幼保健计划生育服务中心会东县妇幼保健院,672.1276724137931
174,会东康和医院,2006.5085714285715
175,会东紫荆花医院,932.8
176,会理市中医医院,1817.5442480620156
177,会理市人民医院,1443.0476837865056
178,会理市妇幼保健计划生育服务中心（会理市妇幼保健院）,451.438688172043
179,会理市益门镇中心卫生院,419.00470588235294
180,会理市第二人民医院,983.526338028169
181,会理市鹿厂镇中心卫生院,463.62
182,佛都老年病医院,3310.327417218543
183,兴文光明骨科医院,6421.175300546449
184,兴文县中医医院,2358.2486736474693
185,兴文县人民医院,1462.6225163826998
186,兴文县僰王山镇中心卫生院,306.4533333333333
187,兴文县大河苗族乡卫生院,355.35
188,兴文县妇幼保健计划生育服务中心,342.2671296296296
189,内江中西骨科医院,5393.123695652174
190,内江市东兴区中医医院,1071.4514179104476
191,内江市东兴区人民医院,2183.4080544217686
192,内江市东兴区椑木中心卫生院,903.1598076923076
193,内江市中医医院,3108.476582103321
194,内江市妇幼保健院,1047.1441907514452
195,内江市市中区中医医院,878.3255882352942
196,内江市市中区人民医院,1823.522932642487
197,内江市市中区妇幼保健院,575.6825362318841
198,内江市市中区朝阳镇卫生院,462.12
199,内江市市中区永安镇卫生院,272.0
200,内江市市中区白马镇中心卫生院,914.75
201,内江市第一人民医院,4250.046168539326
202,内江市第二人民医院,3367.472000982077
203,内江市第六人民医院,793.4299342105263
204,内江爱尔眼科医院,1227.5038048780489
205,冕宁县中医医院,1147.3106711409396
206,冕宁县人民医院,1859.7490759753593
207,冕宁县妇幼保健计划生育服务中心,232.49
208,冕宁县泸沽铁矿职工医院,1532.4590521327013
209,冕宁县漫水湾友松医院,1978.5620689655173
210,冕宁县第二人民医院,292.2109195402299
211,凉山中科耳鼻喉专科医院,1656.0788917197451
212,凉山州妇幼保健计划生育服务中心（凉山州妇幼保健院、凉山州妇女儿童医院）,880.0066081871345
213,凉山彝族自治州中西医结合医院,2578.7143862520456
214,凉山彝族自治州第一人民医院（凉山州传染病医院）,3065.6987503628447
215,凉山彝族自治州第七人民医院,1434.3514285714284
216,凉山彝族自治州第二人民医院,2308.55465237167
217,凉山爱尔眼科医院,1402.356393442623
218,凉山视康眼科医院,2486.0641509433963
219,凉山骨科医院,10097.046237623763
220,凉山高新肿瘤医院,1278.6753846153845
221,剑阁仁爱医院(普通合伙）,2458.688181818182
222,剑阁光明医院,978.0322580645161
223,剑阁县下寺镇中心卫生院,2842.5
224,剑阁县中医医院,1585.7394301994302
225,剑阁县义兴镇卫生院,330.0
226,剑阁县人民医院,1996.42110176619
227,剑阁县元山镇中心卫生院,2157.5011111111107
228,剑阁县公兴镇中心卫生院,569.415
229,剑阁县剑门关镇中心卫生院,230.05
230,剑阁县妇幼保健院,272.95698113207544
231,剑阁县开封镇中心卫生院,415.0095454545455
232,剑阁县普安镇中心卫生院,1348.5
233,剑阁县武连镇中心卫生院,1235.61
234,剑阁县第一人民医院,1170.3956074766356
235,剑阁县鹤龄镇中心卫生院,305.1666666666667
236,剑阁友好医院,8448.300833333333
237,北城医院,3166.9743434343436
238,北川羌族自治县中羌医医院,2899.848571428571
239,北川羌族自治县人民医院,1770.5726324503314
240,北川羌族自治县妇幼保健计划生育服务中心,423.96888888888884
241,北川羌族自治县小坝镇中心卫生院,200.6
242,北川羌族自治县擂鼓镇中心卫生院,460.1
243,北川羌族自治县桂溪镇卫生院,2676.4866666666667
244,北川羌族自治县永安镇中心卫生院,399.1725
245,北川羌族自治县片口乡卫生院,475.2
246,北川羌族自治县禹里镇中心卫生院,520.6
247,北川羌族自治县第三人民医院,1609.589673735726
248,北川羌族自治县陈家坝镇中心卫生院,829.9033333333333
249,华康肾病医院,989.4338961038961
250,华蓥市人民医院,2773.265489548955
251,华蓥市高兴镇中心卫生院,224.0
252,南充东大肛肠医院,1981.2911392405063
253,南充东方医院,2127.9425173852574
254,南充东江医院,925.625
255,南充临江医院,1271.9033333333334
256,南充佑安医院,1125.9618181818184
257,南充博视眼耳鼻喉专科医院,1796.8118387096777
258,南充友谊医院,244.422
259,南充同星医院,980.0
260,南充地调处医院,534.0
261,南充姜氏医院,1804.1290625000001
262,南充市中医医院,3395.216650406504
263,南充市中心医院,5274.618275111151
264,南充市嘉陵区中医医院,522.4569230769231
265,南充市嘉陵区人民医院,2508.77242506812
266,南充市嘉陵区妇幼保健计划生育服务中心,806.6087254901961
267,南充市嘉陵区李渡镇中心卫生院（南充市嘉陵区第二人民医院）,339.96327868852455
268,南充市嘉陵区金凤镇中心卫生院,3207.48
269,南充市妇幼保健计划生育服务中心（南充市妇幼保健院）,538.8819540229886
270,南充市第四人民医院,795.0180855397149
271,南充市身心医院,2156.9693549842127
272,南充市顺庆区人民医院,1000.4906374501992
273,南充市顺庆区北城社区卫生服务中心,455.58294117647057
274,南充市顺庆区妇幼保健计划生育服务中心(南充市顺庆区妇幼保健院),338.2344444444445
275,南充市顺庆区李家镇中心卫生院,358.65333333333336
276,南充市顺庆区潆溪街道社区卫生服务中心,2662.3907692307694
277,南充市高坪区中医医院,2034.1584615384616
278,南充市高坪区人民医院,2881.365009357455
279,南充市高坪区妇幼保健计划生育服务中心（南充市高坪区妇幼保健院）,450.10291390728474
280,南充市高坪区第三人民医院(南充市高坪区东观中心卫生院),1189.269
281,南充市高坪区长乐中心卫生院（高坪区人民医院长乐分院）,470.47200000000004
282,南充市高坪区龙门社区卫生服务中心,243.4178260869565
283,南充康健医院,3448.225
284,南充康顺医院,1257.8313253012047
285,南充明镜新视眼科医院,1283.5
286,南充果城骨科医院,1769.493613445378
287,南充永康医院,774.6666666666666
288,南充海圣堂医院,204.45
289,南充爱尔麦格眼科医院,1445.4043416370107
290,南充现代妇产医院,327.8484848484849
291,南充百姓医院,321.2
292,南充罾康医院,375.0
293,南充龙医官医院,3070.9002564102566
294,南充龙门中医院,495.52250000000004
295,南江云山骨科医院,5331.23115942029
296,南江县下两镇中心卫生院,222.0
297,南江县中医医院,2130.4259738372093
298,南江县人民医院,2411.962840236686
299,南江县大河镇中心卫生院,1167.925
300,南江县妇幼保健院,394.3907272727273
301,南江县正直镇中心卫生院,698.5
302,南江县沙河镇中心卫生院,298.38
303,南江县红光镇卫生院,216.83
304,南江县长赤镇中心卫生院,1162.1367567567568
305,南江镇阳医院,367.5
306,南部中仁医院,1489.5583225806452
307,南部仁爱胃肠医院,206.55999999999997
308,南部县东风社区卫生服务中心,720.0333333333333
309,南部县中医医院,2303.048652657602
310,南部县人民医院,2814.964047410009
311,南部县伏虎中心卫生院,387.4
312,南部县妇幼保健计划生育服务中心（南部县妇幼保健院、南部县妇女儿童医院）,541.2471755725192
313,南部县建兴中心卫生院（南部县第三人民医院）,1000.667
314,南部县河东中心卫生院,1840.9478260869566
315,南部嘉伦医院,1178.775
316,南部瑞康医院,1461.591304347826
317,南部精诚眼科医院,2439.6554782608696
318,南部良骨医院,5158.716666666666
319,南部骨科医院,4180.811797752809
320,叙永县两河中心卫生院,1561.18
321,叙永县中医医院,1163.6818093699517
322,叙永县人民医院,979.8947568474008
323,叙永县叙永镇中心卫生院,1589.4847246376812
