,basy_zyzd_jbbm_for_str_7,basy_yydj,age_group,AGE-HAOCAI-7-only_disease-E,AGE-JCJY-7-only_disease-E,AGE-YP-7-only_disease-E,AGE-ZFY-7-only_disease-E,记录条数-7-only_disease
190,A15.000,6,3,822.4480769230769,7528.807692307692,5637.726153846154,17861.418461538462,26
191,A15.000,6,4,779.8197368421052,6533.61052631579,4654.69947368421,15433.95236842105,38
192,A15.000,6,5,822.114347826087,6438.665000000001,4464.300108695652,15709.630434782608,92
193,A15.000,6,6,565.4346391752576,5883.096494845361,3843.8201030927835,13920.619999999999,97
194,A15.000,6,8,725.558125,6140.802874999999,4021.77625,15270.911375,80
195,A15.000,6,9,545.0003703703704,7221.113703703704,4042.8111111111107,16573.606666666667,27
490,A16.200,5,5,895.8247826086957,4596.498695652174,2219.0934782608697,12049.610434782608,23
495,A16.200,6,1,718.2054545454546,6580.525,2986.156818181818,13036.966363636364,44
496,A16.200,6,2,802.1424074074074,6721.817407407408,3455.651851851852,14148.866296296297,54
497,A16.200,6,3,1588.8593333333333,6797.713000000001,4027.2786666666666,16234.416333333333,60
498,A16.200,6,4,1125.8063829787234,6433.540425531915,4684.661276595745,15615.828085106385,47
499,A16.200,6,5,1147.2495145631067,6703.900582524272,4135.167961165049,15231.005922330098,103
500,A16.200,6,6,694.9970000000001,6332.897111111111,3693.251222222222,14573.738777777779,90
501,A16.200,6,8,660.7342352941176,5885.315529411765,3290.898352941176,12693.807294117649,85
502,A16.200,6,9,750.1535714285714,7128.050357142857,4065.1467857142857,15684.270357142857,28
562,A16.500,6,1,674.37,4449.195454545455,1072.9822727272729,8809.676818181819,22
563,A16.500,6,2,694.1109090909091,4419.204545454545,1342.1863636363637,9037.343636363636,22
564,A16.500,6,3,607.4119047619048,4907.912857142857,1290.4399999999998,9612.283333333335,21
566,A16.500,6,5,778.008,5873.2568,1899.3316,11683.364,25
1028,A41.501,5,8,637.4886956521739,5230.154347826087,3140.6795652173914,12051.977391304346,23
1032,A41.501,6,5,1179.86375,8163.2,8968.5796875,23527.97375,32
1033,A41.501,6,6,2064.4778048780486,13587.174146341464,9620.300731707317,36681.19731707317,41
1034,A41.501,6,8,1864.9246666666666,9286.482666666667,5221.386166666666,23439.376833333336,60
1035,A41.501,6,9,1150.2357446808512,10688.564042553191,7165.835106382979,27265.730851063832,47
1061,A41.503,6,8,4604.502916666667,13562.568333333335,10388.600833333332,41993.86625,24
1062,A41.503,6,9,2481.754814814815,15926.893333333333,12936.524074074076,49939.56888888889,27
1150,A41.900,5,8,2804.5759999999996,12695.3328,11382.0936,39249.308,25
1151,A41.900,5,9,2895.5241379310346,10466.975862068964,11881.645172413793,35865.90172413793,29
1152,A41.900,6,0,870.586923076923,4272.3538461538465,2784.993461538462,11282.999615384615,26
1156,A41.900,6,4,1417.9111538461539,7500.58,7200.693461538462,21889.55192307692,26
1157,A41.900,6,5,2599.9616853932584,10398.741011235954,10769.75797752809,34893.730898876405,89
1158,A41.900,6,6,2506.9573913043478,11774.615217391303,9626.189565217392,33685.06695652174,69
1159,A41.900,6,8,2488.2874528301886,10951.310943396225,9295.65433962264,32399.882358490566,106
1160,A41.900,6,9,2714.281610169491,11529.939067796611,8545.595254237289,33920.71313559322,118
1180,A41.901,3,8,933.9548148148148,6124.958888888889,7073.22962962963,20449.214444444446,27
1181,A41.901,3,9,767.98775,7238.5985,4968.44525,19784.2565,40
1188,A41.901,4,8,1153.9123684210526,5735.538421052632,6106.8223684210525,18600.562894736842,38
1189,A41.901,4,9,1034.9142857142856,8281.704642857143,8453.963928571427,24252.706785714287,28
1190,A41.901,5,0,302.27434782608697,1155.0217391304348,580.1526086956521,3359.5369565217393,23
1194,A41.901,5,5,1144.6699999999998,6490.282333333334,4682.1185,20136.369000000002,60
1195,A41.901,5,6,1302.7724137931034,6868.031379310345,5665.297068965517,21167.275689655173,58
1196,A41.901,5,8,1153.7741739130436,6538.416434782609,4893.740173913044,20330.77895652174,115
1197,A41.901,5,9,1075.325909090909,7001.451477272727,5058.537159090909,20962.549545454545,88
1198,A41.901,6,0,664.8468075117371,2993.916525821596,1892.0369014084506,8247.527417840376,213
1199,A41.901,6,1,802.6435294117647,6381.2379411764705,3340.5164705882353,14832.525294117646,34
1200,A41.901,6,2,2124.8555555555554,9827.379259259258,9591.837777777777,31932.645925925928,27
1201,A41.901,6,3,2937.197234042553,14435.287872340426,17830.51425531915,50659.95914893617,47
1202,A41.901,6,4,3772.055274725275,12601.5289010989,11952.987472527473,42712.725054945055,91
1203,A41.901,6,5,2730.281,11068.687039999999,8923.3004,32779.33228,250
1204,A41.901,6,6,3136.826085626911,11866.011192660551,11458.934250764525,39604.20293577982,327
1205,A41.901,6,8,2458.3323185483873,12176.042036290322,9184.84566532258,35321.14108870968,496
1206,A41.901,6,9,1490.8453036437247,10656.363542510122,8197.583765182186,30501.568360323887,494
1444,A86.x00,6,0,683.9026086956521,4846.550217391305,3863.041956521739,13464.258695652174,46
1449,A86.x00,6,5,1096.5071428571428,9751.721904761906,5696.379047619048,27906.788571428573,21
1451,A86.x00,6,8,971.0246428571428,7978.075714285714,4252.191785714285,19059.08357142857,28
1543,B02.202,5,6,1564.722380952381,1968.4133333333334,1154.4266666666667,7572.590952380952,21
1544,B02.202,5,8,1682.6954166666665,2086.5904166666664,1250.6358333333333,7546.082083333334,24
1548,B02.202,6,4,1026.9046666666666,2075.27,1169.5936666666666,7441.921666666666,30
1549,B02.202,6,5,1711.2870833333334,2628.0546875,1648.9713541666667,9894.039479166668,96
1550,B02.202,6,6,1532.0730612244897,2955.4465986394557,1571.1215646258504,10561.524081632653,147
1551,B02.202,6,8,2079.0405882352943,2956.9165359477124,1539.67477124183,11280.838235294117,153
1552,B02.202,6,9,1295.526909090909,3072.7634545454544,1644.3285454545455,10513.57090909091,55
1798,B20.700,6,5,566.7786363636363,8421.836818181819,11553.044545454546,25444.809999999998,22
1870,B27.001,6,0,293.87347826086955,1548.1304347826087,1292.4495652173914,4658.192608695652,23
1876,B27.800,6,0,324.1708695652174,1162.1521739130435,933.1300000000001,3999.3630434782613,23
1887,B27.900,6,0,431.38461538461536,1819.54,894.925641025641,4689.394358974359,39
1930,B37.101,6,5,2891.847272727273,12778.174090909091,11815.165454545455,40055.28363636364,22
1931,B37.101,6,6,957.1553846153846,8700.011538461538,7799.128461538462,25216.915128205128,39
1932,B37.101,6,8,1252.9159574468085,9673.152659574467,8505.532765957447,27429.068191489365,94
1933,B37.101,6,9,1302.8610588235294,10227.591411764706,8276.922,27639.454235294117,85
1985,B44.100,6,8,566.31,6883.635,5277.023636363637,17450.075454545455,22
2010,B44.102,6,5,1223.3253488372093,7611.892558139535,11077.865813953487,27135.840697674415,43
2011,B44.102,6,6,1216.9944,8257.100266666666,9653.602799999999,26758.3968,75
2012,B44.102,6,8,991.8517525773195,7273.363402061856,8151.511340206185,23826.48711340206,97
2013,B44.102,6,9,1203.4836363636364,8415.46515151515,9835.462727272728,27056.964848484848,66
2086,B49.x00,6,5,4489.0316,18633.2896,20492.482,63525.5936,25
2087,B49.x00,6,6,2685.488,13803.894666666665,10424.342333333334,41670.325,30
2088,B49.x00,6,8,2247.7817307692308,11598.834038461539,17121.403461538463,44441.76442307692,52
2089,B49.x00,6,9,2904.5965853658536,15875.695365853659,12557.231951219512,48198.431463414636,41
2121,B49.x05,6,4,1218.4995454545453,2134.8136363636363,1335.2700000000002,12053.362727272726,22
2122,B49.x05,6,5,1254.9069444444444,1843.2430555555557,1042.490277777778,10840.921388888888,36
2123,B49.x05,6,6,1419.5016666666668,2081.9933333333333,1340.926,10983.034333333333,30
2149,B49.x09,6,5,1680.1296296296296,1634.2611111111112,1073.2322222222222,10182.05074074074,27
2178,B49.x14,6,5,1698.1334615384617,6040.461923076923,9707.162692307691,24437.951538461537,26
2179,B49.x14,6,6,1602.1980487804876,6250.779024390244,8029.45243902439,22103.427073170733,41
2180,B49.x14,6,8,747.7743478260869,7172.156666666667,6636.293043478261,20519.395942028987,69
