,最小样本数量,费用类型,记录总数,统计特征长度,原始训练数据量,原始验证数据量,训练数据可预测数据量,测试数据可预测数据量,训练数据可预测数据的均方差,测试数据可预测数据的均方差,训练数据可预测数据的O/E标准差,测试数据可预测数据的O/E标准差,训练数据可预测数据O/E均值,测试数据可预测数据O/E均值
121,15###20,药品费,9541032,6,7632825,1908207,103465,25250,5439.733098875083,4660.816234517781,0.8222403038126141,1.0993710031664956,1.0,1.0558062810230082
122,20###30,药品费,9541032,6,7632825,1908207,165576,40723,4980.573040688815,6822.309565611719,0.8393856109880314,1.1728719878798848,0.9999999999999998,1.0433632226493197
123,30###50,药品费,9541032,6,7632825,1908207,244964,60764,5082.522714459495,5279.552064140455,0.8737853190994495,1.021404539777193,0.9999999999999998,1.0223393533142164
124,50###100,药品费,9541032,6,7632825,1908207,417102,102769,4859.915775189888,4389.998424366442,0.9137859142699246,1.0634716036054326,0.9999999999999997,1.0146919103918033
125,100###1000000,药品费,9541032,6,7632825,1908207,6052566,1510850,3164.947116030694,3160.061684515057,0.9339398301868496,0.9289072228753336,1.000000000000001,1.0014089792717937
126,5###10,药品费,9541032,7,7632825,1908207,251095,57402,5445.133461463106,6892.478952884584,0.67758843411925,1.3086524548819065,0.9999999999999999,1.129227545009604
127,10###15,药品费,9541032,7,7632825,1908207,169090,40274,5115.120718278833,4835.406302875046,0.7526490363450226,1.1390403716711557,1.0,1.0691688678773814
128,15###20,药品费,9541032,7,7632825,1908207,132451,31811,4796.661447778863,4699.3613409750205,0.785444237569652,1.0279450082790595,1.0,1.049924579597345
129,20###30,药品费,9541032,7,7632825,1908207,212160,51728,4804.878173246226,4875.954350967744,0.8065153630791126,1.0800784506779721,1.0000000000000002,1.0311306043481576
130,30###50,药品费,9541032,7,7632825,1908207,304064,75328,4761.8801540677,4920.702462127785,0.8435440277031601,0.9979949945011378,1.0000000000000002,1.0198933234835537
131,50###100,药品费,9541032,7,7632825,1908207,489068,119967,4648.897997037571,4309.994078067838,0.8731567079317497,0.9793610332196192,1.0,1.0120797675784556
132,100###1000000,药品费,9541032,7,7632825,1908207,5543189,1383295,2921.807388208129,2933.120743371549,0.917181180675925,0.9052398289466613,1.0000000000000007,1.0019238461796087
133,5###10,药品费,9541032,8,7632825,1908207,274094,62707,5076.630100227059,6014.6377392912555,0.6695097142338177,1.2984642396468038,1.0,1.1260910459121862
134,10###15,药品费,9541032,8,7632825,1908207,183964,43365,4848.548063927512,4914.813845754536,0.7456900462971771,1.1295385287269732,1.0,1.071597444596157
135,15###20,药品费,9541032,8,7632825,1908207,144465,34772,4493.5975463551495,4509.383511550822,0.776080295075215,1.022974404570967,1.0000000000000002,1.0524496190168047
136,20###30,药品费,9541032,8,7632825,1908207,224558,54757,4918.073746048157,5414.620129029734,0.8064370614069535,1.1015985113191402,1.0000000000000002,1.028556532764906
137,30###50,药品费,9541032,8,7632825,1908207,326330,80375,4739.979021026776,4556.79181793582,0.8311704865407902,0.9908460482225601,1.0000000000000002,1.020128067960196
138,50###100,药品费,9541032,8,7632825,1908207,520522,128114,4288.997065453441,4006.0987738016292,0.8686314235816269,0.9904870652916683,1.0000000000000002,1.014457231161742
139,100###1000000,药品费,9541032,8,7632825,1908207,5357082,1336574,2873.220864797802,2884.7233254528264,0.9104299066139085,0.8963015146638247,1.0000000000000009,1.001613278406986
140,5###10,药品费,9541032,9,7632825,1908207,274777,62848,5059.58434050275,6006.436795776776,0.6691727728750375,1.2974679505810445,0.9999999999999998,1.12597576001451
141,10###15,药品费,9541032,9,7632825,1908207,184239,43401,4849.940554550267,4894.5630554175605,0.7453720063319177,1.122019323265332,1.0000000000000002,1.0706126449704825
142,15###20,药品费,9541032,9,7632825,1908207,144858,34896,4487.296408714783,4501.21554752213,0.7759078106573952,1.0202591017618838,1.0,1.0520607979700582
143,20###30,药品费,9541032,9,7632825,1908207,224768,54811,4913.54212638921,5412.071085070227,0.8060299755044724,1.1013185117772997,1.0000000000000002,1.0289616272547897
144,30###50,药品费,9541032,9,7632825,1908207,327209,80578,4734.19842509366,4551.586353953271,0.8318969566383467,0.9905059593265004,1.0,1.0200398541307025
145,50###100,药品费,9541032,9,7632825,1908207,520787,128168,4287.5940139601,4009.8091505619527,0.8680791049896807,0.9914048925799835,0.9999999999999999,1.0146650136963262
146,100###1000000,药品费,9541032,9,7632825,1908207,5351978,1335271,2873.106295530213,2884.312728239151,0.9093718349644082,0.8959560354678873,1.0,1.0016167080901413
147,5###10,总费用,10607095,3,8485676,2121419,61336,14561,19274.87896253469,21869.583799562744,0.6040831895983939,1.1446077991080215,0.9999999999999999,1.0852449318645514
148,10###15,总费用,10607095,3,8485676,2121419,50315,12258,16337.410888091448,20346.402451212045,0.6582765542515283,1.0799489716416257,1.0000000000000002,1.0672736661348274
149,15###20,总费用,10607095,3,8485676,2121419,43701,10712,18140.36124104836,15382.68964338806,0.714267798223738,0.9394710268192398,1.0,1.0301436372588626
150,20###30,总费用,10607095,3,8485676,2121419,73503,18014,17307.30030927705,15588.086424922367,0.7206852188494234,0.9413685786270221,1.0,1.024855657821844
151,30###50,总费用,10607095,3,8485676,2121419,123608,30347,16977.293287616816,15754.555004149808,0.759576545844736,1.0021495145332047,1.0,1.0239194309272877
152,50###100,总费用,10607095,3,8485676,2121419,235274,58453,15657.35310085582,15910.701397112402,0.790855950102428,0.8683390995773322,1.0,1.0111840240256023
153,100###1000000,总费用,10607095,3,8485676,2121419,7818528,1953617,11108.26018407429,11237.57372672798,0.7340100268353099,0.7649183444322843,0.9999999999999997,1.000656107298298
154,5###10,总费用,10607095,4,8485676,2121419,94530,22238,18081.31432038128,20102.314320089383,0.5489091034286767,0.9847213895148882,1.0,1.0772767429085774
155,10###15,总费用,10607095,4,8485676,2121419,72469,17510,16209.312740808396,17856.110133762813,0.6051766345810038,1.0327831539293204,1.0,1.0644788536718213
156,15###20,总费用,10607095,4,8485676,2121419,61436,14890,15534.434837532383,14753.198983898114,0.6547809436032366,0.881861008031027,1.0000000000000002,1.0226933864526369
157,20###30,总费用,10607095,4,8485676,2121419,100426,24785,16393.210052321025,21658.0357629135,0.6616823547846735,0.8080523909693731,0.9999999999999999,1.0232079060468646
158,30###50,总费用,10607095,4,8485676,2121419,158449,38910,16060.28358634377,15973.71812768868,0.670499953714885,0.9004478885869184,1.0000000000000002,1.0206978092196664
159,50###100,总费用,10607095,4,8485676,2121419,294135,72655,15975.291622830517,14930.013482894146,0.702754775408118,0.7644590919760054,1.0,1.0093087927609592
160,100###1000000,总费用,10607095,4,8485676,2121419,7558634,1888617,9787.10174581479,9939.076043477593,0.6964639063560949,0.7229951011048541,1.0000000000000007,1.0005885076748287
161,5###10,总费用,10607095,5,8485676,2121419,185305,42507,15318.745976596974,18528.344510064784,0.5126145975267243,0.9075088643875874,1.0,1.0667673193523528
162,10###15,总费用,10607095,5,8485676,2121419,130234,31225,14016.275187211364,14361.991172802675,0.5600145055958526,0.7949369530192169,1.0000000000000002,1.0412412371704676
163,15###20,总费用,10607095,5,8485676,2121419,103872,25180,13858.521053033046,19428.382180466095,0.5939894890630562,0.7796092559556732,0.9999999999999997,1.0226559004410696
