,basy_yydj,basy_ssjczbm1_for_str_8,age_group,AGE-HAOCAI-only_operation-8-E,AGE-JCJY-only_operation-8-E,AGE-YP-only_operation-8-E,AGE-ZFY-only_operation-8-E,记录条数-only_operation-8
0,1,,0,527.9227037037037,1021.3647037037036,1802.852111111111,7849.526092592592,540
1,1,,1,703.7951020408163,1160.8665306122448,2135.1071428571427,7120.978979591836,49
2,1,,2,975.9859322033898,1709.6038983050848,2542.136949152542,12916.908305084746,59
3,1,,3,838.7588172043012,1772.208817204301,3407.252043010753,12945.321935483871,93
4,1,,4,1334.0589130434782,1639.3221739130433,5090.529782608695,18681.784855072463,138
5,1,,5,1180.4348701298702,1716.2900324675322,5554.277954545455,19103.67272727273,308
6,1,,6,704.6815447154472,1414.38581300813,3572.7760569105694,10266.079349593496,246
7,1,,8,584.0795142857144,1350.2692285714286,3608.2396857142853,9430.9292,350
8,1,,9,446.83513432835815,1905.4569850746268,4750.838805970149,12379.810567164179,335
110,1,06.1101,4,10574.7025,1779.4285714285713,2140.4160714285713,19905.761428571426,28
111,1,06.1101,5,10733.814838709677,1839.1677419354837,2095.703225806452,20164.700967741934,31
186,1,11.3901,6,1016.0904761904762,630.7476190476191,178.19761904761904,2904.7809523809524,21
187,1,11.3901,8,1285.2846153846153,588.375,218.0253846153846,3277.8965384615385,26
204,1,13.4100,5,6382.146153846154,793.5438461538462,182.97897435897437,9017.604615384616,39
205,1,13.4100,6,4599.246,776.5821000000001,175.7968,7216.6306,100
206,1,13.4100,8,4476.719008264463,742.3652892561985,188.06586776859504,6986.8702479338845,121
207,1,13.4100,9,3868.086363636364,737.7427272727273,177.8421212121212,6474.677272727273,33
211,1,13.4100x,4,4375.283111111111,712.1915555555555,235.61777777777777,7483.286222222222,45
212,1,13.4100x,5,3617.805915492958,732.2480563380282,185.8979718309859,6705.078225352113,355
213,1,13.4100x,6,2520.4921405228756,740.9695424836601,177.24851307189542,5280.773700980392,1224
214,1,13.4100x,8,2312.913242241779,731.0199119962946,171.0531959240389,4991.9045808244555,2159
215,1,13.4100x,9,2266.7977306273065,716.9961623616235,179.59328413284132,4961.865092250922,542
226,1,13.7000,5,4857.31619047619,617.6666666666666,298.71761904761905,7095.186190476191,21
227,1,13.7000,6,2535.0928358208957,639.9626865671642,292.09089552238805,4782.667313432836,134
228,1,13.7000,8,2635.9296694214877,624.3884297520661,292.7657851239669,4879.229338842975,121
229,1,13.7000,9,2424.7357142857145,625.5,291.7132142857143,4651.7132142857145,28
231,1,13.7100,5,1629.4207407407407,652.8814814814815,76.65518518518519,4165.842592592592,27
232,1,13.7100,6,1643.0401176470589,641.1752941176471,49.448470588235296,4148.115647058824,85
233,1,13.7100,8,1587.1367346938775,636.2598639455782,48.103469387755105,4100.085102040816,147
234,1,13.7100,9,1456.881212121212,638.3242424242425,49.26939393939394,3977.308181818182,33
237,1,13.7100x,5,2253.47988372093,584.4290697674419,233.75348837209302,4761.05011627907,86
238,1,13.7100x,6,2300.2636653386458,547.4366533864542,202.8062549800797,4741.632868525897,251
