,最小样本数量,费用类型,记录总数,统计特征长度,原始训练数据量,原始验证数据量,训练数据可预测数据量,测试数据可预测数据量,训练数据可预测数据的均方差,测试数据可预测数据的均方差,训练数据可预测数据的O/E标准差,测试数据可预测数据的O/E标准差,训练数据可预测数据O/E均值,测试数据可预测数据O/E均值
16,15,耗材费,327037,5,261629,65408,179440,44320,4340.154083719418,4301.679314241183,0.8552077776445187,1.3676286373976727,1.0,1.0096283783665336
17,20,耗材费,327037,5,261629,65408,170482,42087,4146.008574816723,4046.223718936462,0.8582786615313459,1.376973060104148,1.0,1.0080137954393826
18,30,耗材费,327037,5,261629,65408,156365,38601,4017.2723691013944,3966.6606702814793,0.8626309590816694,1.1104933677703024,0.9999999999999998,1.0025565294982417
19,50,耗材费,327037,5,261629,65408,137548,34025,3867.1302442094566,3661.3746659254407,0.8655569519994709,0.9163942170485846,1.0,0.9946100095695221
20,100,耗材费,327037,5,261629,65408,107017,26710,3550.238328167601,3343.3746729777245,0.8694760349601914,0.9469200123180218,1.0000000000000002,0.998359267626436
21,5,耗材费,327037,6,261629,65408,207683,50857,4576.714749436204,4740.1248658954155,0.8276137116040729,1.394982541842992,0.9999999999999999,1.025224409990725
22,10,耗材费,327037,6,261629,65408,189393,46676,4386.569312979516,4440.950270477086,0.841661817683557,1.4001335401239832,0.9999999999999997,1.0176516909706423
23,15,耗材费,327037,6,261629,65408,177772,43900,4232.679980447817,4274.340920241376,0.8482489339013393,1.3748956202160074,1.0000000000000002,1.0106793052497665
24,20,耗材费,327037,6,261629,65408,168640,41630,3977.3206271841314,3951.240429925664,0.8520808470008917,1.382290108292173,1.0,1.007912050523881
25,30,耗材费,327037,6,261629,65408,154651,38181,3922.5042663633635,3933.825123595088,0.8566095254243384,1.1153548160148075,1.0000000000000002,1.0026081684847334
26,50,耗材费,327037,6,261629,65408,135583,33548,3779.9730217671304,3600.410803057212,0.8581904622867134,0.9177912261803695,1.0,0.9954511884615205
27,100,耗材费,327037,6,261629,65408,105232,26244,3460.917868673223,3270.548535258058,0.8646981373909371,0.9532486472235486,1.0000000000000002,0.9984227046565545
28,5,耗材费,327037,7,261629,65408,188727,45863,4161.093654655648,4380.169404273987,0.7725853874751206,1.3582182744905869,0.9999999999999997,1.0246073116579206
29,10,耗材费,327037,7,261629,65408,167435,40979,3940.081798983623,3837.782315840519,0.7887879067675952,1.3004114858022604,1.0000000000000002,1.0139354570184835
30,15,耗材费,327037,7,261629,65408,153813,37741,3582.7398483603297,3399.3715506062767,0.7954141787663872,1.1979594756045533,1.0,1.0053188145058192
31,20,耗材费,327037,7,261629,65408,143191,35127,3601.8290191320502,3390.292023230691,0.8006935125464185,0.9005149836980492,1.0,1.0004413940616987
32,30,耗材费,327037,7,261629,65408,127263,31265,3526.112955514444,3332.572827199724,0.8081475869524624,0.9187340277821404,0.9999999999999999,1.0003404002269698
33,50,耗材费,327037,7,261629,65408,107492,26523,3329.468128328347,3159.5906410889324,0.8158577960612636,0.9333089511782799,1.0,0.9996026196984656
34,100,耗材费,327037,7,261629,65408,78380,19498,3043.308317568558,2712.644264071158,0.8341642357151531,0.9775503044754746,1.0,0.9986438680029753
35,5,耗材费,327037,8,261629,65408,182508,44257,4056.4462005203472,4247.387493803318,0.7605700043758836,1.1390860724414102,1.0,1.0196643259305005
36,10,耗材费,327037,8,261629,65408,160049,39076,3634.4040166664226,3404.029728449688,0.7781120521061095,1.0674228961093741,1.0,1.0099516244196194
37,15,耗材费,327037,8,261629,65408,146396,35899,3543.7918139841113,3340.025353468748,0.7863522369713837,0.9066778140486403,1.0,1.0015220596998289
38,20,耗材费,327037,8,261629,65408,135236,33161,3552.7954902296206,3347.0327966118953,0.7913146975713322,0.9053378743175808,1.0,0.9998552097992058
39,30,耗材费,327037,8,261629,65408,118468,29058,3449.443968067455,3292.5548137663072,0.7995556697836668,0.9301413697283736,1.0,1.0005565802111864
