科室名称,入院人次,人次占比
内科,260071,38.627%
外科,102070,15.160%
儿科,85830,12.748%
中医科,70477,10.468%
全科医疗科,45595,6.772%
妇产科,28940,4.298%
肿瘤科,20688,3.073%
康复医学科,9239,1.372%
耳鼻咽喉科,8780,1.304%
预防保健科,7660,1.138%
传染科,6094,0.905%
眼科,5835,0.867%
中西医结合科,5404,0.803%
急诊医学科,4420,0.656%
皮肤科,2967,0.441%
疼痛科,2183,0.324%
其他业务科室,1558,0.231%
重症医学科,1401,0.208%
小儿外科,937,0.139%
医学影像科,760,0.113%
精神科,586,0.087%
结核病科,524,0.078%
口腔科,259,0.038%
临终关怀科,213,0.032%
儿童保健科,206,0.031%
妇女保健科,140,0.021%
运动医学科,129,0.019%
民族医学科,98,0.015%
职业病科,97,0.014%
医疗美容科,47,0.007%
医学检验科,42,0.006%
特种医学与军事医学科,12,0.002%
,11,0.002%
,4,0.001%
,4,0.001%
